EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, ZEEWOLDE (STAID: 2557).
Blended and updated with sources: 101960 109372 109374 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101960,19790101,    1,    0
101960,19790102,    9,    0
101960,19790103,    0,    0
101960,19790104,    0,    0
101960,19790105,    0,    0
101960,19790106,    0,    0
101960,19790107,   45,    0
101960,19790108,   39,    0
101960,19790109,    1,    0
101960,19790110,   44,    0
101960,19790111,   34,    0
101960,19790112,   20,    0
101960,19790113,    2,    0
101960,19790114,    0,    0
101960,19790115,    0,    0
101960,19790116,    0,    0
101960,19790117,    1,    0
101960,19790118,    0,    0
101960,19790119,    0,    0
101960,19790120,   14,    0
101960,19790121,    0,    0
101960,19790122,   20,    0
101960,19790123,   38,    0
101960,19790124,    3,    0
101960,19790125,    8,    0
101960,19790126,   14,    0
101960,19790127,    0,    0
101960,19790128,   16,    0
101960,19790129,   17,    0
101960,19790130,   41,    0
101960,19790131,   10,    0
101960,19790201,  150,    0
101960,19790202,    2,    0
101960,19790203,    4,    0
101960,19790204,    0,    0
101960,19790205,    0,    0
101960,19790206,    0,    0
101960,19790207,   34,    0
101960,19790208,    0,    0
101960,19790209,    0,    0
101960,19790210,    0,    0
101960,19790211,   25,    0
101960,19790212,   61,    0
101960,19790213,  107,    0
101960,19790214,    2,    0
101960,19790215,    0,    0
101960,19790216,    1,    0
101960,19790217,    3,    0
101960,19790218,    0,    0
101960,19790219,    0,    0
101960,19790220,    0,    0
101960,19790221,    0,    0
101960,19790222,   27,    0
101960,19790223,   18,    0
101960,19790224,    3,    0
101960,19790225,    0,    0
101960,19790226,    0,    0
101960,19790227,    0,    0
101960,19790228,    4,    0
101960,19790301,   22,    0
101960,19790302,   22,    0
101960,19790303,  174,    0
101960,19790304,    1,    0
101960,19790305,    0,    0
101960,19790306,    5,    0
101960,19790307,   32,    0
101960,19790308,   57,    0
101960,19790309,   97,    0
101960,19790310,   40,    0
101960,19790311,   38,    0
101960,19790312,    2,    0
101960,19790313,   13,    0
101960,19790314,    1,    0
101960,19790315,  117,    0
101960,19790316,   39,    0
101960,19790317,    1,    0
101960,19790318,    0,    0
101960,19790319,    0,    0
101960,19790320,    7,    0
101960,19790321,   21,    0
101960,19790322,   34,    0
101960,19790323,    1,    0
101960,19790324,   46,    0
101960,19790325,   31,    0
101960,19790326,  127,    0
101960,19790327,   60,    0
101960,19790328,   14,    0
101960,19790329,   37,    0
101960,19790330,    1,    0
