EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, RDAM-WAALHAVEN (STAID: 10971).
Blended and updated with sources: 101977 155429 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
155429,19790101,    3,    0
155429,19790102,   10,    0
155429,19790103,    0,    0
155429,19790104,    0,    0
155429,19790105,    0,    0
155429,19790106,    0,    0
155429,19790107,   24,    0
155429,19790108,   95,    0
155429,19790109,    6,    0
155429,19790110,   45,    0
155429,19790111,   61,    0
155429,19790112,   42,    0
155429,19790113,   12,    0
155429,19790114,    0,    0
155429,19790115,    0,    0
155429,19790116,    0,    0
155429,19790117,    0,    0
155429,19790118,    0,    0
155429,19790119,    0,    0
155429,19790120,   60,    0
155429,19790121,    0,    0
155429,19790122,    2,    0
155429,19790123,   40,    0
155429,19790124,   80,    0
155429,19790125,   23,    0
155429,19790126,   24,    0
155429,19790127,    0,    0
155429,19790128,   18,    0
155429,19790129,   20,    0
155429,19790130,    0,    0
155429,19790131,    1,    0
155429,19790201,  202,    0
155429,19790202,    1,    0
155429,19790203,    0,    0
155429,19790204,    0,    0
155429,19790205,    0,    0
155429,19790206,    1,    0
155429,19790207,   38,    0
155429,19790208,    0,    0
155429,19790209,    0,    0
155429,19790210,    0,    0
155429,19790211,   59,    0
155429,19790212,   40,    0
155429,19790213,  142,    0
155429,19790214,    1,    0
155429,19790215,    0,    0
155429,19790216,    0,    0
155429,19790217,    0,    0
155429,19790218,    0,    0
155429,19790219,    0,    0
155429,19790220,    0,    0
155429,19790221,    0,    0
155429,19790222,   31,    0
155429,19790223,    9,    0
155429,19790224,    0,    0
155429,19790225,    0,    0
155429,19790226,    0,    0
155429,19790227,    0,    0
155429,19790228,    0,    0
155429,19790301,   28,    0
155429,19790302,   27,    0
155429,19790303,  173,    0
155429,19790304,   11,    0
155429,19790305,    0,    0
155429,19790306,   10,    0
155429,19790307,   49,    0
155429,19790308,   44,    0
155429,19790309,  158,    0
155429,19790310,   83,    0
155429,19790311,   96,    0
155429,19790312,    0,    0
155429,19790313,  113,    0
155429,19790314,   34,    0
155429,19790315,   93,    0
155429,19790316,    3,    0
155429,19790317,    0,    0
155429,19790318,    0,    0
155429,19790319,    0,    0
155429,19790320,    0,    0
155429,19790321,   27,    0
155429,19790322,   22,    0
155429,19790323,    0,    0
155429,19790324,   53,    0
155429,19790325,   24,    0
155429,19790326,   82,    0
155429,19790327,   89,    0
155429,19790328,    3,    0
155429,19790329,   13,    0
155429,19790330,    0,    0
155429,19790331,    5,    0
155429,19790401,   13,    0
155429,19790402,   36,    0
155429,19790403,   16,    0
155429,19790404,    0,    0
155429,19790405,   41,    0
155429,19790406,   24,    0
155429,19790407,    0,    0
155429,19790408,    0,    0
155429,19790409,    0,    0
155429,19790410,    0,    0
155429,19790411,   18,    0
155429,19790412,   21,    0
155429,19790413,    0,    0
155429,19790414,    0,    0
155429,19790415,    0,    0
155429,19790416,   17,    0
155429,19790417,    0,    0
155429,19790418,    0,    0
155429,19790419,   33,    0
155429,19790420,   49,    0
155429,19790421,   39,    0
155429,19790422,   34,    0
155429,19790423,    0,    0
155429,19790424,   14,    0
155429,19790425,   42,    0
155429,19790426,   13,    0
155429,19790427,   16,    0
155429,19790428,  112,    0
155429,19790429,   66,    0
155429,19790430,    0,    0
155429,19790501,  320,    0
155429,19790502,   40,    0
155429,19790503,   12,    0
155429,19790504,   46,    0
155429,19790505,   38,    0
155429,19790506,    0,    0
155429,19790507,    0,    0
155429,19790508,    0,    0
155429,19790509,    0,    0
155429,19790510,   57,    0
155429,19790511,   50,    0
155429,19790512,    0,    0
155429,19790513,    0,    0
155429,19790514,    0,    0
155429,19790515,    0,    0
155429,19790516,    0,    0
155429,19790517,   19,    0
155429,19790518,    0,    0
155429,19790519,    0,    0
155429,19790520,    6,    0
155429,19790521,   17,    0
155429,19790522,   67,    0
155429,19790523,   63,    0
155429,19790524,   19,    0
155429,19790525,   26,    0
155429,19790526,   40,    0
155429,19790527,   25,    0
155429,19790528,    0,    0
155429,19790529,   25,    0
155429,19790530,  141,    0
155429,19790531,  274,    0
155429,19790601,    0,    0
155429,19790602,    0,    0
155429,19790603,   14,    0
155429,19790604,    0,    0
155429,19790605,    0,    0
155429,19790606,    0,    0
155429,19790607,   16,    0
155429,19790608,    0,    0
155429,19790609,    0,    0
155429,19790610,   77,    0
155429,19790611,    0,    0
155429,19790612,  174,    0
155429,19790613,   62,    0
155429,19790614,  171,    0
155429,19790615,  186,    0
155429,19790616,    0,    0
155429,19790617,    0,    0
155429,19790618,    0,    0
155429,19790619,    0,    0
155429,19790620,    0,    0
155429,19790621,   30,    0
155429,19790622,    0,    0
155429,19790623,   68,    0
155429,19790624,   20,    0
155429,19790625,   20,    0
155429,19790626,    2,    0
155429,19790627,    0,    0
155429,19790628,    5,    0
155429,19790629,    0,    0
155429,19790630,    0,    0
155429,19790701,    0,    0
155429,19790702,    0,    0
155429,19790703,    0,    0
155429,19790704,    0,    0
155429,19790705,    0,    0
155429,19790706,    0,    0
155429,19790707,    9,    0
155429,19790708,   40,    0
155429,19790709,   16,    0
155429,19790710,    0,    0
155429,19790711,    0,    0
155429,19790712,    0,    0
155429,19790713,    0,    0
155429,19790714,    0,    0
155429,19790715,    0,    0
155429,19790716,   14,    0
155429,19790717,    0,    0
155429,19790718,  181,    0
155429,19790719,    0,    0
155429,19790720,    1,    0
155429,19790721,   19,    0
155429,19790722,    0,    0
155429,19790723,    9,    0
155429,19790724,    0,    0
155429,19790725,    0,    0
155429,19790726,    0,    0
155429,19790727,    0,    0
