EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HERWIJNEN_1 (STAID: 10975).
Blended and updated with sources: 155437 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
155437,19790101,    0,    0
155437,19790102,   25,    0
155437,19790103,    0,    0
155437,19790104,    0,    0
155437,19790105,    0,    0
155437,19790106,    0,    0
155437,19790107,   94,    0
155437,19790108,   61,    0
155437,19790109,   11,    0
155437,19790110,   87,    0
155437,19790111,   72,    0
155437,19790112,   12,    0
155437,19790113,   10,    0
155437,19790114,    0,    0
155437,19790115,    0,    0
155437,19790116,    0,    0
155437,19790117,    0,    0
155437,19790118,    0,    0
155437,19790119,    0,    0
155437,19790120,   59,    0
155437,19790121,    0,    0
155437,19790122,   41,    0
155437,19790123,   14,    0
155437,19790124,   12,    0
155437,19790125,   42,    0
155437,19790126,    6,    0
155437,19790127,    6,    0
155437,19790128,   23,    0
155437,19790129,    7,    0
155437,19790130,    3,    0
155437,19790131,    0,    0
155437,19790201,  132,    0
155437,19790202,    0,    0
155437,19790203,    1,    0
155437,19790204,    0,    0
155437,19790205,    0,    0
155437,19790206,    0,    0
155437,19790207,   40,    0
155437,19790208,    0,    0
155437,19790209,    0,    0
155437,19790210,    0,    0
155437,19790211,   87,    0
155437,19790212,   61,    0
155437,19790213,  115,    0
155437,19790214,   16,    0
155437,19790215,    3,    0
155437,19790216,    0,    0
155437,19790217,    6,    0
155437,19790218,    0,    0
155437,19790219,    0,    0
155437,19790220,    0,    0
155437,19790221,    0,    0
155437,19790222,   40,    0
155437,19790223,   44,    0
