EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HORST (STAID: 20541).
Blended and updated with sources: 121450 121462 122098 182937 182941 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
121462,19790101,    9,    0
121462,19790102,   24,    0
121462,19790103,    1,    0
121462,19790104,    0,    0
121462,19790105,    0,    0
121462,19790106,    0,    0
121462,19790107,   49,    0
121462,19790108,   33,    0
121462,19790109,  104,    0
121462,19790110,   77,    0
121462,19790111,   48,    0
121462,19790112,    5,    0
121462,19790113,    0,    0
121462,19790114,    0,    0
121462,19790115,    0,    0
121462,19790116,    0,    0
121462,19790117,    7,    0
121462,19790118,    5,    0
121462,19790119,    0,    0
121462,19790120,    9,    0
121462,19790121,    0,    0
121462,19790122,    6,    0
121462,19790123,   37,    0
121462,19790124,    8,    0
121462,19790125,   28,    0
121462,19790126,   11,    0
121462,19790127,    0,    0
121462,19790128,    0,    0
121462,19790129,   13,    0
121462,19790130,   18,    0
121462,19790131,    0,    0
121462,19790201,  141,    0
121462,19790202,   56,    0
121462,19790203,    0,    0
121462,19790204,    0,    0
121462,19790205,    0,    0
121462,19790206,    0,    0
121462,19790207,   59,    0
121462,19790208,    0,    0
121462,19790209,    0,    0
121462,19790210,    0,    0
121462,19790211,   39,    0
121462,19790212,   27,    0
121462,19790213,   96,    0
121462,19790214,  103,    0
121462,19790215,    0,    0
121462,19790216,    0,    0
121462,19790217,    7,    0
121462,19790218,    0,    0
121462,19790219,    0,    0
121462,19790220,    0,    0
121462,19790221,    4,    0
121462,19790222,   74,    0
121462,19790223,    0,    0
121462,19790224,    0,    0
121462,19790225,    2,    0
121462,19790226,    0,    0
121462,19790227,    0,    0
121462,19790228,    0,    0
