EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, WIERINGEN (STAID: 20640).
Blended and updated with sources: 109028 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109028,19790101,    0,    0
109028,19790102,   10,    0
109028,19790103,   25,    0
109028,19790104,    1,    0
109028,19790105,    0,    0
109028,19790106,    0,    0
109028,19790107,   29,    0
109028,19790108,   25,    0
109028,19790109,    0,    0
109028,19790110,   35,    0
109028,19790111,   44,    0
109028,19790112,   50,    0
109028,19790113,    5,    0
109028,19790114,    0,    0
109028,19790115,    0,    0
109028,19790116,    3,    0
109028,19790117,    0,    0
109028,19790118,    0,    0
109028,19790119,    0,    0
109028,19790120,   13,    0
109028,19790121,    0,    0
109028,19790122,   10,    0
109028,19790123,   59,    0
109028,19790124,   29,    0
109028,19790125,   31,    0
109028,19790126,   32,    0
109028,19790127,    3,    0
109028,19790128,    4,    0
109028,19790129,    2,    0
109028,19790130,    6,    0
109028,19790131,   16,    0
109028,19790201,  135,    0
109028,19790202,    0,    0
109028,19790203,    2,    0
109028,19790204,   32,    0
109028,19790205,    4,    0
109028,19790206,    0,    0
109028,19790207,   28,    0
109028,19790208,    0,    0
109028,19790209,    0,    0
109028,19790210,    0,    0
109028,19790211,   19,    0
109028,19790212,   49,    0
109028,19790213,   70,    0
109028,19790214,    6,    0
109028,19790215,    3,    0
109028,19790216,    0,    0
109028,19790217,    2,    0
109028,19790218,    1,    0
109028,19790219,    0,    0
109028,19790220,    0,    0
109028,19790221,    0,    0
