EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, BEVERWIJK (STAID: 518).
Blended and updated with sources: 101916 155421 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101916,19790101,    0,    0
101916,19790102,   85,    0
101916,19790103,    0,    0
101916,19790104,    0,    0
101916,19790105,    0,    0
101916,19790106,    0,    0
101916,19790107,   55,    0
101916,19790108,   32,    0
101916,19790109,   21,    0
101916,19790110,   92,    0
101916,19790111,   15,    0
101916,19790112,   17,    0
101916,19790113,    4,    0
101916,19790114,    0,    0
101916,19790115,    0,    0
101916,19790116,    0,    0
101916,19790117,    0,    0
101916,19790118,    0,    0
101916,19790119,    0,    0
101916,19790120,   98,    0
101916,19790121,    0,    0
101916,19790122,   29,    0
101916,19790123,   50,    0
101916,19790124,   28,    0
101916,19790125,   80,    0
101916,19790126,   27,    0
101916,19790127,    0,    0
101916,19790128,   27,    0
101916,19790129,    9,    0
101916,19790130,   35,    0
101916,19790131,   13,    0
101916,19790201,  197,    0
101916,19790202,    0,    0
101916,19790203,    0,    0
101916,19790204,    0,    0
101916,19790205,    0,    0
101916,19790206,    0,    0
101916,19790207,   30,    0
101916,19790208,    0,    0
101916,19790209,    0,    0
101916,19790210,    0,    0
101916,19790211,   64,    0
101916,19790212,   61,    0
101916,19790213,  136,    0
101916,19790214,    9,    0
101916,19790215,    5,    0
101916,19790216,    0,    0
101916,19790217,    0,    0
101916,19790218,    4,    0
101916,19790219,    0,    0
101916,19790220,    0,    0
101916,19790221,    0,    0
101916,19790222,   27,    0
101916,19790223,   21,    0
101916,19790224,    0,    0
101916,19790225,    0,    0
101916,19790226,    0,    0
101916,19790227,    0,    0
101916,19790228,    9,    0
101916,19790301,   44,    0
101916,19790302,   15,    0
101916,19790303,  162,    0
101916,19790304,    2,    0
101916,19790305,    0,    0
101916,19790306,   11,    0
101916,19790307,   19,    0
