EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, EMMELOORD (STAID: 532).
Blended and updated with sources: 101949 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101949,19790101,    0,    0
101949,19790102,   45,    0
101949,19790103,   30,    0
101949,19790104,    0,    0
101949,19790105,    3,    0
101949,19790106,    0,    0
101949,19790107,  105,    0
101949,19790108,   21,    0
101949,19790109,    3,    0
101949,19790110,   29,    0
101949,19790111,   24,    0
101949,19790112,   31,    0
101949,19790113,    9,    0
101949,19790114,    0,    0
101949,19790115,    3,    0
101949,19790116,    2,    0
101949,19790117,    0,    0
101949,19790118,    0,    0
101949,19790119,    0,    0
101949,19790120,    0,    0
101949,19790121,    0,    0
101949,19790122,    8,    0
101949,19790123,   35,    0
101949,19790124,    4,    0
101949,19790125,   22,    0
101949,19790126,   25,    0
101949,19790127,    2,    0
101949,19790128,    7,    0
101949,19790129,   11,    0
101949,19790130,    7,    0
101949,19790131,    6,    0
101949,19790201,  118,    0
101949,19790202,    3,    0
101949,19790203,    1,    0
101949,19790204,    8,    0
101949,19790205,    2,    0
101949,19790206,    2,    0
101949,19790207,   29,    0
101949,19790208,    0,    0
101949,19790209,    0,    0
101949,19790210,    0,    0
101949,19790211,   19,    0
101949,19790212,   52,    0
101949,19790213,   89,    0
101949,19790214,    4,    0
101949,19790215,    2,    0
101949,19790216,    0,    0
101949,19790217,    0,    0
101949,19790218,    2,    0
101949,19790219,    1,    0
101949,19790220,    1,    0
101949,19790221,    1,    0
101949,19790222,   29,    0
101949,19790223,    8,    0
101949,19790224,    1,    0
101949,19790225,    1,    0
101949,19790226,    1,    0
101949,19790227,    0,    0
101949,19790228,   12,    0
101949,19790301,   14,    0
101949,19790302,   15,    0
101949,19790303,  118,    0
101949,19790304,   10,    0
101949,19790305,    1,    0
101949,19790306,    8,    0
101949,19790307,   17,    0
101949,19790308,   30,    0
101949,19790309,   77,    0
101949,19790310,   46,    0
101949,19790311,   41,    0
101949,19790312,    1,    0
101949,19790313,    3,    0
101949,19790314,    2,    0
101949,19790315,  113,    0
101949,19790316,   42,    0
101949,19790317,    3,    0
101949,19790318,    0,    0
101949,19790319,    0,    0
101949,19790320,   37,    0
101949,19790321,   23,    0
101949,19790322,   30,    0
101949,19790323,    1,    0
101949,19790324,   27,    0
101949,19790325,   43,    0
101949,19790326,   35,    0
101949,19790327,   51,    0
101949,19790328,   11,    0
101949,19790329,   10,    0
101949,19790330,    0,    0
