EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, SCHEVENINGEN (STAID: 541).
Blended and updated with sources: 101965 109340 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101965,19790101,    6,    0
101965,19790102,   45,    0
101965,19790103,    0,    0
101965,19790104,    1,    0
101965,19790105,    0,    0
101965,19790106,    0,    0
101965,19790107,   53,    0
101965,19790108,   26,    0
101965,19790109,    5,    0
101965,19790110,   85,    0
101965,19790111,   62,    0
101965,19790112,   47,    0
101965,19790113,   21,    0
101965,19790114,    0,    0
101965,19790115,    0,    0
101965,19790116,    0,    0
101965,19790117,    0,    0
101965,19790118,    1,    0
101965,19790119,    0,    0
101965,19790120,   71,    0
101965,19790121,    0,    0
101965,19790122,    3,    0
101965,19790123,   68,    0
101965,19790124,   15,    0
101965,19790125,   55,    0
101965,19790126,   20,    0
101965,19790127,    1,    0
101965,19790128,   42,    0
101965,19790129,   29,    0
101965,19790130,   12,    0
101965,19790131,   13,    0
101965,19790201,  160,    0
101965,19790202,    0,    0
101965,19790203,    0,    0
101965,19790204,    0,    0
101965,19790205,    1,    0
101965,19790206,    2,    0
101965,19790207,   47,    0
101965,19790208,    0,    0
101965,19790209,    1,    0
101965,19790210,    0,    0
101965,19790211,   71,    0
101965,19790212,   56,    0
101965,19790213,  173,    0
101965,19790214,    3,    0
101965,19790215,    5,    0
101965,19790216,    0,    0
101965,19790217,    1,    0
101965,19790218,    2,    0
101965,19790219,    0,    0
101965,19790220,    0,    0
101965,19790221,    0,    0
101965,19790222,   38,    0
101965,19790223,    5,    0
101965,19790224,    0,    0
101965,19790225,    0,    0
101965,19790226,    0,    0
101965,19790227,    0,    0
101965,19790228,    3,    0
101965,19790301,   46,    0
101965,19790302,   24,    0
101965,19790303,  189,    0
101965,19790304,    8,    0
101965,19790305,    0,    0
101965,19790306,    4,    0
101965,19790307,    9,    0
101965,19790308,   52,    0
101965,19790309,   90,    0
101965,19790310,   72,    0
101965,19790311,   85,    0
101965,19790312,    0,    0
101965,19790313,   59,    0
101965,19790314,   24,    0
101965,19790315,  100,    0
101965,19790316,    8,    0
101965,19790317,    3,    0
101965,19790318,    1,    0
101965,19790319,    1,    0
101965,19790320,    2,    0
101965,19790321,   45,    0
101965,19790322,   34,    0
101965,19790323,    2,    0
101965,19790324,   58,    0
101965,19790325,   36,    0
101965,19790326,   83,    0
101965,19790327,   44,    0
101965,19790328,   10,    0
101965,19790329,   11,    0
101965,19790330,    2,    0
101965,19790331,   10,    0
101965,19790401,   16,    0
101965,19790402,  121,    0
101965,19790403,   11,    0
101965,19790404,    0,    0
101965,19790405,   51,    0
101965,19790406,   41,    0
101965,19790407,    2,    0
101965,19790408,    0,    0
101965,19790409,    0,    0
101965,19790410,    0,    0
101965,19790411,    5,    0
101965,19790412,   51,    0
101965,19790413,    0,    0
101965,19790414,    0,    0
101965,19790415,    1,    0
101965,19790416,   13,    0
101965,19790417,    1,    0
101965,19790418,    0,    0
101965,19790419,   50,    0
101965,19790420,   47,    0
101965,19790421,    9,    0
101965,19790422,   13,    0
101965,19790423,   10,    0
101965,19790424,   35,    0
101965,19790425,    3,    0
101965,19790426,    1,    0
101965,19790427,    9,    0
101965,19790428,   67,    0
101965,19790429,  105,    0
101965,19790430,    1,    0
101965,19790501,  406,    0
101965,19790502,   25,    0
101965,19790503,    0,    0
101965,19790504,  108,    0
101965,19790505,  150,    0
101965,19790506,    0,    0
101965,19790507,    0,    0
101965,19790508,    0,    0
101965,19790509,    0,    0
101965,19790510,   53,    0
101965,19790511,   28,    0
101965,19790512,    1,    0
101965,19790513,    0,    0
101965,19790514,    0,    0
101965,19790515,    0,    0
101965,19790516,   20,    0
101965,19790517,   16,    0
101965,19790518,    0,    0
101965,19790519,    1,    0
101965,19790520,    4,    0
101965,19790521,   11,    0
101965,19790522,    3,    0
101965,19790523,   88,    0
101965,19790524,   62,    0
101965,19790525,   11,    0
101965,19790526,  132,    0
101965,19790527,   92,    0
101965,19790528,   63,    0
101965,19790529,   91,    0
101965,19790530,  130,    0
101965,19790531,  176,    0
101965,19790601,    1,    0
101965,19790602,    2,    0
101965,19790603,   26,    0
101965,19790604,    0,    0
101965,19790605,    0,    0
101965,19790606,    0,    0
101965,19790607,   38,    0
101965,19790608,    0,    0
101965,19790609,    1,    0
101965,19790610,   65,    0
101965,19790611,    4,    0
101965,19790612,  100,    0
101965,19790613,   57,    0
101965,19790614,  133,    0
101965,19790615,   87,    0
101965,19790616,    0,    0
101965,19790617,    0,    0
101965,19790618,    1,    0
101965,19790619,    1,    0
101965,19790620,    0,    0
101965,19790621,    5,    0
101965,19790622,    0,    0
101965,19790623,   33,    0
101965,19790624,   28,    0
101965,19790625,    6,    0
101965,19790626,    0,    0
101965,19790627,    0,    0
101965,19790628,    0,    0
101965,19790629,    0,    0
101965,19790630,    0,    0
101965,19790701,    0,    0
101965,19790702,    0,    0
101965,19790703,    0,    0
101965,19790704,    0,    0
101965,19790705,    0,    0
101965,19790706,    0,    0
101965,19790707,   44,    0
101965,19790708,   34,    0
101965,19790709,    0,    0
101965,19790710,    0,    0
101965,19790711,    0,    0
101965,19790712,    0,    0
101965,19790713,    2,    0
101965,19790714,    0,    0
101965,19790715,    0,    0
101965,19790716,   15,    0
101965,19790717,    0,    0
101965,19790718,   55,    0
101965,19790719,    0,    0
101965,19790720,    0,    0
101965,19790721,   72,    0
101965,19790722,    0,    0
101965,19790723,    0,    0
101965,19790724,    0,    0
101965,19790725,    0,    0
101965,19790726,    0,    0
101965,19790727,    0,    0
101965,19790728,   41,    0
101965,19790729,   15,    0
101965,19790730,    0,    0
101965,19790731,    4,    0
101965,19790801,   34,    0
101965,19790802,    0,    0
101965,19790803,    0,    0
101965,19790804,    0,    0
101965,19790805,    0,    0
101965,19790806,    0,    0
101965,19790807,   17,    0
101965,19790808,  123,    0
101965,19790809,  147,    0
101965,19790810,   35,    0
101965,19790811,    0,    0
101965,19790812,    1,    0
101965,19790813,    0,    0
101965,19790814,    0,    0
101965,19790815,    0,    0
101965,19790816,   21,    0
101965,19790817,   32,    0
