EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, WEESP (STAID: 557).
Blended and updated with sources: 102007 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
102007,19790101,    3,    0
102007,19790102,   11,    0
102007,19790103,    0,    0
102007,19790104,    0,    0
102007,19790105,    0,    0
102007,19790106,    0,    0
102007,19790107,   44,    0
102007,19790108,   42,    0
102007,19790109,   22,    0
102007,19790110,   21,    0
102007,19790111,   44,    0
102007,19790112,   14,    0
102007,19790113,    9,    0
102007,19790114,    0,    0
102007,19790115,    0,    0
102007,19790116,    0,    0
102007,19790117,    0,    0
102007,19790118,    0,    0
102007,19790119,    0,    0
102007,19790120,  108,    0
102007,19790121,    0,    0
102007,19790122,   43,    0
102007,19790123,   33,    0
102007,19790124,    5,    0
102007,19790125,   10,    0
102007,19790126,    7,    0
102007,19790127,    0,    0
102007,19790128,   11,    0
102007,19790129,   38,    0
102007,19790130,   11,    0
102007,19790131,   10,    0
102007,19790201,  150,    0
102007,19790202,   14,    0
102007,19790203,    0,    0
102007,19790204,    0,    0
102007,19790205,    0,    0
102007,19790206,    0,    0
102007,19790207,   41,    0
102007,19790208,    2,    0
102007,19790209,    0,    0
102007,19790210,    0,    0
102007,19790211,   56,    0
102007,19790212,   37,    0
102007,19790213,  141,    0
102007,19790214,    6,    0
102007,19790215,    6,    0
102007,19790216,    0,    0
102007,19790217,    0,    0
102007,19790218,    5,    0
102007,19790219,    0,    0
102007,19790220,    0,    0
102007,19790221,    2,    0
102007,19790222,   27,    0
102007,19790223,   37,    0
102007,19790224,    2,    0
102007,19790225,    0,    0
102007,19790226,    0,    0
102007,19790227,    0,    0
102007,19790228,    1,    0
102007,19790301,   25,    0
102007,19790302,   25,    0
102007,19790303,  138,    0
102007,19790304,    9,    0
102007,19790305,    0,    0
102007,19790306,    3,    0
102007,19790307,   35,    0
102007,19790308,   33,    0
102007,19790309,   63,    0
102007,19790310,   47,    0
102007,19790311,   56,    0
102007,19790312,    0,    0
102007,19790313,   22,    0
102007,19790314,    5,    0
102007,19790315,  117,    0
102007,19790316,   17,    0
102007,19790317,    4,    0
102007,19790318,    1,    0
102007,19790319,    0,    0
102007,19790320,    3,    0
102007,19790321,   17,    0
102007,19790322,   16,    0
102007,19790323,    1,    0
102007,19790324,   37,    0
102007,19790325,   18,    0
102007,19790326,   86,    0
102007,19790327,   92,    0
102007,19790328,    7,    0
102007,19790329,   31,    0
102007,19790330,    0,    0
102007,19790331,    5,    0
102007,19790401,   10,    0
102007,19790402,   77,    0
102007,19790403,    4,    0
102007,19790404,    0,    0
102007,19790405,   31,    0
102007,19790406,   18,    0
102007,19790407,    0,    0
102007,19790408,    0,    0
102007,19790409,    0,    0
102007,19790410,    0,    0
102007,19790411,   14,    0
102007,19790412,   48,    0
102007,19790413,    0,    0
102007,19790414,    0,    0
102007,19790415,   37,    0
102007,19790416,   18,    0
102007,19790417,    1,    0
102007,19790418,    0,    0
102007,19790419,   29,    0
102007,19790420,   77,    0
102007,19790421,   62,    0
102007,19790422,   19,    0
102007,19790423,   16,    0
102007,19790424,   23,    0
102007,19790425,   99,    0
102007,19790426,    1,    0
102007,19790427,   19,    0
102007,19790428,   59,    0
102007,19790429,  132,    0
102007,19790430,   12,    0
102007,19790501,  211,    0
102007,19790502,   65,    0
102007,19790503,    3,    0
102007,19790504,    0,    0
102007,19790505,   11,    0
102007,19790506,    1,    0
102007,19790507,    0,    0
102007,19790508,    0,    0
102007,19790509,    0,    0
102007,19790510,   61,    0
102007,19790511,   18,    0
102007,19790512,    0,    0
102007,19790513,    0,    0
102007,19790514,    0,    0
102007,19790515,    0,    0
102007,19790516,    1,    0
102007,19790517,    4,    0
102007,19790518,    6,    0
102007,19790519,    0,    0
102007,19790520,    2,    0
102007,19790521,   20,    0
102007,19790522,   61,    0
102007,19790523,   36,    0
102007,19790524,   39,    0
102007,19790525,   33,    0
102007,19790526,  103,    0
102007,19790527,   68,    0
102007,19790528,    7,    0
102007,19790529,   68,    0
102007,19790530,  119,    0
102007,19790531,  364,    0
102007,19790601,    0,    0
102007,19790602,    0,    0
102007,19790603,  123,    0
102007,19790604,    3,    0
102007,19790605,    0,    0
102007,19790606,   62,    0
102007,19790607,    6,    0
102007,19790608,    0,    0
102007,19790609,    0,    0
102007,19790610,   58,    0
102007,19790611,   17,    0
102007,19790612,   35,    0
102007,19790613,  116,    0
102007,19790614,  148,    0
102007,19790615,   46,    0
102007,19790616,    1,    0
102007,19790617,    0,    0
102007,19790618,    0,    0
102007,19790619,    0,    0
102007,19790620,    0,    0
102007,19790621,    4,    0
102007,19790622,    0,    0
102007,19790623,   13,    0
102007,19790624,   48,    0
102007,19790625,   10,    0
102007,19790626,    0,    0
102007,19790627,    0,    0
102007,19790628,    4,    0
102007,19790629,    2,    0
102007,19790630,    2,    0
102007,19790701,    5,    0
102007,19790702,    0,    0
102007,19790703,    0,    0
102007,19790704,    0,    0
102007,19790705,    0,    0
102007,19790706,    0,    0
102007,19790707,    7,    0
102007,19790708,   33,    0
102007,19790709,    4,    0
102007,19790710,    0,    0
102007,19790711,    0,    0
102007,19790712,    0,    0
102007,19790713,    0,    0
102007,19790714,    0,    0
102007,19790715,    0,    0
102007,19790716,   16,    0
102007,19790717,    0,    0
