EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, LIEVELDE (STAID: 566).
Blended and updated with sources: 102038 109186 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109186,19790101,    0,    0
109186,19790102,    0,    0
109186,19790103,    0,    0
109186,19790104,    0,    0
109186,19790105,    0,    0
109186,19790106,    0,    0
109186,19790107,   49,    0
109186,19790108,   73,    0
109186,19790109,   38,    0
109186,19790110,   64,    0
109186,19790111,   26,    0
109186,19790112,   23,    0
109186,19790113,    0,    0
109186,19790114,    0,    0
109186,19790115,    0,    0
109186,19790116,    0,    0
109186,19790117,    0,    0
109186,19790118,    0,    0
109186,19790119,    0,    0
109186,19790120,    0,    0
109186,19790121,    0,    0
109186,19790122,   26,    0
109186,19790123,   13,    0
109186,19790124,   12,    0
109186,19790125,   16,    0
109186,19790126,    0,    0
109186,19790127,    0,    0
109186,19790128,    2,    0
109186,19790129,   29,    0
109186,19790130,    5,    0
109186,19790131,    0,    0
109186,19790201,  219,    0
109186,19790202,    3,    0
109186,19790203,    0,    0
109186,19790204,    0,    0
109186,19790205,    0,    0
109186,19790206,    0,    0
109186,19790207,   28,    0
109186,19790208,    0,    0
109186,19790209,    0,    0
109186,19790210,    0,    0
109186,19790211,   38,    0
109186,19790212,   13,    0
109186,19790213,  161,    0
109186,19790214,   92,    0
109186,19790215,    1,    0
109186,19790216,    0,    0
109186,19790217,   33,    0
109186,19790218,    0,    0
109186,19790219,    0,    0
109186,19790220,    0,    0
109186,19790221,    0,    0
109186,19790222,   26,    0
109186,19790223,    0,    0
109186,19790224,    0,    0
109186,19790225,    0,    0
109186,19790226,    0,    0
109186,19790227,    0,    0
109186,19790228,    1,    0
109186,19790301,   18,    0
109186,19790302,   29,    0
109186,19790303,   78,    0
109186,19790304,   19,    0
109186,19790305,    1,    0
109186,19790306,   10,    0
109186,19790307,   51,    0
109186,19790308,   23,    0
109186,19790309,  133,    0
109186,19790310,   54,    0
109186,19790311,   49,    0
109186,19790312,    0,    0
109186,19790313,   55,    0
109186,19790314,   50,    0
109186,19790315,   92,    0
109186,19790316,   25,    0
109186,19790317,    5,    0
109186,19790318,   21,    0
109186,19790319,    0,    0
109186,19790320,    1,    0
109186,19790321,   17,    0
109186,19790322,   62,    0
109186,19790323,    0,    0
109186,19790324,   11,    0
109186,19790325,   16,    0
109186,19790326,   14,    0
109186,19790327,   52,    0
109186,19790328,   14,    0
109186,19790329,   14,    0
109186,19790330,   15,    0
109186,19790331,    8,    0
109186,19790401,   44,    0
109186,19790402,   30,    0
109186,19790403,   31,    0
109186,19790404,   61,    0
109186,19790405,    0,    0
109186,19790406,    0,    0
109186,19790407,    0,    0
109186,19790408,    0,    0
109186,19790409,    0,    0
109186,19790410,    0,    0
109186,19790411,   10,    0
109186,19790412,    0,    0
109186,19790413,    0,    0
109186,19790414,    0,    0
109186,19790415,   10,    0
109186,19790416,   14,    0
109186,19790417,    0,    0
109186,19790418,    0,    0
109186,19790419,    0,    0
109186,19790420,   69,    0
109186,19790421,   10,    0
109186,19790422,   23,    0
109186,19790423,   28,    0
109186,19790424,   63,    0
109186,19790425,    0,    0
109186,19790426,  103,    0
109186,19790427,    8,    0
109186,19790428,    8,    0
109186,19790429,  103,    0
109186,19790430,    4,    0
109186,19790501,  165,    0
109186,19790502,   82,    0
109186,19790503,   36,    0
109186,19790504,    2,    0
109186,19790505,    3,    0
109186,19790506,    0,    0
109186,19790507,    0,    0
109186,19790508,    0,    0
109186,19790509,    0,    0
109186,19790510,   41,    0
109186,19790511,   57,    0
109186,19790512,    0,    0
109186,19790513,    0,    0
109186,19790514,    0,    0
109186,19790515,    0,    0
109186,19790516,    2,    0
109186,19790517,   18,    0
109186,19790518,    0,    0
109186,19790519,    1,    0
109186,19790520,   27,    0
109186,19790521,   13,    0
109186,19790522,   13,    0
109186,19790523,   85,    0
109186,19790524,   61,    0
109186,19790525,   36,    0
109186,19790526,   54,    0
109186,19790527,   23,    0
109186,19790528,    0,    0
109186,19790529,   80,    0
109186,19790530,    0,    0
109186,19790531,    0,    0
109186,19790601,  130,    0
109186,19790602,    0,    0
109186,19790603,    0,    0
109186,19790604,  202,    0
109186,19790605,    0,    0
109186,19790606,    0,    0
109186,19790607,    1,    0
109186,19790608,   18,    0
109186,19790609,    0,    0
109186,19790610,   52,    0
109186,19790611,    0,    0
109186,19790612,   43,    0
109186,19790613,   38,    0
109186,19790614,   14,    0
109186,19790615,    0,    0
109186,19790616,    0,    0
109186,19790617,    0,    0
109186,19790618,    0,    0
109186,19790619,    0,    0
109186,19790620,    0,    0
109186,19790621,   86,    0
109186,19790622,    1,    0
109186,19790623,    7,    0
109186,19790624,   38,    0
109186,19790625,    0,    0
109186,19790626,    0,    0
109186,19790627,    0,    0
109186,19790628,    0,    0
109186,19790629,    0,    0
109186,19790630,    0,    0
109186,19790701,    5,    0
109186,19790702,    0,    0
109186,19790703,    0,    0
109186,19790704,    0,    0
109186,19790705,    0,    0
109186,19790706,    0,    0
109186,19790707,    6,    0
109186,19790708,    9,    0
109186,19790709,   16,    0
109186,19790710,    0,    0
109186,19790711,    0,    0
109186,19790712,    0,    0
109186,19790713,   15,    0
109186,19790714,    0,    0
109186,19790715,    0,    0
109186,19790716,   20,    0
109186,19790717,    0,    0
109186,19790718,  144,    0
109186,19790719,    0,    0
109186,19790720,    0,    0
109186,19790721,   55,    0
109186,19790722,    0,    0
109186,19790723,   16,    0
109186,19790724,   41,    0
109186,19790725,    1,    0
109186,19790726,    0,    0
109186,19790727,    0,    0
109186,19790728,    2,    0
109186,19790729,   42,    0
109186,19790730,   16,    0
109186,19790731,    0,    0
109186,19790801,  277,    0
109186,19790802,    6,    0
109186,19790803,   91,    0
109186,19790804,  122,    0
109186,19790805,    0,    0
109186,19790806,    0,    0
109186,19790807,    0,    0
109186,19790808,   27,    0
109186,19790809,  116,    0
109186,19790810,    4,    0
109186,19790811,    4,    0
109186,19790812,    0,    0
109186,19790813,    0,    0
109186,19790814,    0,    0
109186,19790815,   57,    0
109186,19790816,   42,    0
109186,19790817,    4,    0
109186,19790818,    0,    0
109186,19790819,    0,    0
109186,19790820,    0,    0
109186,19790821,   17,    0
109186,19790822,    0,    0
109186,19790823,    0,    0
109186,19790824,   17,    0
109186,19790825,   24,    0
109186,19790826,    9,    0
109186,19790827,   27,    0
109186,19790828,    0,    0
109186,19790829,    0,    0
109186,19790830,    0,    0
109186,19790831,    0,    0
109186,19790901,    0,    0
109186,19790902,   63,    0
109186,19790903,   87,    0
109186,19790904,    0,    0
109186,19790905,    0,    0
109186,19790906,    0,    0
109186,19790907,    0,    0
109186,19790908,   96,    0
109186,19790909,    0,    0
109186,19790910,    0,    0
109186,19790911,    0,    0
109186,19790912,    0,    0
109186,19790913,    0,    0
109186,19790914,    0,    0
109186,19790915,    0,    0
109186,19790916,    0,    0
109186,19790917,    0,    0
109186,19790918,   35,    0
109186,19790919,   42,    0
109186,19790920,    3,    0
109186,19790921,    0,    0
109186,19790922,    0,    0
109186,19790923,    2,    0
109186,19790924,    0,    0
109186,19790925,    0,    0
109186,19790926,    0,    0
109186,19790927,   16,    0
109186,19790928,    0,    0
109186,19790929,    0,    0
109186,19790930,    0,    0
109186,19791001,    0,    0
109186,19791002,    0,    0
109186,19791003,    7,    0
109186,19791004,   14,    0
109186,19791005,    5,    0
109186,19791006,    0,    0
109186,19791007,    0,    0
109186,19791008,   12,    0
109186,19791009,    0,    0
109186,19791010,    0,    0
109186,19791011,  109,    0
109186,19791012,    4,    0
109186,19791013,   10,    0
109186,19791014,   14,    0
109186,19791015,    4,    0
109186,19791016,    0,    0
109186,19791017,    9,    0
109186,19791018,    0,    0
109186,19791019,    0,    0
109186,19791020,    2,    0
109186,19791021,    0,    0
109186,19791022,    0,    0
109186,19791023,    0,    0
109186,19791024,    0,    0
109186,19791025,    0,    0
109186,19791026,    0,    0
109186,19791027,    0,    0
109186,19791028,    1,    0
109186,19791029,   16,    0
109186,19791030,    1,    0
109186,19791031,   41,    0
109186,19791101,   16,    0
109186,19791102,    0,    0
109186,19791103,   11,    0
109186,19791104,  177,    0
109186,19791105,  149,    0
109186,19791106,   29,    0
109186,19791107,   52,    0
109186,19791108,   32,    0
109186,19791109,    5,    0
109186,19791110,    0,    0
109186,19791111,   41,    0
109186,19791112,   44,    0
109186,19791113,    0,    0
109186,19791114,   13,    0
109186,19791115,    0,    0
109186,19791116,    0,    0
109186,19791117,    0,    0
109186,19791118,   28,    0
109186,19791119,    0,    0
109186,19791120,    0,    0
109186,19791121,    0,    0
109186,19791122,    0,    0
109186,19791123,    8,    0
109186,19791124,    0,    0
109186,19791125,    0,    0
109186,19791126,   33,    0
109186,19791127,    0,    0
109186,19791128,    0,    0
109186,19791129,    0,    0
109186,19791130,   30,    0
109186,19791201,    6,    0
109186,19791202,    0,    0
109186,19791203,    0,    0
109186,19791204,    0,    0
109186,19791205,   25,    0
109186,19791206,    0,    0
109186,19791207,   40,    0
109186,19791208,   18,    0
109186,19791209,   74,    0
109186,19791210,   17,    0
109186,19791211,  128,    0
109186,19791212,   37,    0
109186,19791213,   83,    0
109186,19791214,   38,    0
109186,19791215,   47,    0
109186,19791216,   29,    0
109186,19791217,   44,    0
109186,19791218,    7,    0
109186,19791219,    0,    0
109186,19791220,    4,    0
109186,19791221,    0,    0
109186,19791222,    0,    0
109186,19791223,   10,    0
109186,19791224,    2,    0
109186,19791225,    0,    0
109186,19791226,    0,    0
109186,19791227,   61,    0
109186,19791228,   48,    0
109186,19791229,   81,    0
109186,19791230,   37,    0
109186,19791231,   23,    0
109186,19800101,   19,    0
109186,19800102,    3,    0
109186,19800103,   22,    0
109186,19800104,   63,    0
109186,19800105,   50,    0
109186,19800106,   99,    0
109186,19800107,    0,    0
109186,19800108,    0,    0
109186,19800109,    0,    0
109186,19800110,    0,    0
109186,19800111,    0,    0
109186,19800112,    0,    0
109186,19800113,    0,    0
109186,19800114,    0,    0
109186,19800115,    0,    0
109186,19800116,    0,    0
109186,19800117,    0,    0
109186,19800118,    0,    0
109186,19800119,    0,    0
109186,19800120,    0,    0
109186,19800121,   50,    0
109186,19800122,   26,    0
109186,19800123,    6,    0
109186,19800124,    0,    0
109186,19800125,    3,    0
109186,19800126,   12,    0
109186,19800127,    0,    0
109186,19800128,   44,    0
109186,19800129,    3,    0
109186,19800130,   54,    0
109186,19800131,  111,    0
109186,19800201,   14,    0
109186,19800202,   87,    0
109186,19800203,  111,    0
109186,19800204,   75,    0
109186,19800205,  133,    0
109186,19800206,    4,    0
109186,19800207,    3,    0
109186,19800208,    1,    0
109186,19800209,    1,    0
109186,19800210,    0,    0
109186,19800211,   45,    0
109186,19800212,   13,    0
109186,19800213,   13,    0
109186,19800214,    0,    0
109186,19800215,   25,    0
109186,19800216,    0,    0
109186,19800217,    0,    0
