EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, SCHIPHOL (STAID: 593).
Blended and updated with sources: 109190 152485 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
152485,19790101,    0,    0
152485,19790102,   23,    0
152485,19790103,    0,    0
152485,19790104,    0,    0
152485,19790105,    0,    0
152485,19790106,    0,    0
152485,19790107,   33,    0
152485,19790108,   38,    0
152485,19790109,   27,    0
152485,19790110,   41,    0
152485,19790111,   39,    0
152485,19790112,   22,    0
152485,19790113,   10,    0
152485,19790114,    0,    0
152485,19790115,    0,    0
152485,19790116,    0,    0
152485,19790117,    0,    0
152485,19790118,    0,    0
152485,19790119,    0,    0
152485,19790120,   76,    0
152485,19790121,    0,    0
152485,19790122,    0,    0
152485,19790123,   49,    0
152485,19790124,    3,    0
152485,19790125,   16,    0
152485,19790126,   38,    0
152485,19790127,    0,    0
152485,19790128,    0,    0
152485,19790129,   20,    0
152485,19790130,   26,    0
152485,19790131,    0,    0
152485,19790201,  118,    0
152485,19790202,   74,    0
152485,19790203,    0,    0
152485,19790204,    0,    0
152485,19790205,    0,    0
152485,19790206,    0,    0
152485,19790207,   18,    0
152485,19790208,    0,    0
152485,19790209,    0,    0
152485,19790210,    0,    0
152485,19790211,    1,    0
152485,19790212,   49,    0
152485,19790213,  103,    0
152485,19790214,   25,    0
152485,19790215,   12,    0
152485,19790216,    0,    0
152485,19790217,    0,    0
152485,19790218,    0,    0
152485,19790219,    0,    0
152485,19790220,    0,    0
152485,19790221,    0,    0
152485,19790222,   20,    0
152485,19790223,   20,    0
152485,19790224,    0,    0
152485,19790225,    0,    0
152485,19790226,    0,    0
152485,19790227,    0,    0
152485,19790228,    0,    0
152485,19790301,    0,    0
152485,19790302,   64,    0
152485,19790303,   97,    0
152485,19790304,   92,    0
152485,19790305,    0,    0
152485,19790306,    1,    0
152485,19790307,   25,    0
152485,19790308,    0,    0
152485,19790309,  150,    0
152485,19790310,    0,    0
152485,19790311,   97,    0
152485,19790312,    0,    0
152485,19790313,   14,    0
152485,19790314,    0,    0
152485,19790315,   85,    0
152485,19790316,   21,    0
152485,19790317,    2,    0
152485,19790318,    0,    0
152485,19790319,    0,    0
152485,19790320,    0,    0
152485,19790321,   47,    0
152485,19790322,   28,    0
152485,19790323,    4,    0
152485,19790324,    0,    0
152485,19790325,   72,    0
152485,19790326,   41,    0
152485,19790327,   42,    0
152485,19790328,   50,    0
152485,19790329,    0,    0
152485,19790330,   16,    0
152485,19790331,    1,    0
152485,19790401,    2,    0
152485,19790402,    8,    0
152485,19790403,  135,    0
152485,19790404,    0,    0
152485,19790405,    0,    0
152485,19790406,   62,    0
152485,19790407,    0,    0
152485,19790408,    0,    0
152485,19790409,    0,    0
152485,19790410,    0,    0
152485,19790411,    0,    0
152485,19790412,   44,    0
152485,19790413,    0,    0
152485,19790414,    0,    0
152485,19790415,   29,    0
152485,19790416,    7,    0
152485,19790417,    0,    0
152485,19790418,    0,    0
152485,19790419,    4,    0
152485,19790420,   95,    0
152485,19790421,   33,    0
152485,19790422,   33,    0
152485,19790423,   74,    0
152485,19790424,   14,    0
152485,19790425,   11,    0
152485,19790426,   23,    0
152485,19790427,    2,    0
152485,19790428,   89,    0
152485,19790429,   57,    0
152485,19790430,   68,    0
152485,19790501,  102,    0
152485,19790502,  291,    0
152485,19790503,    6,    0
152485,19790504,   40,    0
152485,19790505,   17,    0
152485,19790506,   12,    0
152485,19790507,    0,    0
152485,19790508,    0,    0
152485,19790509,    0,    0
152485,19790510,    0,    0
152485,19790511,  109,    0
152485,19790512,    0,    0
152485,19790513,    0,    0
152485,19790514,    0,    0
152485,19790515,    0,    0
152485,19790516,    0,    0
152485,19790517,   18,    0
152485,19790518,    0,    0
152485,19790519,    0,    0
152485,19790520,    5,    0
152485,19790521,   16,    0
152485,19790522,   26,    0
152485,19790523,   49,    0
152485,19790524,   92,    0
152485,19790525,   34,    0
152485,19790526,   75,    0
152485,19790527,   35,    0
152485,19790528,    0,    0
152485,19790529,  104,    0
152485,19790530,  134,    0
152485,19790531,  105,    0
152485,19790601,    1,    0
152485,19790602,    0,    0
152485,19790603,   71,    0
152485,19790604,   68,    0
152485,19790605,    0,    0
152485,19790606,    0,    0
152485,19790607,   27,    0
152485,19790608,    0,    0
152485,19790609,    0,    0
152485,19790610,    0,    0
152485,19790611,  141,    0
152485,19790612,    0,    0
152485,19790613,   74,    0
152485,19790614,  245,    0
152485,19790615,   63,    0
152485,19790616,    0,    0
152485,19790617,    0,    0
152485,19790618,    0,    0
152485,19790619,    0,    0
152485,19790620,    0,    0
152485,19790621,    0,    0
152485,19790622,    7,    0
152485,19790623,    0,    0
152485,19790624,   56,    0
152485,19790625,   22,    0
152485,19790626,    0,    0
152485,19790627,    0,    0
152485,19790628,    0,    0
152485,19790629,    8,    0
152485,19790630,    8,    0
152485,19790701,    0,    0
152485,19790702,    0,    0
152485,19790703,    0,    0
152485,19790704,    0,    0
152485,19790705,    0,    0
152485,19790706,    0,    0
152485,19790707,    7,    0
152485,19790708,    3,    0
152485,19790709,   34,    0
152485,19790710,    0,    0
152485,19790711,    0,    0
152485,19790712,    0,    0
152485,19790713,    0,    0
152485,19790714,    0,    0
152485,19790715,    0,    0
152485,19790716,   29,    0
152485,19790717,    7,    0
152485,19790718,   61,    0
152485,19790719,    0,    0
152485,19790720,    0,    0
152485,19790721,   86,    0
152485,19790722,    8,    0
152485,19790723,   12,    0
152485,19790724,   25,    0
152485,19790725,    0,    0
152485,19790726,    0,    0
152485,19790727,    0,    0
152485,19790728,    0,    0
152485,19790729,   63,    0
152485,19790730,    1,    0
152485,19790731,    1,    0
152485,19790801,   24,    0
152485,19790802,    0,    0
152485,19790803,    0,    0
152485,19790804,    0,    0
152485,19790805,    0,    0
152485,19790806,    0,    0
152485,19790807,    7,    0
152485,19790808,    4,    0
152485,19790809,  133,    0
152485,19790810,    5,    0
152485,19790811,   34,    0
152485,19790812,    0,    0
152485,19790813,    0,    0
152485,19790814,    0,    0
152485,19790815,    0,    0
152485,19790816,    0,    0
152485,19790817,   34,    0
152485,19790818,    0,    0
152485,19790819,    0,    0
152485,19790820,    0,    0
152485,19790821,   10,    0
152485,19790822,    1,    0
152485,19790823,   45,    0
152485,19790824,   30,    0
152485,19790825,    9,    0
152485,19790826,   51,    0
152485,19790827,   64,    0
152485,19790828,    1,    0
152485,19790829,    0,    0
152485,19790830,    0,    0
152485,19790831,    0,    0
152485,19790901,    0,    0
152485,19790902,   42,    0
152485,19790903,  139,    0
152485,19790904,    0,    0
152485,19790905,    0,    0
152485,19790906,    0,    0
152485,19790907,    0,    0
152485,19790908,    6,    0
152485,19790909,    1,    0
152485,19790910,    0,    0
152485,19790911,    0,    0
152485,19790912,    0,    0
152485,19790913,    0,    0
152485,19790914,   14,    0
152485,19790915,    2,    0
152485,19790916,    0,    0
152485,19790917,    0,    0
152485,19790918,   15,    0
152485,19790919,  111,    0
152485,19790920,    3,    0
152485,19790921,    0,    0
152485,19790922,    0,    0
152485,19790923,    0,    0
152485,19790924,    9,    0
152485,19790925,    1,    0
152485,19790926,    1,    0
152485,19790927,   21,    0
152485,19790928,    0,    0
152485,19790929,    0,    0
152485,19790930,    0,    0
152485,19791001,    0,    0
152485,19791002,    0,    0
152485,19791003,    5,    0
152485,19791004,   19,    0
152485,19791005,   13,    0
152485,19791006,    0,    0
152485,19791007,    0,    0
152485,19791008,    0,    0
152485,19791009,    8,    0
152485,19791010,    0,    0
152485,19791011,    5,    0
152485,19791012,   62,    0
152485,19791013,   25,    0
152485,19791014,   35,    0
152485,19791015,   37,    0
152485,19791016,   20,    0
152485,19791017,    0,    0
152485,19791018,   37,    0
152485,19791019,    0,    0
152485,19791020,    1,    0
152485,19791021,    0,    0
152485,19791022,    0,    0
152485,19791023,    0,    0
152485,19791024,    0,    0
152485,19791025,    0,    0
152485,19791026,    0,    0
152485,19791027,    0,    0
152485,19791028,    0,    0
152485,19791029,    1,    0
152485,19791030,    5,    0
152485,19791031,   65,    0
152485,19791101,    0,    0
152485,19791102,    0,    0
152485,19791103,   12,    0
152485,19791104,  162,    0
152485,19791105,  175,    0
152485,19791106,   79,    0
152485,19791107,   90,    0
152485,19791108,   57,    0
152485,19791109,    8,    0
152485,19791110,   85,    0
152485,19791111,    0,    0
152485,19791112,   85,    0
152485,19791113,   41,    0
152485,19791114,   21,    0
152485,19791115,    0,    0
152485,19791116,    0,    0
152485,19791117,    0,    0
152485,19791118,   76,    0
152485,19791119,   11,    0
152485,19791120,    0,    0
152485,19791121,    0,    0
152485,19791122,    0,    0
152485,19791123,   10,    0
152485,19791124,    1,    0
152485,19791125,    0,    0
152485,19791126,   18,    0
152485,19791127,    1,    0
152485,19791128,    0,    0
152485,19791129,    0,    0
152485,19791130,   33,    0
152485,19791201,    0,    0
152485,19791202,    0,    0
152485,19791203,    0,    0
152485,19791204,    0,    0
152485,19791205,   23,    0
152485,19791206,    0,    0
152485,19791207,  151,    0
152485,19791208,   13,    0
152485,19791209,  113,    0
152485,19791210,   33,    0
152485,19791211,  144,    0
152485,19791212,    0,    0
152485,19791213,   43,    0
152485,19791214,  105,    0
152485,19791215,  228,    0
152485,19791216,   38,    0
152485,19791217,    1,    0
152485,19791218,   26,    0
152485,19791219,    9,    0
152485,19791220,   11,    0
152485,19791221,    0,    0
152485,19791222,    0,    0
152485,19791223,   33,    0
152485,19791224,    5,    0
152485,19791225,   18,    0
152485,19791226,    0,    0
152485,19791227,   43,    0
152485,19791228,  199,    0
152485,19791229,   44,    0
152485,19791230,  156,    0
152485,19791231,   25,    0
152485,19800101,   31,    0
152485,19800102,    9,    0
152485,19800103,   13,    0
152485,19800104,   93,    0
152485,19800105,   37,    0
152485,19800106,   85,    0
152485,19800107,    0,    0
152485,19800108,    0,    0
152485,19800109,    0,    0
152485,19800110,    0,    0
152485,19800111,    0,    0
152485,19800112,    0,    0
152485,19800113,    0,    0
152485,19800114,    0,    0
152485,19800115,    0,    0
152485,19800116,    0,    0
152485,19800117,    0,    0
152485,19800118,    0,    0
152485,19800119,    0,    0
152485,19800120,    2,    0
152485,19800121,   52,    0
152485,19800122,    0,    0
152485,19800123,   46,    0
152485,19800124,   13,    0
152485,19800125,   16,    0
152485,19800126,   20,    0
152485,19800127,    4,    0
152485,19800128,   38,    0
152485,19800129,    3,    0
152485,19800130,    4,    0
152485,19800131,  112,    0
152485,19800201,    2,    0
152485,19800202,   91,    0
152485,19800203,   71,    0
152485,19800204,   48,    0
152485,19800205,   44,    0
152485,19800206,    9,    0
152485,19800207,    5,    0
152485,19800208,   17,    0
152485,19800209,    0,    0
152485,19800210,   18,    0
152485,19800211,    4,    0
152485,19800212,    0,    0
152485,19800213,    0,    0
152485,19800214,    0,    0
152485,19800215,   34,    0
152485,19800216,    0,    0
152485,19800217,    0,    0
152485,19800218,    0,    0
152485,19800219,    0,    0
152485,19800220,    0,    0
152485,19800221,    0,    0
152485,19800222,    0,    0
152485,19800223,   16,    0
152485,19800224,    0,    0
152485,19800225,    0,    0
152485,19800226,    0,    0
152485,19800227,    0,    0
152485,19800228,    0,    0
152485,19800229,    0,    0
152485,19800301,    0,    0
152485,19800302,    0,    0
152485,19800303,   14,    0
152485,19800304,    3,    0
152485,19800305,    0,    0
152485,19800306,   41,    0
152485,19800307,   94,    0
152485,19800308,   38,    0
152485,19800309,    0,    0
152485,19800310,   30,    0
152485,19800311,    0,    0
152485,19800312,  136,    0
152485,19800313,   66,    0
152485,19800314,    3,    0
152485,19800315,    0,    0
152485,19800316,    0,    0
152485,19800317,    0,    0
152485,19800318,    0,    0
152485,19800319,    0,    0
152485,19800320,    0,    0
152485,19800321,    0,    0
152485,19800322,    4,    0
152485,19800323,    0,    0
152485,19800324,    0,    0
152485,19800325,   13,    0
152485,19800326,    0,    0
152485,19800327,  118,    0
152485,19800328,   41,    0
152485,19800329,   51,    0
152485,19800330,    0,    0
152485,19800331,   22,    0
152485,19800401,  134,    0
152485,19800402,   23,    0
152485,19800403,    7,    0
152485,19800404,    0,    0
152485,19800405,    0,    0
152485,19800406,    0,    0
152485,19800407,    0,    0
152485,19800408,   11,    0
152485,19800409,    7,    0
152485,19800410,    0,    0
152485,19800411,    0,    0
152485,19800412,    0,    0
152485,19800413,    0,    0
152485,19800414,    0,    0
152485,19800415,    0,    0
152485,19800416,    0,    0
152485,19800417,    0,    0
152485,19800418,   12,    0
152485,19800419,    5,    0
152485,19800420,   73,    0
152485,19800421,    5,    0
152485,19800422,    0,    0
152485,19800423,    0,    0
152485,19800424,    0,    0
152485,19800425,    1,    0
152485,19800426,   17,    0
152485,19800427,    0,    0
152485,19800428,    0,    0
152485,19800429,    4,    0
152485,19800430,    0,    0
152485,19800501,    0,    0
152485,19800502,    0,    0
152485,19800503,    0,    0
152485,19800504,    0,    0
152485,19800505,    0,    0
152485,19800506,    8,    0
152485,19800507,    1,    0
152485,19800508,    0,    0
152485,19800509,    0,    0
152485,19800510,    0,    0
152485,19800511,    0,    0
152485,19800512,    0,    0
152485,19800513,    0,    0
152485,19800514,    0,    0
152485,19800515,    0,    0
152485,19800516,    0,    0
152485,19800517,    0,    0
152485,19800518,    0,    0
152485,19800519,    0,    0
152485,19800520,    0,    0
152485,19800521,    0,    0
152485,19800522,    0,    0
152485,19800523,    3,    0
152485,19800524,    3,    0
152485,19800525,    1,    0
152485,19800526,    0,    0
152485,19800527,    0,    0
152485,19800528,    6,    0
152485,19800529,   19,    0
152485,19800530,    0,    0
152485,19800531,   48,    0
152485,19800601,   19,    0
152485,19800602,    0,    0
152485,19800603,   20,    0
152485,19800604,    0,    0
152485,19800605,    0,    0
152485,19800606,    0,    0
152485,19800607,    0,    0
152485,19800608,    0,    0
152485,19800609,    0,    0
152485,19800610,    0,    0
152485,19800611,  118,    0
152485,19800612,    0,    0
152485,19800613,    1,    0
152485,19800614,    0,    0
152485,19800615,    7,    0
152485,19800616,   77,    0
152485,19800617,   70,    0
152485,19800618,    0,    0
152485,19800619,   19,    0
152485,19800620,   34,    0
152485,19800621,   22,    0
152485,19800622,   77,    0
152485,19800623,   86,    0
152485,19800624,   79,    0
152485,19800625,    5,    0
152485,19800626,    4,    0
152485,19800627,   22,    0
152485,19800628,   98,    0
152485,19800629,   53,    0
152485,19800630,   17,    0
152485,19800701,  130,    0
152485,19800702,    9,    0
152485,19800703,    0,    0
152485,19800704,    4,    0
152485,19800705,   58,    0
152485,19800706,   68,    0
152485,19800707,   73,    0
152485,19800708,   82,    0
152485,19800709,   10,    0
152485,19800710,   64,    0
152485,19800711,    0,    0
152485,19800712,   30,    0
152485,19800713,   30,    0
152485,19800714,  129,    0
152485,19800715,    0,    0
152485,19800716,    9,    0
152485,19800717,    5,    0
152485,19800718,   41,    0
152485,19800719,  105,    0
152485,19800720,   45,    0
152485,19800721,   23,    0
152485,19800722,    0,    0
152485,19800723,    0,    0
152485,19800724,    0,    0
152485,19800725,    0,    0
152485,19800726,   36,    0
152485,19800727,    0,    0
152485,19800728,    0,    0
152485,19800729,    0,    0
152485,19800730,   13,    0
152485,19800731,    0,    0
152485,19800801,    0,    0
152485,19800802,    0,    0
152485,19800803,    0,    0
152485,19800804,    2,    0
152485,19800805,    4,    0
152485,19800806,    0,    0
152485,19800807,    0,    0
152485,19800808,   29,    0
152485,19800809,    0,    0
152485,19800810,    0,    0
152485,19800811,   40,    0
152485,19800812,   67,    0
152485,19800813,    2,    0
152485,19800814,   32,    0
152485,19800815,   21,    0
152485,19800816,    0,    0
152485,19800817,    0,    0
152485,19800818,   13,    0
152485,19800819,    0,    0
152485,19800820,    0,    0
