EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, BROUWERSHAVEN (STAID: 2379).
Blended and updated with sources: 109016 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109016,19790101,   27,    0
109016,19790102,    0,    0
109016,19790103,    0,    0
109016,19790104,    0,    0
109016,19790105,    0,    0
109016,19790106,    0,    0
109016,19790107,   41,    0
109016,19790108,   45,    0
109016,19790109,    0,    0
109016,19790110,  112,    0
109016,19790111,   57,    0
109016,19790112,   27,    0
109016,19790113,   48,    0
109016,19790114,    0,    0
109016,19790115,    0,    0
109016,19790116,    0,    0
109016,19790117,    0,    0
109016,19790118,    0,    0
109016,19790119,    0,    0
109016,19790120,   37,    0
109016,19790121,    0,    0
109016,19790122,   38,    0
109016,19790123,   44,    0
109016,19790124,   19,    0
109016,19790125,   33,    0
109016,19790126,    0,    0
109016,19790127,    0,    0
109016,19790128,   16,    0
109016,19790129,   20,    0
109016,19790130,    8,    0
109016,19790131,    8,    0
109016,19790201,  126,    0
109016,19790202,    0,    0
109016,19790203,    0,    0
109016,19790204,    0,    0
109016,19790205,    0,    0
109016,19790206,   28,    0
109016,19790207,   18,    0
109016,19790208,    0,    0
109016,19790209,    0,    0
109016,19790210,    0,    0
109016,19790211,   46,    0
109016,19790212,   23,    0
109016,19790213,  107,    0
109016,19790214,    4,    0
109016,19790215,    0,    0
109016,19790216,    0,    0
109016,19790217,    0,    0
109016,19790218,    0,    0
109016,19790219,    0,    0
109016,19790220,    0,    0
109016,19790221,    0,    0
109016,19790222,   43,    0
109016,19790223,    0,    0
109016,19790224,    0,    0
109016,19790225,    0,    0
109016,19790226,    0,    0
109016,19790227,    0,    0
