EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, ENSCHEDE (STAID: 2406).
Blended and updated with sources: 109070 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109070,19790101,    0,    0
109070,19790102,   53,    0
109070,19790103,   12,    0
109070,19790104,    0,    0
109070,19790105,    0,    0
109070,19790106,    0,    0
109070,19790107,   61,    0
109070,19790108,   38,    0
109070,19790109,   46,    0
109070,19790110,   45,    0
109070,19790111,   35,    0
109070,19790112,   31,    0
109070,19790113,   14,    0
109070,19790114,    0,    0
109070,19790115,    0,    0
109070,19790116,    0,    0
109070,19790117,    9,    0
109070,19790118,    0,    0
109070,19790119,    0,    0
109070,19790120,    0,    0
109070,19790121,    0,    0
109070,19790122,   21,    0
109070,19790123,   27,    0
109070,19790124,   11,    0
109070,19790125,   17,    0
109070,19790126,    7,    0
109070,19790127,    0,    0
109070,19790128,    0,    0
109070,19790129,    7,    0
109070,19790130,    0,    0
109070,19790131,    2,    0
109070,19790201,  157,    0
109070,19790202,   14,    0
109070,19790203,    0,    0
109070,19790204,    0,    0
109070,19790205,    0,    0
109070,19790206,    0,    0
109070,19790207,   42,    0
109070,19790208,    0,    0
109070,19790209,    0,    0
109070,19790210,    0,    0
109070,19790211,   26,    0
109070,19790212,   43,    0
109070,19790213,  145,    0
109070,19790214,   78,    0
109070,19790215,    7,    0
109070,19790216,    0,    0
109070,19790217,   24,    0
109070,19790218,    0,    0
109070,19790219,    0,    0
109070,19790220,    0,    0
109070,19790221,    0,    0
109070,19790222,   27,    0
109070,19790223,    0,    0
109070,19790224,    0,    0
109070,19790225,    0,    0
109070,19790226,    0,    0
109070,19790227,    0,    0
109070,19790228,    0,    0
109070,19790301,   35,    0
109070,19790302,   16,    0
109070,19790303,   48,    0
109070,19790304,   41,    0
109070,19790305,    0,    0
109070,19790306,   13,    0
109070,19790307,   40,    0
109070,19790308,   10,    0
109070,19790309,  109,    0
109070,19790310,   50,    0
109070,19790311,   63,    0
109070,19790312,    0,    0
109070,19790313,   28,    0
109070,19790314,   34,    0
109070,19790315,  131,    0
109070,19790316,   32,    0
109070,19790317,    3,    0
109070,19790318,   16,    0
109070,19790319,    0,    0
109070,19790320,    7,    0
109070,19790321,    6,    0
109070,19790322,   49,    0
109070,19790323,    0,    0
109070,19790324,    0,    0
109070,19790325,   33,    0
109070,19790326,   15,    0
109070,19790327,   50,    0
109070,19790328,    7,    0
109070,19790329,   17,    0
109070,19790330,    3,    0
109070,19790331,    0,    0
109070,19790401,   25,    0
109070,19790402,   18,    0
109070,19790403,   50,    0
109070,19790404,   52,    0
109070,19790405,    0,    0
109070,19790406,    0,    0
109070,19790407,    0,    0
109070,19790408,    0,    0
109070,19790409,    0,    0
109070,19790410,    0,    0
109070,19790411,    0,    0
109070,19790412,    1,    0
109070,19790413,    0,    0
109070,19790414,    0,    0
109070,19790415,   56,    0
109070,19790416,    9,    0
109070,19790417,    0,    0
109070,19790418,    0,    0
109070,19790419,    4,    0
109070,19790420,  116,    0
109070,19790421,   42,    0
109070,19790422,   19,    0
109070,19790423,   62,    0
109070,19790424,   38,    0
109070,19790425,    0,    0
109070,19790426,    6,    0
109070,19790427,    5,    0
109070,19790428,    2,    0
109070,19790429,  105,    0
109070,19790430,    2,    0
109070,19790501,  126,    0
109070,19790502,   44,    0
109070,19790503,   33,    0
109070,19790504,   17,    0
109070,19790505,   40,    0
109070,19790506,    0,    0
109070,19790507,    0,    0
109070,19790508,    0,    0
109070,19790509,    0,    0
109070,19790510,   35,    0
109070,19790511,   52,    0
109070,19790512,    0,    0
109070,19790513,    0,    0
109070,19790514,    0,    0
109070,19790515,    0,    0
109070,19790516,    5,    0
109070,19790517,   13,    0
109070,19790518,    0,    0
109070,19790519,    0,    0
109070,19790520,   40,    0
109070,19790521,    6,    0
109070,19790522,   19,    0
109070,19790523,   57,    0
109070,19790524,   60,    0
109070,19790525,   48,    0
