EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, KAPELLE (STAID: 2449).
Blended and updated with sources: 109156 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109156,19790101,    0,    0
109156,19790102,   14,    0
109156,19790103,    0,    0
109156,19790104,    0,    0
109156,19790105,    0,    0
109156,19790106,    0,    0
109156,19790107,   58,    0
109156,19790108,   92,    0
109156,19790109,    0,    0
109156,19790110,   86,    0
109156,19790111,   68,    0
109156,19790112,   30,    0
109156,19790113,   46,    0
109156,19790114,    0,    0
109156,19790115,    0,    0
109156,19790116,    0,    0
109156,19790117,    0,    0
109156,19790118,    0,    0
109156,19790119,    0,    0
109156,19790120,   57,    0
109156,19790121,    0,    0
109156,19790122,   10,    0
109156,19790123,   46,    0
109156,19790124,   16,    0
109156,19790125,   16,    0
109156,19790126,    0,    0
109156,19790127,    0,    0
109156,19790128,   18,    0
109156,19790129,   14,    0
109156,19790130,    6,    0
109156,19790131,    6,    0
109156,19790201,  126,    0
109156,19790202,    0,    0
109156,19790203,    0,    0
109156,19790204,    0,    0
109156,19790205,    0,    0
109156,19790206,   43,    0
109156,19790207,   29,    0
109156,19790208,    0,    0
109156,19790209,    0,    0
109156,19790210,    0,    0
109156,19790211,   48,    0
109156,19790212,   22,    0
109156,19790213,   55,    0
109156,19790214,    0,    0
109156,19790215,    0,    0
109156,19790216,    0,    0
109156,19790217,    0,    0
109156,19790218,    0,    0
109156,19790219,    0,    0
109156,19790220,    0,    0
109156,19790221,    0,    0
109156,19790222,   71,    0
109156,19790223,    8,    0
109156,19790224,    0,    0
109156,19790225,    0,    0
109156,19790226,    2,    0
109156,19790227,    0,    0
109156,19790228,    3,    0
109156,19790301,   33,    0
109156,19790302,    7,    0
109156,19790303,  107,    0
109156,19790304,    9,    0
109156,19790305,    0,    0
109156,19790306,   15,    0
109156,19790307,   35,    0
109156,19790308,   41,    0
109156,19790309,  156,    0
109156,19790310,   41,    0
109156,19790311,  102,    0
109156,19790312,    0,    0
109156,19790313,  190,    0
109156,19790314,   85,    0
109156,19790315,  107,    0
109156,19790316,    9,    0
109156,19790317,    0,    0
109156,19790318,    0,    0
109156,19790319,    0,    0
109156,19790320,    1,    0
109156,19790321,   36,    0
109156,19790322,   22,    0
109156,19790323,    0,    0
109156,19790324,   61,    0
109156,19790325,   29,    0
109156,19790326,   28,    0
109156,19790327,   59,    0
109156,19790328,    9,    0
109156,19790329,   16,    0
109156,19790330,    6,    0
109156,19790331,    8,    0
109156,19790401,   19,    0
109156,19790402,   44,    0
109156,19790403,   14,    0
109156,19790404,    0,    0
109156,19790405,   68,    0
109156,19790406,   31,    0
109156,19790407,    0,    0
109156,19790408,    0,    0
109156,19790409,    0,    0
109156,19790410,    0,    0
109156,19790411,    0,    0
109156,19790412,   15,    0
109156,19790413,    0,    0
109156,19790414,    0,    0
109156,19790415,    0,    0
109156,19790416,   12,    0
109156,19790417,    0,    0
109156,19790418,    0,    0
109156,19790419,   20,    0
109156,19790420,   30,    0
109156,19790421,   16,    0
109156,19790422,   49,    0
109156,19790423,   30,    0
109156,19790424,   41,    0
109156,19790425,   18,    0
109156,19790426,    0,    0
109156,19790427,   12,    0
109156,19790428,  111,    0
109156,19790429,  101,    0
109156,19790430,    0,    0
109156,19790501,  197,    0
109156,19790502,   40,    0
109156,19790503,   13,    0
109156,19790504,  102,    0
109156,19790505,    9,    0
109156,19790506,    0,    0
109156,19790507,    0,    0
109156,19790508,    0,    0
109156,19790509,    0,    0
109156,19790510,   76,    0
109156,19790511,   62,    0
109156,19790512,    0,    0
109156,19790513,    0,    0
109156,19790514,    0,    0
109156,19790515,    0,    0
109156,19790516,    8,    0
109156,19790517,   16,    0
109156,19790518,   33,    0
109156,19790519,    0,    0
109156,19790520,    1,    0
109156,19790521,   38,    0
109156,19790522,   53,    0
109156,19790523,   71,    0
109156,19790524,   64,    0
109156,19790525,   20,    0
109156,19790526,   81,    0
109156,19790527,   34,    0
109156,19790528,   10,    0
109156,19790529,   93,    0
109156,19790530,    4,    0
109156,19790531,   61,    0
109156,19790601,    0,    0
109156,19790602,    0,    0
109156,19790603,    0,    0
109156,19790604,    0,    0
109156,19790605,    0,    0
109156,19790606,   11,    0
109156,19790607,    9,    0
109156,19790608,    3,    0
109156,19790609,    0,    0
109156,19790610,  144,    0
109156,19790611,    0,    0
109156,19790612,  122,    0
109156,19790613,    7,    0
109156,19790614,  173,    0
109156,19790615,  157,    0
109156,19790616,    0,    0
109156,19790617,    0,    0
109156,19790618,    0,    0
109156,19790619,    0,    0
109156,19790620,    0,    0
109156,19790621,    8,    0
109156,19790622,    0,    0
109156,19790623,   43,    0
109156,19790624,   80,    0
109156,19790625,   20,    0
109156,19790626,    4,    0
109156,19790627,    0,    0
109156,19790628,    0,    0
109156,19790629,    0,    0
109156,19790630,    0,    0
109156,19790701,    0,    0
109156,19790702,    0,    0
109156,19790703,    0,    0
109156,19790704,    0,    0
109156,19790705,    0,    0
109156,19790706,    0,    0
109156,19790707,    1,    0
109156,19790708,    9,    0
109156,19790709,   80,    0
109156,19790710,    0,    0
109156,19790711,    0,    0
109156,19790712,    0,    0
109156,19790713,   56,    0
109156,19790714,    0,    0
109156,19790715,    0,    0
109156,19790716,   10,    0
109156,19790717,    0,    0
109156,19790718,   89,    0
109156,19790719,    0,    0
109156,19790720,    0,    0
109156,19790721,    0,    0
109156,19790722,    0,    0
109156,19790723,    0,    0
109156,19790724,    0,    0
109156,19790725,    0,    0
109156,19790726,    0,    0
109156,19790727,    0,    0
109156,19790728,   70,    0
109156,19790729,   29,    0
109156,19790730,    3,    0
109156,19790731,    0,    0
109156,19790801,   22,    0
109156,19790802,    0,    0
109156,19790803,   42,    0
109156,19790804,   79,    0
109156,19790805,    0,    0
109156,19790806,    0,    0
109156,19790807,   62,    0
109156,19790808,    5,    0
109156,19790809,  135,    0
109156,19790810,   16,    0
109156,19790811,    0,    0
109156,19790812,    0,    0
109156,19790813,    0,    0
109156,19790814,    0,    0
109156,19790815,    0,    0
109156,19790816,   72,    0
109156,19790817,   23,    0
109156,19790818,    0,    0
109156,19790819,    0,    0
109156,19790820,   36,    0
109156,19790821,   17,    0
109156,19790822,    0,    0
109156,19790823,   36,    0
109156,19790824,  104,    0
109156,19790825,   11,    0
109156,19790826,   31,    0
109156,19790827,   24,    0
109156,19790828,    0,    0
109156,19790829,    0,    0
109156,19790830,    0,    0
109156,19790831,    0,    0
109156,19790901,    0,    0
109156,19790902,    2,    0
109156,19790903,   42,    0
109156,19790904,    0,    0
109156,19790905,    0,    0
109156,19790906,    0,    0
109156,19790907,    0,    0
109156,19790908,    0,    0
109156,19790909,    0,    0
109156,19790910,    0,    0
109156,19790911,    0,    0
109156,19790912,    0,    0
109156,19790913,    0,    0
109156,19790914,    0,    0
109156,19790915,    0,    0
109156,19790916,    0,    0
109156,19790917,    0,    0
109156,19790918,   28,    0
109156,19790919,    9,    0
109156,19790920,   24,    0
109156,19790921,   47,    0
109156,19790922,    0,    0
109156,19790923,    8,    0
109156,19790924,    0,    0
109156,19790925,    0,    0
109156,19790926,    0,    0
109156,19790927,   15,    0
109156,19790928,    0,    0
109156,19790929,    0,    0
109156,19790930,    0,    0
109156,19791001,    0,    0
109156,19791002,    0,    0
109156,19791003,    0,    0
109156,19791004,  119,    0
109156,19791005,    6,    0
109156,19791006,    0,    0
109156,19791007,    0,    0
109156,19791008,    0,    0
109156,19791009,   18,    0
109156,19791010,   16,    0
109156,19791011,   39,    0
109156,19791012,   26,    0
109156,19791013,  362,    0
109156,19791014,   80,    0
109156,19791015,   16,    0
109156,19791016,    0,    0
109156,19791017,   45,    0
109156,19791018,    0,    0
109156,19791019,    0,    0
109156,19791020,    0,    0
109156,19791021,    0,    0
109156,19791022,    0,    0
109156,19791023,    0,    0
109156,19791024,    1,    0
109156,19791025,    0,    0
109156,19791026,    0,    0
109156,19791027,    0,    0
109156,19791028,    0,    0
109156,19791029,   16,    0
109156,19791030,   20,    0
109156,19791031,   15,    0
109156,19791101,    0,    0
109156,19791102,    0,    0
109156,19791103,    6,    0
109156,19791104,  175,    0
109156,19791105,   86,    0
109156,19791106,   12,    0
109156,19791107,  108,    0
109156,19791108,   74,    0
109156,19791109,  184,    0
109156,19791110,   33,    0
109156,19791111,   46,    0
109156,19791112,   53,    0
109156,19791113,    2,    0
109156,19791114,   21,    0
109156,19791115,    2,    0
109156,19791116,    0,    0
109156,19791117,   39,    0
109156,19791118,   93,    0
109156,19791119,    0,    0
109156,19791120,    0,    0
109156,19791121,    0,    0
109156,19791122,    0,    0
109156,19791123,    7,    0
109156,19791124,    0,    0
109156,19791125,    0,    0
109156,19791126,   14,    0
109156,19791127,   13,    0
109156,19791128,    1,    0
109156,19791129,    0,    0
109156,19791130,   15,    0
109156,19791201,    0,    0
109156,19791202,    0,    0
109156,19791203,    3,    0
109156,19791204,    2,    0
109156,19791205,   51,    0
109156,19791206,    8,    0
109156,19791207,   22,    0
109156,19791208,   10,    0
109156,19791209,   75,    0
109156,19791210,   65,    0
109156,19791211,   66,    0
109156,19791212,   31,    0
109156,19791213,   91,    0
109156,19791214,   49,    0
109156,19791215,  123,    0
109156,19791216,    0,    0
109156,19791217,    0,    0
109156,19791218,    7,    0
109156,19791219,   33,    0
109156,19791220,   49,    0
109156,19791221,    0,    0
109156,19791222,    5,    0
109156,19791223,   17,    0
109156,19791224,   39,    0
109156,19791225,    0,    0
109156,19791226,    0,    0
109156,19791227,   58,    0
109156,19791228,  110,    0
109156,19791229,   64,    0
109156,19791230,  104,    0
109156,19791231,   27,    0
109156,19800101,   38,    0
109156,19800102,   20,    0
109156,19800103,  110,    0
109156,19800104,   36,    0
109156,19800105,   80,    0
109156,19800106,   53,    0
109156,19800107,    0,    0
109156,19800108,    8,    0
109156,19800109,    0,    0
109156,19800110,    0,    0
109156,19800111,    0,    0
109156,19800112,    0,    0
109156,19800113,    0,    0
109156,19800114,    0,    0
109156,19800115,    0,    0
109156,19800116,    0,    0
109156,19800117,    0,    0
109156,19800118,    0,    0
109156,19800119,    0,    0
109156,19800120,    0,    0
109156,19800121,   53,    0
109156,19800122,   14,    0
109156,19800123,   10,    0
109156,19800124,    0,    0
109156,19800125,    0,    0
109156,19800126,    5,    0
109156,19800127,    0,    0
109156,19800128,    8,    0
