EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, OIRSCHOT (STAID: 2488).
Blended and updated with sources: 109234 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109234,19790101,    0,    0
109234,19790102,    9,    0
109234,19790103,    0,    0
109234,19790104,    0,    0
109234,19790105,    0,    0
109234,19790106,    0,    0
109234,19790107,   50,    0
109234,19790108,  128,    0
109234,19790109,   29,    0
109234,19790110,  120,    0
109234,19790111,   71,    0
109234,19790112,   15,    0
109234,19790113,    3,    0
109234,19790114,    0,    0
109234,19790115,    0,    0
109234,19790116,    0,    0
109234,19790117,    0,    0
109234,19790118,    0,    0
109234,19790119,    0,    0
109234,19790120,   52,    0
109234,19790121,    0,    0
109234,19790122,   65,    0
109234,19790123,   10,    0
109234,19790124,   11,    0
109234,19790125,   11,    0
109234,19790126,    0,    0
109234,19790127,    0,    0
109234,19790128,   16,    0
109234,19790129,   25,    0
109234,19790130,    1,    0
109234,19790131,    0,    0
109234,19790201,  138,    0
109234,19790202,    0,    0
109234,19790203,    0,    0
109234,19790204,    0,    0
109234,19790205,    0,    0
109234,19790206,    1,    0
109234,19790207,   38,    0
109234,19790208,    0,    0
109234,19790209,    0,    0
109234,19790210,    0,    0
109234,19790211,   86,    0
109234,19790212,    9,    0
109234,19790213,  117,    0
109234,19790214,   50,    0
109234,19790215,    3,    0
109234,19790216,    0,    0
109234,19790217,   23,    0
109234,19790218,    0,    0
109234,19790219,    0,    0
109234,19790220,    0,    0
109234,19790221,    0,    0
109234,19790222,   39,    0
109234,19790223,   34,    0
109234,19790224,    1,    0
109234,19790225,    0,    0
109234,19790226,    0,    0
109234,19790227,    0,    0
109234,19790228,    0,    0
109234,19790301,   18,    0
109234,19790302,   23,    0
109234,19790303,   39,    0
109234,19790304,   46,    0
109234,19790305,    0,    0
109234,19790306,    5,    0
109234,19790307,   18,    0
109234,19790308,   33,    0
109234,19790309,  136,    0
109234,19790310,   64,    0
109234,19790311,  106,    0
109234,19790312,    0,    0
109234,19790313,  131,    0
109234,19790314,   80,    0
109234,19790315,   68,    0
109234,19790316,    4,    0
109234,19790317,    5,    0
109234,19790318,   18,    0
109234,19790319,    0,    0
109234,19790320,    3,    0
109234,19790321,    5,    0
109234,19790322,   65,    0
109234,19790323,    0,    0
109234,19790324,   24,    0
109234,19790325,   28,    0
109234,19790326,   38,    0
109234,19790327,   48,    0
109234,19790328,    9,    0
109234,19790329,   15,    0
109234,19790330,    5,    0
109234,19790331,    1,    0
109234,19790401,   14,    0
109234,19790402,   24,    0
109234,19790403,   15,    0
109234,19790404,    0,    0
109234,19790405,    9,    0
109234,19790406,    0,    0
109234,19790407,    0,    0
109234,19790408,    0,    0
109234,19790409,    0,    0
109234,19790410,    0,    0
109234,19790411,   14,    0
109234,19790412,    1,    0
109234,19790413,    0,    0
109234,19790414,    0,    0
109234,19790415,   17,    0
109234,19790416,    5,    0
109234,19790417,    2,    0
109234,19790418,    0,    0
109234,19790419,    9,    0
109234,19790420,   40,    0
109234,19790421,    2,    0
109234,19790422,   24,    0
109234,19790423,   45,    0
109234,19790424,    0,    0
109234,19790425,   75,    0
109234,19790426,   66,    0
109234,19790427,    7,    0
109234,19790428,   17,    0
109234,19790429,   77,    0
109234,19790430,    2,    0
109234,19790501,  158,    0
109234,19790502,   18,    0
109234,19790503,    2,    0
109234,19790504,   52,    0
109234,19790505,  132,    0
109234,19790506,    0,    0
109234,19790507,    0,    0
109234,19790508,    0,    0
109234,19790509,    0,    0
109234,19790510,   62,    0
109234,19790511,   44,    0
109234,19790512,    0,    0
109234,19790513,    0,    0
109234,19790514,    0,    0
109234,19790515,    0,    0
109234,19790516,    8,    0
109234,19790517,   12,    0
109234,19790518,    0,    0
109234,19790519,    0,    0
109234,19790520,    5,    0
109234,19790521,   36,    0
109234,19790522,    6,    0
109234,19790523,   52,    0
109234,19790524,   33,    0
109234,19790525,   45,    0
109234,19790526,   71,    0
109234,19790527,   40,    0
109234,19790528,    0,    0
109234,19790529,    0,    0
109234,19790530,  290,    0
109234,19790531,   55,    0
109234,19790601,    0,    0
109234,19790602,    0,    0
109234,19790603,   41,    0
109234,19790604,   19,    0
109234,19790605,    0,    0
109234,19790606,   39,    0
109234,19790607,    3,    0
109234,19790608,   34,    0
109234,19790609,    0,    0
109234,19790610,   21,    0
109234,19790611,    0,    0
109234,19790612,   90,    0
109234,19790613,   60,    0
109234,19790614,   32,    0
109234,19790615,   15,    0
109234,19790616,    0,    0
109234,19790617,    0,    0
109234,19790618,    0,    0
109234,19790619,    0,    0
109234,19790620,    0,    0
109234,19790621,   34,    0
109234,19790622,    0,    0
109234,19790623,    4,    0
109234,19790624,   36,    0
109234,19790625,    0,    0
109234,19790626,   17,    0
109234,19790627,    0,    0
109234,19790628,    0,    0
109234,19790629,    0,    0
109234,19790630,    0,    0
109234,19790701,    0,    0
109234,19790702,    0,    0
109234,19790703,    0,    0
109234,19790704,    0,    0
109234,19790705,    0,    0
109234,19790706,    0,    0
109234,19790707,   15,    0
109234,19790708,    2,    0
109234,19790709,   13,    0
109234,19790710,    0,    0
109234,19790711,    0,    0
109234,19790712,    0,    0
109234,19790713,   45,    0
109234,19790714,    0,    0
109234,19790715,    0,    0
109234,19790716,   33,    0
109234,19790717,    0,    0
109234,19790718,    6,    0
109234,19790719,    1,    0
109234,19790720,    0,    0
109234,19790721,   97,    0
109234,19790722,    0,    0
109234,19790723,    0,    0
109234,19790724,    0,    0
109234,19790725,    0,    0
109234,19790726,    0,    0
109234,19790727,    0,    0
109234,19790728,   23,    0
109234,19790729,  101,    0
109234,19790730,    1,    0
109234,19790731,    0,    0
109234,19790801,  200,    0
109234,19790802,    0,    0
109234,19790803,   29,    0
109234,19790804,    0,    0
