EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, RHEEZERVEEN (STAID: 2501).
Blended and updated with sources: 109260 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109260,19790101,    0,    0
109260,19790102,   33,    0
109260,19790103,   13,    0
109260,19790104,    0,    0
109260,19790105,    0,    0
109260,19790106,    0,    0
109260,19790107,   72,    0
109260,19790108,   29,    0
109260,19790109,   29,    0
109260,19790110,   43,    0
109260,19790111,   19,    0
109260,19790112,   53,    0
109260,19790113,    0,    0
109260,19790114,    0,    0
109260,19790115,    0,    0
109260,19790116,    0,    0
109260,19790117,    0,    0
109260,19790118,    0,    0
109260,19790119,    0,    0
109260,19790120,    0,    0
109260,19790121,    0,    0
109260,19790122,   22,    0
109260,19790123,   36,    0
109260,19790124,    6,    0
109260,19790125,   37,    0
109260,19790126,   11,    0
109260,19790127,    0,    0
109260,19790128,    0,    0
109260,19790129,   15,    0
109260,19790130,    0,    0
109260,19790131,    5,    0
109260,19790201,  122,    0
109260,19790202,    0,    0
109260,19790203,    5,    0
109260,19790204,   21,    0
109260,19790205,    0,    0
109260,19790206,    0,    0
109260,19790207,   25,    0
109260,19790208,    0,    0
109260,19790209,    0,    0
109260,19790210,    0,    0
109260,19790211,   36,    0
109260,19790212,   38,    0
109260,19790213,  196,    0
109260,19790214,   96,    0
109260,19790215,    0,    0
109260,19790216,    0,    0
109260,19790217,   15,    0
109260,19790218,    0,    0
109260,19790219,    0,    0
109260,19790220,    0,    0
109260,19790221,    0,    0
109260,19790222,   26,    0
109260,19790223,    0,    0
109260,19790224,    0,    0
109260,19790225,    0,    0
109260,19790226,    0,    0
109260,19790227,    0,    0
109260,19790228,    0,    0
109260,19790301,   25,    0
109260,19790302,   20,    0
109260,19790303,   96,    0
109260,19790304,   11,    0
109260,19790305,    0,    0
109260,19790306,    9,    0
109260,19790307,   32,    0
109260,19790308,   24,    0
109260,19790309,   83,    0
109260,19790310,   32,    0
109260,19790311,   62,    0
109260,19790312,    0,    0
109260,19790313,   12,    0
109260,19790314,    7,    0
109260,19790315,  168,    0
109260,19790316,   24,    0
109260,19790317,    0,    0
109260,19790318,    0,    0
109260,19790319,    0,    0
109260,19790320,   18,    0
109260,19790321,    8,    0
109260,19790322,   27,    0
109260,19790323,    0,    0
109260,19790324,    8,    0
109260,19790325,   24,    0
109260,19790326,   30,    0
109260,19790327,   97,    0
109260,19790328,   32,    0
109260,19790329,   15,    0
109260,19790330,    0,    0
109260,19790331,    8,    0
109260,19790401,   28,    0
109260,19790402,   55,    0
109260,19790403,   46,    0
109260,19790404,   52,    0
109260,19790405,    0,    0
109260,19790406,    0,    0
109260,19790407,    0,    0
109260,19790408,    0,    0
109260,19790409,    0,    0
109260,19790410,    0,    0
109260,19790411,    0,    0
109260,19790412,    5,    0
109260,19790413,    0,    0
109260,19790414,    0,    0
109260,19790415,  106,    0
109260,19790416,    3,    0
109260,19790417,    0,    0
109260,19790418,    0,    0
109260,19790419,    9,    0
109260,19790420,  136,    0
109260,19790421,   57,    0
109260,19790422,   36,    0
109260,19790423,  135,    0
109260,19790424,   67,    0
109260,19790425,   54,    0
109260,19790426,   40,    0
109260,19790427,    4,    0
109260,19790428,    2,    0
109260,19790429,  124,    0
109260,19790430,    6,    0
109260,19790501,  291,    0
109260,19790502,  109,    0
109260,19790503,   22,    0
109260,19790504,    4,    0
109260,19790505,   36,    0
109260,19790506,    8,    0
109260,19790507,    0,    0
109260,19790508,    0,    0
109260,19790509,    0,    0
109260,19790510,   40,    0
109260,19790511,   51,    0
109260,19790512,    0,    0
109260,19790513,    0,    0
109260,19790514,    0,    0
109260,19790515,    0,    0
109260,19790516,    4,    0
109260,19790517,   10,    0
109260,19790518,    1,    0
109260,19790519,    0,    0
109260,19790520,   27,    0
109260,19790521,    9,    0
109260,19790522,   21,    0
109260,19790523,   36,    0
109260,19790524,   38,    0
109260,19790525,   12,    0
109260,19790526,   95,    0
109260,19790527,   48,    0
109260,19790528,    0,    0
109260,19790529,    9,    0
109260,19790530,    0,    0
109260,19790531,    5,    0
109260,19790601,    0,    0
109260,19790602,    0,    0
109260,19790603,  102,    0
109260,19790604,   33,    0
109260,19790605,    0,    0
109260,19790606,    0,    0
109260,19790607,   30,    0
109260,19790608,   12,    0
109260,19790609,    0,    0
109260,19790610,   55,    0
109260,19790611,   29,    0
109260,19790612,    6,    0
109260,19790613,   17,    0
109260,19790614,  114,    0
109260,19790615,    0,    0
109260,19790616,    0,    0
109260,19790617,    0,    0
109260,19790618,    0,    0
109260,19790619,    0,    0
109260,19790620,    0,    0
109260,19790621,    7,    0
109260,19790622,    0,    0
109260,19790623,    2,    0
109260,19790624,   58,    0
109260,19790625,    7,    0
109260,19790626,    0,    0
109260,19790627,    0,    0
109260,19790628,    8,    0
109260,19790629,   29,    0
109260,19790630,   11,    0
109260,19790701,    3,    0
109260,19790702,    3,    0
109260,19790703,    0,    0
109260,19790704,    0,    0
109260,19790705,    0,    0
109260,19790706,    0,    0
109260,19790707,   44,    0
109260,19790708,   12,    0
109260,19790709,   23,    0
109260,19790710,    0,    0
109260,19790711,    0,    0
109260,19790712,    0,    0
109260,19790713,    0,    0
109260,19790714,    0,    0
109260,19790715,    0,    0
109260,19790716,   72,    0
109260,19790717,    0,    0
109260,19790718,  111,    0
109260,19790719,    6,    0
109260,19790720,   25,    0
109260,19790721,   11,    0
109260,19790722,   11,    0
109260,19790723,   40,    0
109260,19790724,    5,    0
109260,19790725,    0,    0
109260,19790726,    0,    0
109260,19790727,    0,    0
109260,19790728,    0,    0
109260,19790729,  162,    0
109260,19790730,    4,    0
109260,19790731,   10,    0
109260,19790801,   62,    0
109260,19790802,   32,    0
109260,19790803,   28,    0
109260,19790804,    0,    0
109260,19790805,    0,    0
109260,19790806,    0,    0
109260,19790807,   12,    0
109260,19790808,   10,    0
109260,19790809,  129,    0
109260,19790810,    1,    0
109260,19790811,    0,    0
109260,19790812,    1,    0
109260,19790813,    0,    0
109260,19790814,    0,    0
109260,19790815,   45,    0
109260,19790816,    5,    0
109260,19790817,    0,    0
109260,19790818,    0,    0
109260,19790819,    0,    0
109260,19790820,    0,    0
109260,19790821,   10,    0
109260,19790822,    0,    0
109260,19790823,   10,    0
109260,19790824,    0,    0
109260,19790825,    7,    0
109260,19790826,   12,    0
109260,19790827,    0,    0
109260,19790828,    0,    0
109260,19790829,    0,    0
109260,19790830,    0,    0
109260,19790831,    0,    0
109260,19790901,    0,    0
109260,19790902,   17,    0
109260,19790903,  142,    0
109260,19790904,    0,    0
109260,19790905,    0,    0
109260,19790906,    0,    0
109260,19790907,    0,    0
109260,19790908,    0,    0
109260,19790909,    0,    0
109260,19790910,    0,    0
109260,19790911,    7,    0
109260,19790912,    0,    0
109260,19790913,    0,    0
109260,19790914,    7,    0
109260,19790915,    0,    0
109260,19790916,    0,    0
109260,19790917,    0,    0
109260,19790918,   55,    0
109260,19790919,  105,    0
109260,19790920,    3,    0
109260,19790921,    0,    0
109260,19790922,    0,    0
109260,19790923,    5,    0
109260,19790924,    0,    0
109260,19790925,    0,    0
109260,19790926,    0,    0
109260,19790927,   11,    0
109260,19790928,    0,    0
109260,19790929,    0,    0
109260,19790930,    0,    0
109260,19791001,    0,    0
109260,19791002,    0,    0
109260,19791003,    0,    0
109260,19791004,    5,    0
109260,19791005,  107,    0
109260,19791006,    0,    0
109260,19791007,    0,    0
109260,19791008,    0,    0
109260,19791009,    0,    0
109260,19791010,    0,    0
109260,19791011,  226,    0
109260,19791012,    7,    0
109260,19791013,   10,    0
109260,19791014,   46,    0
109260,19791015,   50,    0
109260,19791016,    1,    0
109260,19791017,   37,    0
109260,19791018,    9,    0
109260,19791019,   10,    0
109260,19791020,    0,    0
109260,19791021,    0,    0
109260,19791022,    0,    0
109260,19791023,    0,    0
109260,19791024,    0,    0
109260,19791025,    0,    0
109260,19791026,    0,    0
109260,19791027,    0,    0
109260,19791028,   19,    0
109260,19791029,   40,    0
109260,19791030,    9,    0
109260,19791031,   55,    0
109260,19791101,   19,    0
109260,19791102,    1,    0
109260,19791103,   20,    0
109260,19791104,   92,    0
109260,19791105,   74,    0
109260,19791106,   42,    0
109260,19791107,   74,    0
109260,19791108,   64,    0
109260,19791109,   17,    0
109260,19791110,    7,    0
109260,19791111,   14,    0
109260,19791112,   43,    0
109260,19791113,    0,    0
109260,19791114,   28,    0
109260,19791115,    0,    0
109260,19791116,    0,    0
109260,19791117,    0,    0
109260,19791118,   28,    0
109260,19791119,    0,    0
109260,19791120,    0,    0
109260,19791121,    0,    0
109260,19791122,    0,    0
109260,19791123,    6,    0
109260,19791124,    0,    0
109260,19791125,    0,    0
109260,19791126,   28,    0
109260,19791127,    0,    0
109260,19791128,    0,    0
109260,19791129,    0,    0
109260,19791130,   44,    0
109260,19791201,    2,    0
109260,19791202,    3,    0
109260,19791203,    0,    0
109260,19791204,    5,    0
109260,19791205,   36,    0
109260,19791206,    0,    0
109260,19791207,  148,    0
109260,19791208,   30,    0
109260,19791209,  119,    0
109260,19791210,   20,    0
109260,19791211,   29,    0
109260,19791212,   66,    0
109260,19791213,   85,    0
109260,19791214,   78,    0
109260,19791215,  120,    0
109260,19791216,   18,    0
109260,19791217,   81,    0
109260,19791218,   57,    0
109260,19791219,    3,    0
109260,19791220,    2,    0
109260,19791221,    3,    0
109260,19791222,   10,    0
109260,19791223,   17,    0
109260,19791224,    0,    0
109260,19791225,    3,    0
109260,19791226,    0,    0
109260,19791227,   51,    0
109260,19791228,   40,    0
109260,19791229,   59,    0
109260,19791230,   38,    0
109260,19791231,   10,    0
109260,19800101,   23,    0
109260,19800102,   34,    0
109260,19800103,   23,    0
109260,19800104,   67,    0
109260,19800105,   55,    0
109260,19800106,   64,    0
109260,19800107,    0,    0
109260,19800108,    0,    0
109260,19800109,    0,    0
109260,19800110,    0,    0
109260,19800111,    0,    0
109260,19800112,    0,    0
109260,19800113,    0,    0
109260,19800114,    0,    0
109260,19800115,    0,    0
109260,19800116,    0,    0
109260,19800117,    0,    0
109260,19800118,    0,    0
109260,19800119,    0,    0
109260,19800120,    0,    0
109260,19800121,   35,    0
109260,19800122,   15,    0
109260,19800123,    6,    0
109260,19800124,   33,    0
109260,19800125,    8,    0
109260,19800126,    2,    0
109260,19800127,    0,    0
109260,19800128,   76,    0
109260,19800129,   17,    0
109260,19800130,   29,    0
109260,19800131,  104,    0
109260,19800201,   10,    0
109260,19800202,  107,    0
109260,19800203,  113,    0
109260,19800204,   71,    0
109260,19800205,   78,    0
109260,19800206,   14,    0
109260,19800207,   40,    0
109260,19800208,    2,    0
109260,19800209,    6,    0
109260,19800210,    1,    0
109260,19800211,   11,    0
109260,19800212,   31,    0
109260,19800213,    1,    0
109260,19800214,    0,    0
109260,19800215,   20,    0
109260,19800216,    0,    0
109260,19800217,    0,    0
109260,19800218,    0,    0
109260,19800219,    0,    0
109260,19800220,    0,    0
109260,19800221,    0,    0
109260,19800222,    0,    0
109260,19800223,    0,    0
109260,19800224,    0,    0
109260,19800225,    0,    0
109260,19800226,    0,    0
109260,19800227,    0,    0
109260,19800228,    0,    0
109260,19800229,    5,    0
109260,19800301,    0,    0
109260,19800302,   11,    0
109260,19800303,   18,    0
109260,19800304,    6,    0
109260,19800305,    0,    0
109260,19800306,   55,    0
109260,19800307,    5,    0
109260,19800308,    0,    0
109260,19800309,    0,    0
109260,19800310,    6,    0
109260,19800311,    0,    0
109260,19800312,  160,    0
109260,19800313,   26,    0
109260,19800314,    0,    0
109260,19800315,    0,    0
109260,19800316,    0,    0
