EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, SCHIERMONNIKOOG (STAID: 2509).
Blended and updated with sources: 109276 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109276,19790101,    0,    0
109276,19790102,    0,    0
109276,19790103,    0,    0
109276,19790104,    0,    0
109276,19790105,    0,    0
109276,19790106,    0,    0
109276,19790107,   36,    0
109276,19790108,   13,    0
109276,19790109,   23,    0
109276,19790110,    8,    0
109276,19790111,   23,    0
109276,19790112,   46,    0
109276,19790113,    0,    0
109276,19790114,    0,    0
109276,19790115,    0,    0
109276,19790116,    0,    0
109276,19790117,    0,    0
109276,19790118,    0,    0
109276,19790119,    0,    0
109276,19790120,    0,    0
109276,19790121,    0,    0
109276,19790122,    0,    0
109276,19790123,  107,    0
109276,19790124,    5,    0
109276,19790125,   36,    0
109276,19790126,   19,    0
109276,19790127,    0,    0
109276,19790128,    0,    0
109276,19790129,   15,    0
109276,19790130,   11,    0
109276,19790131,   12,    0
109276,19790201,  108,    0
109276,19790202,    0,    0
109276,19790203,    0,    0
109276,19790204,    6,    0
109276,19790205,    0,    0
109276,19790206,    0,    0
109276,19790207,    8,    0
109276,19790208,    0,    0
109276,19790209,    0,    0
109276,19790210,    0,    0
109276,19790211,    0,    0
109276,19790212,   63,    0
109276,19790213,  135,    0
109276,19790214,    8,    0
109276,19790215,    0,    0
109276,19790216,    0,    0
109276,19790217,    0,    0
109276,19790218,    0,    0
109276,19790219,    0,    0
109276,19790220,    0,    0
109276,19790221,    0,    0
109276,19790222,   43,    0
109276,19790223,    0,    0
109276,19790224,    0,    0
109276,19790225,    0,    0
109276,19790226,    0,    0
109276,19790227,    0,    0
109276,19790228,    0,    0
109276,19790301,   27,    0
109276,19790302,    9,    0
109276,19790303,   61,    0
109276,19790304,    0,    0
109276,19790305,    0,    0
109276,19790306,   15,    0
109276,19790307,    0,    0
109276,19790308,   51,    0
109276,19790309,  116,    0
109276,19790310,   19,    0
109276,19790311,  121,    0
109276,19790312,    0,    0
109276,19790313,    0,    0
109276,19790314,    0,    0
109276,19790315,  226,    0
109276,19790316,   92,    0
109276,19790317,    0,    0
109276,19790318,    0,    0
109276,19790319,    0,    0
109276,19790320,   44,    0
109276,19790321,   16,    0
109276,19790322,   64,    0
109276,19790323,    0,    0
109276,19790324,   25,    0
109276,19790325,   43,    0
109276,19790326,   45,    0
109276,19790327,   33,    0
109276,19790328,   20,    0
109276,19790329,   46,    0
109276,19790330,    0,    0
109276,19790331,    0,    0
109276,19790401,   24,    0
109276,19790402,    0,    0
109276,19790403,    6,    0
109276,19790404,   18,    0
109276,19790405,    4,    0
109276,19790406,    0,    0
109276,19790407,    0,    0
109276,19790408,    0,    0
109276,19790409,    0,    0
109276,19790410,    0,    0
109276,19790411,    5,    0
109276,19790412,   22,    0
109276,19790413,    0,    0
109276,19790414,    0,    0
109276,19790415,   32,    0
109276,19790416,    2,    0
109276,19790417,    0,    0
109276,19790418,    0,    0
109276,19790419,   26,    0
109276,19790420,   55,    0
109276,19790421,    8,    0
109276,19790422,   14,    0
109276,19790423,   16,    0
109276,19790424,   91,    0
109276,19790425,    0,    0
109276,19790426,    0,    0
109276,19790427,    6,    0
109276,19790428,   24,    0
109276,19790429,  143,    0
109276,19790430,   71,    0
109276,19790501,  125,    0
109276,19790502,   55,    0
109276,19790503,   35,    0
109276,19790504,    4,    0
109276,19790505,   16,    0
109276,19790506,    0,    0
109276,19790507,   16,    0
109276,19790508,    0,    0
109276,19790509,    0,    0
109276,19790510,   34,    0
109276,19790511,   42,    0
109276,19790512,    0,    0
109276,19790513,    0,    0
109276,19790514,    0,    0
109276,19790515,    0,    0
109276,19790516,    7,    0
109276,19790517,   11,    0
109276,19790518,    0,    0
109276,19790519,    0,    0
109276,19790520,   21,    0
109276,19790521,   18,    0
109276,19790522,    0,    0
109276,19790523,   40,    0
109276,19790524,   35,    0
109276,19790525,    5,    0
109276,19790526,   67,    0
109276,19790527,    0,    0
109276,19790528,    0,    0
109276,19790529,  298,    0
109276,19790530,    0,    0
109276,19790531,  110,    0
109276,19790601,    0,    0
109276,19790602,    0,    0
109276,19790603,   16,    0
109276,19790604,  105,    0
109276,19790605,    0,    0
109276,19790606,    0,    0
109276,19790607,   48,    0
109276,19790608,    0,    0
109276,19790609,    0,    0
109276,19790610,   18,    0
109276,19790611,   32,    0
109276,19790612,    0,    0
109276,19790613,   15,    0
109276,19790614,   77,    0
109276,19790615,    9,    0
109276,19790616,    0,    0
109276,19790617,    0,    0
109276,19790618,    0,    0
109276,19790619,    0,    0
109276,19790620,    0,    0
109276,19790621,   14,    0
109276,19790622,    5,    0
109276,19790623,    0,    0
109276,19790624,  100,    0
109276,19790625,   57,    0
109276,19790626,    0,    0
109276,19790627,    0,    0
109276,19790628,   55,    0
109276,19790629,   21,    0
109276,19790630,   19,    0
109276,19790701,   24,    0
109276,19790702,    0,    0
109276,19790703,    0,    0
109276,19790704,    0,    0
109276,19790705,    0,    0
109276,19790706,    2,    0
109276,19790707,    3,    0
109276,19790708,   38,    0
109276,19790709,    1,    0
109276,19790710,    0,    0
109276,19790711,    0,    0
109276,19790712,    0,    0
109276,19790713,    0,    0
109276,19790714,    0,    0
109276,19790715,    0,    0
109276,19790716,   66,    0
109276,19790717,    5,    0
109276,19790718,   26,    0
109276,19790719,   45,    0
109276,19790720,   17,    0
109276,19790721,   49,    0
109276,19790722,   34,    0
109276,19790723,   47,    0
109276,19790724,   52,    0
109276,19790725,    3,    0
109276,19790726,    0,    0
109276,19790727,    0,    0
109276,19790728,    0,    0
109276,19790729,   68,    0
109276,19790730,    0,    0
109276,19790731,    2,    0
109276,19790801,  100,    0
109276,19790802,   38,    0
109276,19790803,   77,    0
109276,19790804,    0,    0
109276,19790805,    0,    0
109276,19790806,    3,    0
109276,19790807,   38,    0
109276,19790808,   81,    0
109276,19790809,   15,    0
109276,19790810,   11,    0
109276,19790811,    0,    0
109276,19790812,    0,    0
109276,19790813,    0,    0
109276,19790814,    0,    0
109276,19790815,    0,    0
109276,19790816,    0,    0
109276,19790817,    0,    0
109276,19790818,    0,    0
