EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, TILBURG (STAID: 2529).
Blended and updated with sources: 109316 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109316,19790101,    0,    0
109316,19790102,   23,    0
109316,19790103,    0,    0
109316,19790104,    0,    0
109316,19790105,    0,    0
109316,19790106,    0,    0
109316,19790107,   64,    0
109316,19790108,  116,    0
109316,19790109,   43,    0
109316,19790110,  125,    0
109316,19790111,   63,    0
109316,19790112,   39,    0
109316,19790113,   18,    0
109316,19790114,    0,    0
109316,19790115,    0,    0
109316,19790116,    0,    0
109316,19790117,    0,    0
109316,19790118,    0,    0
109316,19790119,    0,    0
109316,19790120,   54,    0
109316,19790121,    0,    0
109316,19790122,   58,    0
109316,19790123,   15,    0
109316,19790124,   11,    0
109316,19790125,   19,    0
109316,19790126,    2,    0
109316,19790127,    0,    0
109316,19790128,   21,    0
109316,19790129,   12,    0
109316,19790130,    3,    0
109316,19790131,    0,    0
109316,19790201,  120,    0
109316,19790202,    0,    0
109316,19790203,    0,    0
109316,19790204,    0,    0
109316,19790205,    0,    0
109316,19790206,   13,    0
109316,19790207,   33,    0
109316,19790208,    0,    0
109316,19790209,    0,    0
109316,19790210,    0,    0
109316,19790211,   93,    0
109316,19790212,   18,    0
109316,19790213,   93,    0
109316,19790214,   36,    0
109316,19790215,    0,    0
109316,19790216,    0,    0
109316,19790217,    0,    0
109316,19790218,   10,    0
109316,19790219,    0,    0
109316,19790220,    0,    0
109316,19790221,    1,    0
109316,19790222,   42,    0
109316,19790223,   33,    0
109316,19790224,    0,    0
109316,19790225,    0,    0
109316,19790226,    0,    0
109316,19790227,    0,    0
109316,19790228,    0,    0
109316,19790301,   15,    0
109316,19790302,   25,    0
109316,19790303,   42,    0
109316,19790304,   44,    0
109316,19790305,    0,    0
109316,19790306,    3,    0
109316,19790307,   21,    0
109316,19790308,   47,    0
109316,19790309,  186,    0
109316,19790310,   70,    0
109316,19790311,  100,    0
109316,19790312,    0,    0
109316,19790313,  147,    0
109316,19790314,   57,    0
109316,19790315,  107,    0
109316,19790316,    5,    0
109316,19790317,    0,    0
109316,19790318,   17,    0
109316,19790319,    0,    0
109316,19790320,   33,    0
109316,19790321,   15,    0
109316,19790322,   84,    0
109316,19790323,    0,    0
109316,19790324,   21,    0
109316,19790325,   21,    0
109316,19790326,   37,    0
109316,19790327,  100,    0
109316,19790328,   20,    0
109316,19790329,   18,    0
109316,19790330,   11,    0
109316,19790331,    0,    0
109316,19790401,   11,    0
109316,19790402,   34,    0
109316,19790403,   34,    0
109316,19790404,    0,    0
109316,19790405,   17,    0
109316,19790406,    0,    0
109316,19790407,    0,    0
109316,19790408,    0,    0
109316,19790409,    0,    0
109316,19790410,    0,    0
109316,19790411,    5,    0
109316,19790412,    4,    0
109316,19790413,    0,    0
109316,19790414,    0,    0
109316,19790415,   10,    0
109316,19790416,    6,    0
109316,19790417,    0,    0
109316,19790418,    0,    0
109316,19790419,   13,    0
109316,19790420,   40,    0
109316,19790421,    4,    0
109316,19790422,   20,    0
109316,19790423,   68,    0
109316,19790424,    0,    0
109316,19790425,   71,    0
109316,19790426,   40,    0
109316,19790427,    4,    0
109316,19790428,   40,    0
109316,19790429,   67,    0
109316,19790430,    7,    0
109316,19790501,  153,    0
109316,19790502,   27,    0
109316,19790503,   33,    0
109316,19790504,   52,    0
109316,19790505,   40,    0
109316,19790506,    4,    0
109316,19790507,    0,    0
109316,19790508,    0,    0
109316,19790509,    0,    0
109316,19790510,   68,    0
109316,19790511,   56,    0
109316,19790512,    0,    0
109316,19790513,    0,    0
109316,19790514,    0,    0
109316,19790515,    0,    0
109316,19790516,    6,    0
109316,19790517,   12,    0
109316,19790518,    0,    0
109316,19790519,    0,    0
109316,19790520,    5,    0
109316,19790521,   28,    0
109316,19790522,   46,    0
109316,19790523,   42,    0
109316,19790524,   75,    0
109316,19790525,   61,    0
109316,19790526,   41,    0
109316,19790527,   77,    0
109316,19790528,    0,    0
109316,19790529,   44,    0
109316,19790530,  243,    0
109316,19790531,   30,    0
109316,19790601,    0,    0
109316,19790602,    0,    0
109316,19790603,   72,    0
109316,19790604,    1,    0
109316,19790605,    0,    0
109316,19790606,   77,    0
109316,19790607,    2,    0
109316,19790608,   27,    0
109316,19790609,    0,    0
109316,19790610,   24,    0
109316,19790611,    3,    0
109316,19790612,  120,    0
109316,19790613,   46,    0
109316,19790614,   24,    0
109316,19790615,   36,    0
109316,19790616,    0,    0
109316,19790617,    0,    0
109316,19790618,    0,    0
109316,19790619,    0,    0
109316,19790620,    0,    0
109316,19790621,   16,    0
109316,19790622,    0,    0
109316,19790623,    0,    0
109316,19790624,   53,    0
109316,19790625,    2,    0
109316,19790626,    2,    0
109316,19790627,    0,    0
109316,19790628,    0,    0
109316,19790629,    3,    0
109316,19790630,    0,    0
109316,19790701,    0,    0
109316,19790702,    0,    0
109316,19790703,    0,    0
109316,19790704,    0,    0
109316,19790705,    0,    0
109316,19790706,    0,    0
109316,19790707,   15,    0
