EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, VOORSCHOTEN (STAID: 2541).
Blended and updated with sources: 109184 109340 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109184,19790101,   17,    0
109184,19790102,   26,    0
109184,19790103,    0,    0
109184,19790104,    0,    0
109184,19790105,    0,    0
109184,19790106,    0,    0
109184,19790107,   56,    0
109184,19790108,   20,    0
109184,19790109,    2,    0
109184,19790110,   64,    0
109184,19790111,   39,    0
109184,19790112,   52,    0
109184,19790113,   25,    0
109184,19790114,    0,    0
109184,19790115,    0,    0
109184,19790116,    0,    0
109184,19790117,    0,    0
109184,19790118,    0,    0
109184,19790119,    0,    0
109184,19790120,   66,    0
109184,19790121,    0,    0
109184,19790122,   34,    0
109184,19790123,   50,    0
109184,19790124,   10,    0
109184,19790125,   30,    0
109184,19790126,   45,    0
109184,19790127,    0,    0
109184,19790128,   37,    0
109184,19790129,   35,    0
109184,19790130,   20,    0
109184,19790131,   15,    0
109184,19790201,  224,    0
109184,19790202,    0,    0
109184,19790203,    0,    0
109184,19790204,    0,    0
109184,19790205,    4,    0
109184,19790206,    9,    0
109184,19790207,   30,    0
109184,19790208,    0,    0
109184,19790209,    0,    0
109184,19790210,    0,    0
109184,19790211,   61,    0
109184,19790212,   53,    0
109184,19790213,  156,    0
109184,19790214,    3,    0
109184,19790215,    2,    0
109184,19790216,    0,    0
109184,19790217,    1,    0
109184,19790218,    2,    0
109184,19790219,    0,    0
109184,19790220,    0,    0
109184,19790221,    0,    0
109184,19790222,   50,    0
109184,19790223,   10,    0
109184,19790224,    0,    0
109184,19790225,    0,    0
109184,19790226,    0,    0
109184,19790227,    0,    0
109184,19790228,    1,    0
109184,19790301,   52,    0
109184,19790302,   21,    0
109184,19790303,  204,    0
109184,19790304,    2,    0
109184,19790305,    0,    0
109184,19790306,    7,    0
109184,19790307,   14,    0
109184,19790308,   62,    0
109184,19790309,  113,    0
109184,19790310,   64,    0
109184,19790311,   78,    0
109184,19790312,    0,    0
109184,19790313,   46,    0
109184,19790314,   11,    0
109184,19790315,   88,    0
109184,19790316,   14,    0
109184,19790317,    0,    0
109184,19790318,    0,    0
109184,19790319,    0,    0
109184,19790320,    4,    0
109184,19790321,   50,    0
109184,19790322,   45,    0
109184,19790323,    0,    0
109184,19790324,   85,    0
109184,19790325,   29,    0
109184,19790326,  101,    0
109184,19790327,   77,    0
109184,19790328,    0,    0
109184,19790329,   14,    0
109184,19790330,    0,    0
109184,19790331,   13,    0
109184,19790401,   16,    0
109184,19790402,  104,    0
109184,19790403,   54,    0
109184,19790404,    0,    0
109184,19790405,   64,    0
109184,19790406,    3,    0
109184,19790407,    0,    0
109184,19790408,    0,    0
109184,19790409,    0,    0
109184,19790410,    0,    0
109184,19790411,    5,    0
109184,19790412,   27,    0
109184,19790413,    0,    0
109184,19790414,    0,    0
109184,19790415,   11,    0
109184,19790416,    1,    0
109184,19790417,    4,    0
109184,19790418,    0,    0
109184,19790419,   30,    0
109184,19790420,   65,    0
109184,19790421,   30,    0
109184,19790422,   20,    0
109184,19790423,    3,    0
109184,19790424,   18,    0
109184,19790425,    7,    0
109184,19790426,    0,    0
109184,19790427,   28,    0
109184,19790428,   71,    0
109184,19790429,  150,    0
109184,19790430,   10,    0
109184,19790501,  328,    0
109184,19790502,   35,    0
109184,19790503,    0,    0
109184,19790504,   35,    0
109184,19790505,   43,    0
109184,19790506,    0,    0
109184,19790507,    0,    0
109184,19790508,    0,    0
109184,19790509,    0,    0
109184,19790510,   73,    0
109184,19790511,   13,    0
109184,19790512,    0,    0
109184,19790513,    0,    0
109184,19790514,    0,    0
109184,19790515,    0,    0
109184,19790516,    2,    0
109184,19790517,   35,    0
109184,19790518,    0,    0
109184,19790519,    0,    0
109184,19790520,    2,    0
109184,19790521,    7,    0
109184,19790522,   23,    0
109184,19790523,   77,    0
109184,19790524,   62,    0
109184,19790525,   23,    0
109184,19790526,  102,    0
