EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, LEEUWARDEN_1 (STAID: 10966).
Blended and updated with sources: 155419 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
155419,19790101,    6,    0
155419,19790102,   29,    0
155419,19790103,    7,    0
155419,19790104,    0,    0
155419,19790105,    0,    0
155419,19790106,    0,    0
155419,19790107,   17,    0
155419,19790108,   20,    0
155419,19790109,   10,    0
155419,19790110,   63,    0
155419,19790111,    1,    0
155419,19790112,   22,    0
155419,19790113,   15,    0
155419,19790114,    0,    0
155419,19790115,    0,    0
155419,19790116,    0,    0
155419,19790117,    0,    0
155419,19790118,    0,    0
155419,19790119,    0,    0
155419,19790120,    0,    0
155419,19790121,    0,    0
155419,19790122,    0,    0
155419,19790123,  108,    0
155419,19790124,    9,    0
155419,19790125,   23,    0
155419,19790126,   50,    0
155419,19790127,    1,    0
155419,19790128,    0,    0
155419,19790129,   39,    0
155419,19790130,    6,    0
155419,19790131,   17,    0
155419,19790201,  107,    0
155419,19790202,    0,    0
155419,19790203,    0,    0
155419,19790204,    1,    0
155419,19790205,    0,    0
155419,19790206,    0,    0
155419,19790207,    5,    0
155419,19790208,    0,    0
155419,19790209,    0,    0
155419,19790210,    0,    0
155419,19790211,    2,    0
155419,19790212,   23,    0
155419,19790213,   50,    0
155419,19790214,   37,    0
155419,19790215,    5,    0
155419,19790216,    5,    0
155419,19790217,    9,    0
155419,19790218,    0,    0
155419,19790219,    0,    0
155419,19790220,    0,    0
155419,19790221,    0,    0
155419,19790222,   15,    0
155419,19790223,    3,    0
155419,19790224,    1,    0
155419,19790225,    0,    0
155419,19790226,    0,    0
155419,19790227,    0,    0
155419,19790228,    0,    0
155419,19790301,   23,    0
155419,19790302,   30,    0
155419,19790303,   59,    0
155419,19790304,    3,    0
155419,19790305,    0,    0
155419,19790306,   18,    0
155419,19790307,    2,    0
155419,19790308,   20,    0
155419,19790309,  204,    0
155419,19790310,   24,    0
155419,19790311,   87,    0
155419,19790312,    0,    0
155419,19790313,    0,    0
155419,19790314,    0,    0
155419,19790315,  142,    0
155419,19790316,    0,    0
