EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, VOLKEL_1 (STAID: 10977).
Blended and updated with sources: 155441 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
155441,19790101,    0,    0
155441,19790102,    1,    0
155441,19790103,    0,    0
155441,19790104,    0,    0
155441,19790105,    0,    0
155441,19790106,    0,    0
155441,19790107,   41,    0
155441,19790108,   97,    0
155441,19790109,   37,    0
155441,19790110,  103,    0
155441,19790111,   24,    0
155441,19790112,   16,    0
155441,19790113,    2,    0
155441,19790114,    0,    0
155441,19790115,    0,    0
155441,19790116,    0,    0
155441,19790117,    0,    0
155441,19790118,    0,    0
155441,19790119,    0,    0
155441,19790120,   68,    0
155441,19790121,    0,    0
155441,19790122,   10,    0
155441,19790123,   54,    0
155441,19790124,    7,    0
155441,19790125,    1,    0
155441,19790126,    1,    0
155441,19790127,    0,    0
155441,19790128,   13,    0
155441,19790129,    1,    0
155441,19790130,    4,    0
155441,19790131,    0,    0
155441,19790201,  122,    0
155441,19790202,    1,    0
155441,19790203,    0,    0
155441,19790204,    0,    0
155441,19790205,    0,    0
155441,19790206,    0,    0
155441,19790207,   39,    0
155441,19790208,    0,    0
155441,19790209,    0,    0
155441,19790210,    0,    0
155441,19790211,   70,    0
155441,19790212,    4,    0
155441,19790213,  100,    0
155441,19790214,   23,    0
155441,19790215,    0,    0
155441,19790216,    0,    0
155441,19790217,   10,    0
155441,19790218,    0,    0
155441,19790219,    0,    0
155441,19790220,    0,    0
155441,19790221,    0,    0
155441,19790222,   19,    0
155441,19790223,   35,    0
155441,19790224,    1,    0
155441,19790225,    0,    0
155441,19790226,    0,    0
155441,19790227,    0,    0
155441,19790228,    0,    0
155441,19790301,   14,    0
155441,19790302,   28,    0
155441,19790303,   32,    0
155441,19790304,   51,    0
155441,19790305,    0,    0
155441,19790306,    3,    0
155441,19790307,   30,    0
155441,19790308,   18,    0
155441,19790309,  159,    0
155441,19790310,   75,    0
155441,19790311,   75,    0
155441,19790312,    0,    0
155441,19790313,  116,    0
155441,19790314,   82,    0
155441,19790315,   80,    0
155441,19790316,    7,    0
155441,19790317,    7,    0
155441,19790318,   15,    0
155441,19790319,    0,    0
155441,19790320,   11,    0
155441,19790321,   18,    0
155441,19790322,   51,    0
155441,19790323,    0,    0
155441,19790324,   11,    0
155441,19790325,   19,    0
155441,19790326,   29,    0
155441,19790327,   47,    0
155441,19790328,   11,    0
155441,19790329,   10,    0
155441,19790330,    0,    0
155441,19790331,    0,    0
155441,19790401,    0,    0
155441,19790402,    9,    0
155441,19790403,   43,    0
155441,19790404,    0,    0
155441,19790405,    0,    0
155441,19790406,   16,    0
155441,19790407,    0,    0
155441,19790408,    0,    0
155441,19790409,    0,    0
155441,19790410,    0,    0
155441,19790411,   19,    0
155441,19790412,    0,    0
155441,19790413,    0,    0
155441,19790414,    0,    0
155441,19790415,   10,    0
155441,19790416,    3,    0
155441,19790417,    3,    0
155441,19790418,    0,    0
155441,19790419,    3,    0
155441,19790420,   34,    0
155441,19790421,    8,    0
155441,19790422,   28,    0
155441,19790423,   46,    0
155441,19790424,    3,    0
155441,19790425,    0,    0
155441,19790426,   53,    0
155441,19790427,    8,    0
155441,19790428,   32,    0
155441,19790429,   88,    0
155441,19790430,    0,    0
155441,19790501,  246,    0
155441,19790502,   25,    0
155441,19790503,    4,    0
155441,19790504,   98,    0
155441,19790505,    6,    0
155441,19790506,    0,    0
155441,19790507,    0,    0
155441,19790508,    0,    0
155441,19790509,    0,    0
155441,19790510,   61,    0
155441,19790511,   38,    0
155441,19790512,    0,    0
155441,19790513,    0,    0
155441,19790514,    0,    0
155441,19790515,    0,    0
155441,19790516,    8,    0
155441,19790517,    6,    0
155441,19790518,    0,    0
155441,19790519,    0,    0
155441,19790520,    7,    0
155441,19790521,   23,    0
155441,19790522,    8,    0
155441,19790523,   47,    0
155441,19790524,   20,    0
155441,19790525,   44,    0
155441,19790526,   23,    0
155441,19790527,   27,    0
155441,19790528,    0,    0
155441,19790529,   14,    0
155441,19790530,  236,    0
