EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HEUSDEN (STAID: 19208).
Blended and updated with sources: 108972 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
108972,19790101,    1,    0
108972,19790102,   14,    0
108972,19790103,    0,    0
108972,19790104,    0,    0
108972,19790105,    0,    0
108972,19790106,    2,    0
108972,19790107,   74,    0
108972,19790108,   52,    0
108972,19790109,   35,    0
108972,19790110,   71,    0
108972,19790111,   63,    0
108972,19790112,   23,    0
108972,19790113,    7,    0
108972,19790114,    0,    0
108972,19790115,    0,    0
108972,19790116,    0,    0
108972,19790117,    0,    0
108972,19790118,    0,    0
108972,19790119,    0,    0
108972,19790120,   72,    0
108972,19790121,    0,    0
108972,19790122,   42,    0
108972,19790123,   25,    0
108972,19790124,    7,    0
108972,19790125,   28,    0
108972,19790126,    4,    0
108972,19790127,    1,    0
108972,19790128,   17,    0
108972,19790129,    3,    0
108972,19790130,    1,    0
108972,19790131,    0,    0
108972,19790201,  143,    0
108972,19790202,    2,    0
108972,19790203,    0,    0
108972,19790204,    0,    0
108972,19790205,    0,    0
108972,19790206,    1,    0
108972,19790207,   40,    0
108972,19790208,    1,    0
108972,19790209,    0,    0
108972,19790210,    1,    0
108972,19790211,  131,    0
108972,19790212,   41,    0
108972,19790213,  111,    0
108972,19790214,   40,    0
108972,19790215,   14,    0
108972,19790216,    1,    0
108972,19790217,    0,    0
108972,19790218,    0,    0
108972,19790219,    0,    0
108972,19790220,    1,    0
108972,19790221,    1,    0
108972,19790222,   33,    0
108972,19790223,   32,    0
108972,19790224,    0,    0
108972,19790225,    0,    0
108972,19790226,    0,    0
108972,19790227,    0,    0
108972,19790228,    1,    0
108972,19790301,   10,    0
108972,19790302,   35,    0
108972,19790303,   82,    0
108972,19790304,    8,    0
108972,19790305,    1,    0
108972,19790306,    2,    0
108972,19790307,   28,    0
108972,19790308,   30,    0
108972,19790309,  164,    0
108972,19790310,   71,    0
108972,19790311,   65,    0
108972,19790312,    0,    0
108972,19790313,  109,    0
108972,19790314,   78,    0
108972,19790315,   76,    0
108972,19790316,    4,    0
108972,19790317,    1,    0
108972,19790318,    0,    0
108972,19790319,    0,    0
108972,19790320,    5,    0
108972,19790321,   25,    0
108972,19790322,   65,    0
108972,19790323,    1,    0
108972,19790324,   32,    0
108972,19790325,   12,    0
108972,19790326,   29,    0
108972,19790327,  115,    0
108972,19790328,   13,    0
108972,19790329,   10,    0
108972,19790330,    5,    0
108972,19790331,    4,    0
108972,19790401,   10,    0
108972,19790402,   24,    0
108972,19790403,   29,    0
108972,19790404,    0,    0
108972,19790405,    9,    0
108972,19790406,    7,    0
108972,19790407,    0,    0
108972,19790408,    0,    0
108972,19790409,    0,    0
108972,19790410,    0,    0
108972,19790411,   21,    0
108972,19790412,    8,    0
108972,19790413,    0,    0
108972,19790414,    0,    0
108972,19790415,    4,    0
108972,19790416,    5,    0
108972,19790417,    0,    0
108972,19790418,    0,    0
108972,19790419,   15,    0
108972,19790420,   47,    0
108972,19790421,    9,    0
108972,19790422,   18,    0
108972,19790423,   12,    0
108972,19790424,   19,    0
108972,19790425,   26,    0
108972,19790426,   22,    0
108972,19790427,   12,    0
108972,19790428,   26,    0
108972,19790429,   90,    0
108972,19790430,    5,    0
108972,19790501,  155,    0
108972,19790502,   67,    0
108972,19790503,   30,    0
108972,19790504,   48,    0
108972,19790505,  119,    0
108972,19790506,    1,    0
108972,19790507,    0,    0
108972,19790508,    0,    0
108972,19790509,    0,    0
108972,19790510,   61,    0
108972,19790511,   48,    0
108972,19790512,    1,    0
108972,19790513,    0,    0
108972,19790514,    0,    0
108972,19790515,    0,    0
108972,19790516,    6,    0
108972,19790517,   14,    0
108972,19790518,    4,    0
108972,19790519,    2,    0
108972,19790520,    2,    0
108972,19790521,   41,    0
108972,19790522,   37,    0
108972,19790523,   41,    0
108972,19790524,   25,    0
108972,19790525,   23,    0
108972,19790526,   60,    0
108972,19790527,   26,    0
108972,19790528,    1,    0
108972,19790529,   82,    0
108972,19790530,  428,    0
108972,19790531,  116,    0
108972,19790601,    1,    0
108972,19790602,    0,    0
108972,19790603,    6,    0
108972,19790604,    1,    0
108972,19790605,    0,    0
108972,19790606,   50,    0
108972,19790607,    3,    0
108972,19790608,   10,    0
108972,19790609,    0,    0
108972,19790610,   36,    0
108972,19790611,    3,    0
108972,19790612,  101,    0
108972,19790613,   71,    0
108972,19790614,   83,    0
108972,19790615,   19,    0
108972,19790616,    0,    0
108972,19790617,    0,    0
108972,19790618,    0,    0
108972,19790619,    0,    0
108972,19790620,    0,    0
108972,19790621,   20,    0
108972,19790622,    0,    0
108972,19790623,    1,    0
108972,19790624,   41,    0
108972,19790625,    8,    0
108972,19790626,    0,    0
108972,19790627,    0,    0
108972,19790628,    1,    0
108972,19790629,    2,    0
108972,19790630,    0,    0
108972,19790701,    0,    0
108972,19790702,    0,    0
108972,19790703,    0,    0
108972,19790704,    0,    0
108972,19790705,    0,    0
108972,19790706,    0,    0
108972,19790707,    7,    0
108972,19790708,    6,    0
108972,19790709,   52,    0
108972,19790710,    0,    0
108972,19790711,    0,    0
108972,19790712,    0,    0
108972,19790713,   38,    0
108972,19790714,    2,    0
108972,19790715,    2,    0
108972,19790716,   18,    0
108972,19790717,    2,    0
108972,19790718,  162,    0
108972,19790719,    1,    0
108972,19790720,    0,    0
108972,19790721,   44,    0
108972,19790722,    1,    0
108972,19790723,   18,    0
108972,19790724,   15,    0
108972,19790725,    0,    0
108972,19790726,    0,    0
108972,19790727,    0,    0
108972,19790728,   56,    0
108972,19790729,    6,    0
108972,19790730,    4,    0
108972,19790731,    4,    0
108972,19790801,   60,    0
108972,19790802,    1,    0
108972,19790803,    3,    0
108972,19790804,   69,    0
108972,19790805,    1,    0
108972,19790806,    0,    0
108972,19790807,    5,    0
108972,19790808,    4,    0
108972,19790809,  274,    0
108972,19790810,    9,    0
108972,19790811,    1,    0
108972,19790812,   23,    0
108972,19790813,    1,    0
108972,19790814,    0,    0
108972,19790815,    2,    0
108972,19790816,    0,    0
