EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, BUINERVEEN (STAID: 20495).
Blended and updated with sources: 109218 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109218,19790101,    0,    0
109218,19790102,    6,    0
109218,19790103,   21,    0
109218,19790104,    0,    0
109218,19790105,    0,    0
109218,19790106,    0,    0
109218,19790107,   57,    0
109218,19790108,   30,    0
109218,19790109,    5,    0
109218,19790110,   40,    0
109218,19790111,   13,    0
109218,19790112,   37,    0
109218,19790113,   10,    0
109218,19790114,    0,    0
109218,19790115,    0,    0
109218,19790116,    0,    0
109218,19790117,    7,    0
109218,19790118,    0,    0
109218,19790119,    0,    0
109218,19790120,    0,    0
109218,19790121,    1,    0
109218,19790122,    1,    0
109218,19790123,   62,    0
109218,19790124,    4,    0
109218,19790125,   23,    0
109218,19790126,   33,    0
109218,19790127,    0,    0
109218,19790128,    0,    0
109218,19790129,   21,    0
109218,19790130,    3,    0
109218,19790131,    7,    0
109218,19790201,  116,    0
109218,19790202,    0,    0
109218,19790203,    0,    0
109218,19790204,    7,    0
109218,19790205,    2,    0
109218,19790206,    0,    0
109218,19790207,   23,    0
109218,19790208,    0,    0
109218,19790209,    5,    0
109218,19790210,    0,    0
109218,19790211,    0,    0
109218,19790212,   12,    0
109218,19790213,   98,    0
109218,19790214,   10,    0
109218,19790215,    0,    0
109218,19790216,    0,    0
109218,19790217,    5,    0
109218,19790218,    0,    0
109218,19790219,    0,    0
109218,19790220,    0,    0
109218,19790221,    1,    0
109218,19790222,    9,    0
109218,19790223,    0,    0
109218,19790224,    0,    0
109218,19790225,    0,    0
109218,19790226,    0,    0
109218,19790227,    0,    0
109218,19790228,    0,    0
109218,19790301,   16,    0
109218,19790302,   14,    0
109218,19790303,   97,    0
109218,19790304,    0,    0
109218,19790305,    0,    0
109218,19790306,   13,    0
109218,19790307,   20,    0
109218,19790308,   13,    0
109218,19790309,  110,    0
109218,19790310,   36,    0
109218,19790311,   36,    0
109218,19790312,    0,    0
109218,19790313,    0,    0
109218,19790314,    1,    0
109218,19790315,   70,    0
109218,19790316,   75,    0
109218,19790317,    4,    0
109218,19790318,    0,    0
109218,19790319,    0,    0
109218,19790320,    7,    0
109218,19790321,   13,    0
109218,19790322,   54,    0
109218,19790323,    0,    0
109218,19790324,   11,    0
109218,19790325,   51,    0
109218,19790326,   10,    0
109218,19790327,  109,    0
109218,19790328,    5,    0
109218,19790329,   21,    0
109218,19790330,    0,    0
109218,19790331,    0,    0
109218,19790401,   12,    0
109218,19790402,    0,    0
109218,19790403,   75,    0
109218,19790404,   42,    0
109218,19790405,    0,    0
