EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, RIJSWIJK GLD (STAID: 20589).
Blended and updated with sources: 109358 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109358,19790101,    1,    0
109358,19790102,    2,    0
109358,19790103,    1,    0
109358,19790104,    1,    0
109358,19790105,    5,    0
109358,19790106,    0,    0
109358,19790107,   64,    0
109358,19790108,   65,    0
109358,19790109,   15,    0
109358,19790110,   32,    0
109358,19790111,   37,    0
109358,19790112,   16,    0
109358,19790113,    1,    0
109358,19790114,    0,    0
109358,19790115,    0,    0
109358,19790116,    0,    0
109358,19790117,    0,    0
109358,19790118,    0,    0
109358,19790119,    0,    0
109358,19790120,   43,    0
109358,19790121,    3,    0
109358,19790122,   36,    0
109358,19790123,   22,    0
109358,19790124,    9,    0
109358,19790125,   13,    0
109358,19790126,   18,    0
109358,19790127,    1,    0
109358,19790128,    7,    0
109358,19790129,    2,    0
109358,19790130,    0,    0
109358,19790131,    7,    0
109358,19790201,  160,    0
109358,19790202,   15,    0
109358,19790203,    0,    0
109358,19790204,    0,    0
109358,19790205,    0,    0
109358,19790206,    0,    0
109358,19790207,   19,    0
109358,19790208,    0,    0
109358,19790209,    0,    0
109358,19790210,    0,    0
109358,19790211,   40,    0
109358,19790212,   55,    0
109358,19790213,  135,    0
109358,19790214,   35,    0
109358,19790215,    5,    0
109358,19790216,    0,    0
109358,19790217,    7,    0
109358,19790218,    1,    0
109358,19790219,    0,    0
109358,19790220,    0,    0
109358,19790221,    0,    0
109358,19790222,   33,    0
109358,19790223,   31,    0
109358,19790224,    0,    0
109358,19790225,    0,    0
109358,19790226,    0,    0
109358,19790227,    0,    0
109358,19790228,    0,    0
109358,19790301,    1,    0
109358,19790302,   34,    0
109358,19790303,  102,    0
109358,19790304,    7,    0
109358,19790305,    0,    0
109358,19790306,    9,    0
109358,19790307,   53,    0
109358,19790308,   41,    0
109358,19790309,  105,    0
109358,19790310,   58,    0
109358,19790311,   57,    0
109358,19790312,    2,    0
109358,19790313,   97,    0
109358,19790314,   30,    0
109358,19790315,   70,    0
109358,19790316,   20,    0
109358,19790317,    1,    0
109358,19790318,    0,    0
109358,19790319,    0,    0
109358,19790320,   11,    0
109358,19790321,   15,    0
109358,19790322,   56,    0
109358,19790323,    1,    0
109358,19790324,   11,    0
109358,19790325,   26,    0
109358,19790326,   31,    0
109358,19790327,  107,    0
109358,19790328,   10,    0
109358,19790329,   15,    0
109358,19790330,    1,    0
109358,19790331,    6,    0
109358,19790401,   19,    0
109358,19790402,   72,    0
109358,19790403,   25,    0
109358,19790404,    1,    0
109358,19790405,    0,    0
109358,19790406,    6,    0
109358,19790407,    0,    0
109358,19790408,    2,    0
109358,19790409,    0,    0
109358,19790410,    0,    0
109358,19790411,    7,    0
109358,19790412,   12,    0
109358,19790413,    0,    0
109358,19790414,    0,    0
109358,19790415,   12,    0
109358,19790416,    2,    0
109358,19790417,    1,    0
109358,19790418,    0,    0
109358,19790419,    6,    0
109358,19790420,   29,    0
109358,19790421,   36,    0
109358,19790422,   32,    0
109358,19790423,   34,    0
109358,19790424,   29,    0
109358,19790425,   24,    0
109358,19790426,   22,    0
109358,19790427,    1,    0
109358,19790428,   33,    0
109358,19790429,   69,    0
109358,19790430,   29,    0
109358,19790501,  173,    0
109358,19790502,   34,    0
109358,19790503,   12,    0
109358,19790504,   56,    0
109358,19790505,   40,    0
109358,19790506,   16,    0
109358,19790507,    0,    0
109358,19790508,    0,    0
109358,19790509,    0,    0
109358,19790510,   54,    0
109358,19790511,   21,    0
109358,19790512,    0,    0
109358,19790513,    0,    0
109358,19790514,    0,    0
109358,19790515,    0,    0
109358,19790516,   17,    0
109358,19790517,    7,    0
109358,19790518,    0,    0
109358,19790519,    1,    0
109358,19790520,    1,    0
109358,19790521,   30,    0
109358,19790522,   29,    0
109358,19790523,   43,    0
109358,19790524,   40,    0
109358,19790525,   47,    0
109358,19790526,   69,    0
109358,19790527,   11,    0
109358,19790528,    0,    0
109358,19790529,  252,    0
109358,19790530,  457,    0
109358,19790531,  222,    0
109358,19790601,    0,    0
109358,19790602,    0,    0
109358,19790603,    4,    0
109358,19790604,    0,    0
109358,19790605,    0,    0
109358,19790606,   37,    0
109358,19790607,   19,    0
109358,19790608,    3,    0
109358,19790609,    0,    0
109358,19790610,   54,    0
109358,19790611,   12,    0
109358,19790612,   77,    0
109358,19790613,   65,    0
109358,19790614,  187,    0
109358,19790615,   15,    0
109358,19790616,    1,    0
109358,19790617,    0,    0
109358,19790618,    1,    0
109358,19790619,    0,    0
109358,19790620,    0,    0
109358,19790621,    3,    0
109358,19790622,    0,    0
109358,19790623,    0,    0
109358,19790624,   43,    0
109358,19790625,    6,    0
109358,19790626,    5,    0
109358,19790627,    0,    0
109358,19790628,    9,    0
109358,19790629,    0,    0
109358,19790630,    0,    0
109358,19790701,    3,    0
109358,19790702,    1,    0
109358,19790703,    0,    0
109358,19790704,    0,    0
109358,19790705,    0,    0
109358,19790706,    0,    0
109358,19790707,   34,    0
109358,19790708,    4,    0
109358,19790709,   28,    0
109358,19790710,    0,    0
109358,19790711,    0,    0
109358,19790712,    0,    0
109358,19790713,    0,    0
109358,19790714,    0,    0
109358,19790715,    0,    0
109358,19790716,    8,    0
109358,19790717,    1,    0
109358,19790718,  108,    0
109358,19790719,    1,    0
109358,19790720,    0,    0
109358,19790721,  135,    0
109358,19790722,    0,    0
109358,19790723,    3,    0
109358,19790724,    0,    0
109358,19790725,    0,    0
109358,19790726,    0,    0
109358,19790727,    0,    0
109358,19790728,    1,    0
109358,19790729,   58,    0
109358,19790730,    1,    0
109358,19790731,    4,    0
