EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, HEL (STAID: 205).
Blended and updated with sources: 100643 912135 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100643,19790101,  134,    0
100643,19790102,   16,    0
100643,19790103,   85,    0
100643,19790104,   35,    0
100643,19790105,   51,    0
100643,19790106,    5,    0
100643,19790107,    0,    0
100643,19790108,    3,    0
100643,19790109,   30,    0
100643,19790110,    0,    0
100643,19790111,   43,    0
100643,19790112,    2,    0
100643,19790113,    0,    0
100643,19790114,   53,    0
100643,19790115,   17,    0
100643,19790116,    0,    0
100643,19790117,    0,    0
100643,19790118,    0,    0
100643,19790119,    0,    0
100643,19790120,    0,    0
100643,19790121,    0,    0
100643,19790122,    5,    0
100643,19790123,   15,    0
100643,19790124,    4,    0
100643,19790125,    1,    0
100643,19790126,    0,    0
100643,19790127,    0,    0
100643,19790128,    0,    0
100643,19790129,    0,    0
100643,19790130,   39,    0
100643,19790131,   13,    0
100643,19790201,    1,    0
100643,19790202,   52,    0
100643,19790203,    6,    0
100643,19790204,    0,    0
100643,19790205,    0,    0
100643,19790206,    1,    0
100643,19790207,    0,    0
100643,19790208,   39,    0
100643,19790209,    4,    0
100643,19790210,    0,    0
100643,19790211,    0,    0
100643,19790212,    0,    0
100643,19790213,    6,    0
100643,19790214,   37,    0
100643,19790215,    2,    0
100643,19790216,    0,    0
