EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, LESKO (STAID: 933).
Blended and updated with sources: 107332 912690 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107332,19790101,   21,    0
107332,19790102,    7,    0
107332,19790103,    6,    0
107332,19790104,    1,    0
107332,19790105,    7,    0
107332,19790106,    4,    0
107332,19790107,    1,    0
107332,19790108,    0,    0
107332,19790109,    0,    0
107332,19790110,   31,    0
107332,19790111,   20,    0
107332,19790112,   43,    0
107332,19790113,   12,    0
107332,19790114,   79,    0
107332,19790115,   33,    0
107332,19790116,    6,    0
107332,19790117,    0,    0
107332,19790118,   14,    0
107332,19790119,    1,    0
107332,19790120,    0,    0
107332,19790121,    0,    0
107332,19790122,    0,    0
107332,19790123,    1,    0
107332,19790124,  156,    0
107332,19790125,   11,    0
107332,19790126,    1,    0
107332,19790127,    1,    0
107332,19790128,    4,    0
107332,19790129,  138,    0
107332,19790130,    6,    0
107332,19790131,   11,    0
107332,19790201,    1,    0
107332,19790202,    1,    0
107332,19790203,    0,    0
107332,19790204,    0,    0
107332,19790205,   41,    0
107332,19790206,    1,    0
107332,19790207,    0,    0
107332,19790208,    1,    0
107332,19790209,    0,    0
107332,19790210,    0,    0
107332,19790211,    0,    0
107332,19790212,  128,    0
107332,19790213,    6,    0
107332,19790214,    0,    0
107332,19790215,    0,    0
107332,19790216,   12,    0
107332,19790217,   12,    0
107332,19790218,    0,    0
107332,19790219,    0,    0
107332,19790220,    0,    0
107332,19790221,    0,    0
107332,19790222,    0,    0
107332,19790223,    0,    0
107332,19790224,    0,    0
107332,19790225,    1,    0
107332,19790226,    0,    0
107332,19790227,    0,    0
107332,19790228,    1,    0
107332,19790301,    0,    0
107332,19790302,    0,    0
107332,19790303,    0,    0
107332,19790304,    6,    0
107332,19790305,   17,    0
107332,19790306,    0,    0
107332,19790307,    0,    0
107332,19790308,   99,    0
107332,19790309,   36,    0
107332,19790310,    9,    0
107332,19790311,    0,    0
107332,19790312,   43,    0
107332,19790313,    9,    0
107332,19790314,   31,    0
107332,19790315,    0,    0
107332,19790316,    0,    0
107332,19790317,   34,    0
107332,19790318,   11,    0
107332,19790319,   17,    0
107332,19790320,    0,    0
107332,19790321,    0,    0
107332,19790322,    0,    0
107332,19790323,   76,    0
107332,19790324,    0,    0
107332,19790325,    0,    0
107332,19790326,   54,    0
107332,19790327,   10,    0
107332,19790328,    0,    0
107332,19790329,   62,    0
107332,19790330,    8,    0
107332,19790331,   11,    0
107332,19790401,    5,    0
107332,19790402,    0,    0
107332,19790403,    0,    0
107332,19790404,    2,    0
107332,19790405,   18,    0
107332,19790406,   75,    0
107332,19790407,    8,    0
107332,19790408,    2,    0
107332,19790409,    0,    0
107332,19790410,    0,    0
107332,19790411,    0,    0
107332,19790412,    0,    0
107332,19790413,    0,    0
107332,19790414,    0,    0
107332,19790415,    0,    0
107332,19790416,    0,    0
107332,19790417,    0,    0
107332,19790418,    4,    0
107332,19790419,    0,    0
107332,19790420,    0,    0
107332,19790421,    0,    0
107332,19790422,    3,    0
107332,19790423,    0,    0
107332,19790424,    0,    0
107332,19790425,    7,    0
107332,19790426,  139,    0
107332,19790427,  138,    0
107332,19790428,   95,    0
107332,19790429,    8,    0
107332,19790430,   74,    0
107332,19790501,   75,    0
107332,19790502,   29,    0
107332,19790503,   66,    0
107332,19790504,    0,    0
107332,19790505,    0,    0
107332,19790506,    4,    0
107332,19790507,    0,    0
107332,19790508,   43,    0
107332,19790509,   10,    0
107332,19790510,    3,    0
107332,19790511,    0,    0
107332,19790512,    0,    0
107332,19790513,    0,    0
107332,19790514,    0,    0
107332,19790515,    0,    0
107332,19790516,    0,    0
107332,19790517,    0,    0
107332,19790518,    0,    0
107332,19790519,    0,    0
107332,19790520,    0,    0
107332,19790521,   83,    0
107332,19790522,    0,    0
107332,19790523,    0,    0
107332,19790524,    0,    0
107332,19790525,   76,    0
107332,19790526,  176,    0
107332,19790527,    0,    0
107332,19790528,   74,    0
107332,19790529,    0,    0
107332,19790530,    0,    0
107332,19790531,    1,    0
107332,19790601,   35,    0
107332,19790602,    0,    0
107332,19790603,    0,    0
107332,19790604,    0,    0
107332,19790605,   10,    0
107332,19790606,    7,    0
107332,19790607,    9,    0
107332,19790608,    3,    0
107332,19790609,   54,    0
107332,19790610,    0,    0
107332,19790611,    0,    0
107332,19790612,    3,    0
107332,19790613,    0,    0
107332,19790614,   43,    0
107332,19790615,   23,    0
107332,19790616,    1,    0
107332,19790617,    1,    0
107332,19790618,    2,    0
107332,19790619,   12,    0
107332,19790620,   32,    0
107332,19790621,   44,    0
107332,19790622,   15,    0
107332,19790623,    0,    0
107332,19790624,    0,    0
107332,19790625,    0,    0
107332,19790626,    0,    0
107332,19790627,    0,    0
107332,19790628,   25,    0
107332,19790629,   43,    0
107332,19790630,   27,    0
107332,19790701,    0,    0
107332,19790702,    0,    0
107332,19790703,   40,    0
107332,19790704,   23,    0
107332,19790705,    4,    0
107332,19790706,  315,    0
107332,19790707,   59,    0
107332,19790708,   84,    0
107332,19790709,    3,    0
107332,19790710,   49,    0
107332,19790711,    0,    0
107332,19790712,    3,    0
107332,19790713,    0,    0
107332,19790714,    4,    0
107332,19790715,    0,    0
107332,19790716,   33,    0
107332,19790717,   58,    0
107332,19790718,    1,    0
107332,19790719,   97,    0
107332,19790720,  139,    0
107332,19790721,    2,    0
107332,19790722,    4,    0
107332,19790723,    0,    0
107332,19790724,    2,    0
107332,19790725,   80,    0
107332,19790726,   60,    0
107332,19790727,   85,    0
107332,19790728,   27,    0
107332,19790729,    0,    0
107332,19790730,  135,    0
107332,19790731,    0,    0
107332,19790801,    0,    0
107332,19790802,   63,    0
107332,19790803,    2,    0
107332,19790804,  104,    0
107332,19790805,    0,    0
107332,19790806,    0,    0
107332,19790807,    0,    0
107332,19790808,    0,    0
107332,19790809,    2,    0
107332,19790810,  178,    0
107332,19790811,  154,    0
107332,19790812,  210,    0
107332,19790813,  105,    0
107332,19790814,    4,    0
107332,19790815,    2,    0
107332,19790816,    0,    0
107332,19790817,    0,    0
107332,19790818,   24,    0
107332,19790819,   49,    0
107332,19790820,   35,    0
107332,19790821,    0,    0
107332,19790822,    0,    0
107332,19790823,    0,    0
107332,19790824,  182,    0
107332,19790825,   46,    0
107332,19790826,    0,    0
