EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, ZIELONA GORA (STAID: 2031).
Blended and updated with sources: 107320 912400 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107320,19790101,    3,    0
107320,19790102,    9,    0
107320,19790103,    4,    0
107320,19790104,    3,    0
107320,19790105,    2,    0
107320,19790106,    1,    0
107320,19790107,    8,    0
107320,19790108,   15,    0
107320,19790109,   17,    0
107320,19790110,    0,    0
107320,19790111,    0,    0
107320,19790112,   10,    0
107320,19790113,   13,    0
107320,19790114,    1,    0
107320,19790115,   22,    0
107320,19790116,   42,    0
107320,19790117,    4,    0
107320,19790118,    0,    0
107320,19790119,    0,    0
107320,19790120,    0,    0
107320,19790121,    1,    0
107320,19790122,    0,    0
107320,19790123,   30,    0
107320,19790124,    3,    0
107320,19790125,    0,    0
107320,19790126,    0,    0
107320,19790127,   37,    0
107320,19790128,    3,    0
107320,19790129,    1,    0
107320,19790130,    0,    0
107320,19790131,   32,    0
107320,19790201,    2,    0
107320,19790202,   21,    0
107320,19790203,    2,    0
107320,19790204,    0,    0
107320,19790205,    0,    0
107320,19790206,    0,    0
107320,19790207,    0,    0
107320,19790208,   21,    0
107320,19790209,    1,    0
107320,19790210,    0,    0
107320,19790211,    0,    0
107320,19790212,   38,    0
107320,19790213,   45,    0
107320,19790214,   45,    0
107320,19790215,    9,    0
107320,19790216,    0,    0
107320,19790217,   42,    0
107320,19790218,    2,    0
107320,19790219,    0,    0
107320,19790220,    0,    0
107320,19790221,    0,    0
107320,19790222,    0,    0
107320,19790223,    0,    0
107320,19790224,    3,    0
107320,19790225,    0,    0
107320,19790226,    0,    0
107320,19790227,    0,    0
107320,19790228,    0,    0
107320,19790301,    0,    0
107320,19790302,    0,    0
107320,19790303,    0,    0
107320,19790304,   41,    0
107320,19790305,    0,    0
107320,19790306,    2,    0
107320,19790307,    4,    0
107320,19790308,    1,    0
107320,19790309,   70,    0
107320,19790310,    5,    0
107320,19790311,   25,    0
107320,19790312,   10,    0
107320,19790313,    0,    0
107320,19790314,    1,    0
107320,19790315,   10,    0
107320,19790316,   52,    0
107320,19790317,   40,    0
107320,19790318,   20,    0
107320,19790319,   38,    0
107320,19790320,    0,    0
107320,19790321,    0,    0
107320,19790322,    0,    0
107320,19790323,    9,    0
107320,19790324,    0,    0
107320,19790325,   31,    0
107320,19790326,    0,    0
107320,19790327,    0,    0
107320,19790328,   31,    0
107320,19790329,   39,    0
107320,19790330,   14,    0
107320,19790331,    5,    0
107320,19790401,    5,    0
107320,19790402,   11,    0
107320,19790403,  167,    0
107320,19790404,    0,    0
107320,19790405,   29,    0
107320,19790406,    0,    0
107320,19790407,  112,    0
107320,19790408,    0,    0
107320,19790409,    0,    0
107320,19790410,    0,    0
107320,19790411,    0,    0
107320,19790412,    0,    0
107320,19790413,    0,    0
107320,19790414,    0,    0
107320,19790415,    0,    0
107320,19790416,    0,    0
107320,19790417,   46,    0
107320,19790418,    0,    0
107320,19790419,    0,    0
107320,19790420,    0,    0
107320,19790421,    1,    0
107320,19790422,   16,    0
107320,19790423,   86,    0
107320,19790424,   49,    0
107320,19790425,    1,    0
107320,19790426,  121,    0
107320,19790427,   29,    0
107320,19790428,    0,    0
107320,19790429,    0,    0
107320,19790430,   44,    0
107320,19790501,    4,    0
107320,19790502,    0,    0
107320,19790503,    0,    0
107320,19790504,   23,    0
107320,19790505,   13,    0
107320,19790506,    0,    0
107320,19790507,    0,    0
107320,19790508,    0,    0
107320,19790509,    0,    0
107320,19790510,    0,    0
107320,19790511,    7,    0
107320,19790512,    1,    0
107320,19790513,    0,    0
107320,19790514,    0,    0
107320,19790515,    0,    0
107320,19790516,    0,    0
107320,19790517,    0,    0
107320,19790518,    0,    0
107320,19790519,   22,    0
107320,19790520,    0,    0
107320,19790521,   30,    0
107320,19790522,    0,    0
107320,19790523,    0,    0
107320,19790524,   59,    0
107320,19790525,    0,    0
107320,19790526,    0,    0
107320,19790527,   76,    0
107320,19790528,    1,    0
107320,19790529,    0,    0
107320,19790530,    0,    0
107320,19790531,    0,    0
107320,19790601,    0,    0
107320,19790602,    0,    0
107320,19790603,    0,    0
107320,19790604,    0,    0
107320,19790605,    0,    0
107320,19790606,    0,    0
107320,19790607,    9,    0
107320,19790608,   27,    0
107320,19790609,    0,    0
107320,19790610,    0,    0
107320,19790611,    0,    0
107320,19790612,   95,    0
107320,19790613,   92,    0
107320,19790614,    7,    0
107320,19790615,   15,    0
107320,19790616,    3,    0
107320,19790617,    0,    0
107320,19790618,    0,    0
107320,19790619,    0,    0
107320,19790620,    0,    0
107320,19790621,    0,    0
107320,19790622,    0,    0
107320,19790623,    0,    0
107320,19790624,    8,    0
107320,19790625,    0,    0
107320,19790626,   30,    0
107320,19790627,    0,    0
107320,19790628,    0,    0
107320,19790629,    5,    0
107320,19790630,   14,    0
107320,19790701,    1,    0
107320,19790702,    0,    0
107320,19790703,    0,    0
107320,19790704,    0,    0
107320,19790705,    0,    0
107320,19790706,    1,    0
107320,19790707,   64,    0
107320,19790708,   13,    0
107320,19790709,  139,    0
107320,19790710,    0,    0
107320,19790711,    0,    0
107320,19790712,    0,    0
107320,19790713,    0,    0
107320,19790714,    0,    0
107320,19790715,    0,    0
107320,19790716,   23,    0
107320,19790717,    0,    0
107320,19790718,   10,    0
107320,19790719,   30,    0
107320,19790720,    0,    0
107320,19790721,    0,    0
107320,19790722,   17,    0
107320,19790723,    0,    0
107320,19790724,   57,    0
107320,19790725,    6,    0
107320,19790726,   10,    0
107320,19790727,    0,    0
107320,19790728,    0,    0
107320,19790729,  122,    0
107320,19790730,   20,    0
107320,19790731,    0,    0
107320,19790801,   83,    0
107320,19790802,    0,    0
107320,19790803,    0,    0
107320,19790804,    1,    0
107320,19790805,    0,    0
107320,19790806,    0,    0
107320,19790807,    0,    0
107320,19790808,   13,    0
107320,19790809,   50,    0
107320,19790810,    0,    0
107320,19790811,    4,    0
107320,19790812,    0,    0
107320,19790813,    0,    0
107320,19790814,    0,    0
107320,19790815,    0,    0
107320,19790816,    0,    0
107320,19790817,    0,    0
107320,19790818,    0,    0
107320,19790819,    0,    0
107320,19790820,    0,    0
107320,19790821,    2,    0
107320,19790822,   18,    0
107320,19790823,  111,    0
107320,19790824,    7,    0
107320,19790825,    0,    0
107320,19790826,   25,    0
107320,19790827,    0,    0
107320,19790828,    7,    0
107320,19790829,    3,    0
