EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PORTUGAL, BRAGANCA (STAID: 212).
Blended and updated with sources: 100669 118469 908575 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100669,19790101,    1,    0
100669,19790102,   38,    0
100669,19790103,  278,    0
100669,19790104,    4,    0
100669,19790105,    0,    0
100669,19790106,    6,    0
100669,19790107,   19,    0
100669,19790108,    1,    0
100669,19790109,    0,    0
100669,19790110,    8,    0
100669,19790111,    0,    0
100669,19790112,    2,    0
100669,19790113,    0,    0
100669,19790114,    0,    0
100669,19790115,    0,    0
100669,19790116,    0,    0
100669,19790117,   42,    0
100669,19790118,  128,    0
100669,19790119,  103,    0
100669,19790120,    0,    0
100669,19790121,  201,    0
100669,19790122,   12,    0
100669,19790123,    0,    0
100669,19790124,   13,    0
100669,19790125,   16,    0
100669,19790126,  197,    0
100669,19790127,   44,    0
100669,19790128,    4,    0
100669,19790129,   12,    0
100669,19790130,    0,    0
100669,19790131,   85,    0
100669,19790201,  142,    0
100669,19790202,   45,    0
100669,19790203,  125,    0
100669,19790204,  177,    0
100669,19790205,  169,    0
100669,19790206,  365,    0
100669,19790207,   82,    0
100669,19790208,  152,    0
100669,19790209,  129,    0
100669,19790210,  254,    0
100669,19790211,   23,    0
100669,19790212,  345,    0
100669,19790213,  230,    0
100669,19790214,  158,    0
100669,19790215,    0,    0
100669,19790216,    0,    0
100669,19790217,    3,    0
100669,19790218,    3,    0
100669,19790219,    0,    0
100669,19790220,    3,    0
100669,19790221,   21,    0
100669,19790222,    0,    0
100669,19790223,    0,    0
100669,19790224,    0,    0
100669,19790225,    0,    0
100669,19790226,    0,    0
100669,19790227,   23,    0
100669,19790228,    2,    0
100669,19790301,    0,    0
100669,19790302,    0,    0
100669,19790303,    0,    0
100669,19790304,    1,    0
100669,19790305,    4,    0
100669,19790306,   38,    0
100669,19790307,    0,    0
100669,19790308,    0,    0
100669,19790309,    0,    0
100669,19790310,    0,    0
100669,19790311,    0,    0
100669,19790312,    0,    0
100669,19790313,   13,    0
100669,19790314,   97,    0
100669,19790315,   20,    0
100669,19790316,   84,    0
100669,19790317,  169,    0
100669,19790318,   17,    0
100669,19790319,   46,    0
100669,19790320,   46,    0
100669,19790321,    2,    0
100669,19790322,  132,    0
100669,19790323,   24,    0
100669,19790324,  301,    0
100669,19790325,  226,    0
100669,19790326,   12,    0
100669,19790327,   61,    0
100669,19790328,   13,    0
