EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, DROBETA TURNU SEVERIN (STAID: 223).
Blended and updated with sources: 100903 915410 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100903,19790101,  171,    0
100903,19790102,   35,    0
100903,19790103,    2,    0
100903,19790104,    0,    0
100903,19790105,    0,    0
100903,19790106,    0,    0
100903,19790107,    0,    0
100903,19790108,    0,    0
100903,19790109,    0,    0
100903,19790110,   40,    0
100903,19790111,    3,    0
100903,19790112,   17,    0
100903,19790113,    0,    0
100903,19790114,    0,    0
100903,19790115,    0,    0
100903,19790116,   17,    0
100903,19790117,   38,    0
100903,19790118,   67,    0
100903,19790119,   17,    0
100903,19790120,    1,    0
100903,19790121,    2,    0
100903,19790122,    1,    0
100903,19790123,    0,    0
100903,19790124,    6,    0
100903,19790125,   44,    0
100903,19790126,   93,    0
100903,19790127,    0,    0
100903,19790128,    0,    0
100903,19790129,   69,    0
100903,19790130,   72,    0
100903,19790131,   90,    0
100903,19790201,    0,    0
100903,19790202,    0,    0
100903,19790203,    0,    0
100903,19790204,   89,    0
100903,19790205,    2,    0
100903,19790206,    0,    0
100903,19790207,    6,    0
100903,19790208,    3,    0
100903,19790209,    0,    0
100903,19790210,   28,    0
100903,19790211,   56,    0
100903,19790212,   12,    0
100903,19790213,   22,    0
100903,19790214,   28,    0
100903,19790215,   21,    0
100903,19790216,  102,    0
100903,19790217,   48,    0
100903,19790218,  102,    0
100903,19790219,  120,    0
100903,19790220,    0,    0
100903,19790221,    0,    0
100903,19790222,    0,    0
100903,19790223,    0,    0
100903,19790224,    0,    0
100903,19790225,    0,    0
100903,19790226,    0,    0
100903,19790227,    0,    0
100903,19790228,   47,    0
100903,19790301,   10,    0
100903,19790302,    0,    0
100903,19790303,    0,    0
100903,19790304,    0,    0
100903,19790305,    5,    0
100903,19790306,    0,    0
100903,19790307,    0,    0
100903,19790308,    0,    0
100903,19790309,   32,    0
100903,19790310,    0,    0
100903,19790311,    0,    0
100903,19790312,    0,    0
100903,19790313,    2,    0
100903,19790314,    0,    0
100903,19790315,    0,    0
100903,19790316,    0,    0
100903,19790317,   26,    0
100903,19790318,    0,    0
100903,19790319,    0,    0
100903,19790320,    5,    0
100903,19790321,   25,    0
100903,19790322,   18,    0
100903,19790323,    1,    0
100903,19790324,    0,    0
100903,19790325,    0,    0
100903,19790326,    0,    0
100903,19790327,   42,    0
100903,19790328,  126,    0
100903,19790329,   28,    0
100903,19790330,    8,    0
100903,19790331,    0,    0
100903,19790401,    0,    0
100903,19790402,   43,    0
100903,19790403,  109,    0
100903,19790404,    0,    0
100903,19790405,   90,    0
100903,19790406,   74,    0
100903,19790407,   14,    0
100903,19790408,    0,    0
100903,19790409,    0,    0
100903,19790410,    0,    0
100903,19790411,   43,    0
100903,19790412,   77,    0
100903,19790413,    0,    0
100903,19790414,    0,    0
100903,19790415,    0,    0
100903,19790416,    0,    0
100903,19790417,    9,    0
100903,19790418,    0,    0
100903,19790419,    0,    0
100903,19790420,    0,    0
100903,19790421,    0,    0
100903,19790422,    0,    0
100903,19790423,    0,    0
100903,19790424,    0,    0
100903,19790425,    0,    0
100903,19790426,    3,    0
100903,19790427,    0,    0
100903,19790428,    0,    0
100903,19790429,    0,    0
100903,19790430,    0,    0
100903,19790501,    0,    0
100903,19790502,    0,    0
100903,19790503,    0,    0
100903,19790504,    0,    0
100903,19790505,    0,    0
100903,19790506,   14,    0
100903,19790507,  131,    0
100903,19790508,  228,    0
100903,19790509,   14,    0
100903,19790510,    0,    0
100903,19790511,  200,    0
100903,19790512,   95,    0
100903,19790513,   17,    0
100903,19790514,   60,    0
100903,19790515,    0,    0
100903,19790516,   14,    0
100903,19790517,   13,    0
100903,19790518,  133,    0
100903,19790519,   12,    0
100903,19790520,    0,    0
100903,19790521,    0,    0
100903,19790522,    6,    0
100903,19790523,   56,    0
100903,19790524,    0,    0
100903,19790525,    0,    0
100903,19790526,   10,    0
100903,19790527,    0,    0
100903,19790528,    0,    0
100903,19790529,   44,    0
100903,19790530,  640,    0
100903,19790531,    0,    0
100903,19790601,    1,    0
100903,19790602,    2,    0
100903,19790603,    0,    0
100903,19790604,    0,    0
100903,19790605,    0,    0
100903,19790606,    0,    0
100903,19790607,    0,    0
100903,19790608,    0,    0
100903,19790609,    2,    0
100903,19790610,    2,    0
100903,19790611,    0,    0
100903,19790612,    0,    0
100903,19790613,  138,    0
100903,19790614,    0,    0
100903,19790615,  191,    0
100903,19790616,    8,    0
100903,19790617,   22,    0
100903,19790618,  120,    0
100903,19790619,   50,    0
100903,19790620,  217,    0
100903,19790621,  107,    0
100903,19790622,    7,    0
100903,19790623,   22,    0
100903,19790624,   54,    0
100903,19790625,    2,    0
100903,19790626,    0,    0
100903,19790627,    0,    0
100903,19790628,    0,    0
100903,19790629,    0,    0
100903,19790630,    0,    0
100903,19790701,    0,    0
100903,19790702,    0,    0
100903,19790703,   36,    0
100903,19790704,  122,    0
100903,19790705,    0,    0
100903,19790706,    0,    0
100903,19790707,    2,    0
100903,19790708,    0,    0
100903,19790709,  139,    0
100903,19790710,    0,    0
100903,19790711,    0,    0
100903,19790712,    0,    0
100903,19790713,    0,    0
100903,19790714,    8,    0
100903,19790715,    0,    0
100903,19790716,    0,    0
100903,19790717,    0,    0
100903,19790718,    0,    0
100903,19790719,    0,    0
100903,19790720,    0,    0
100903,19790721,    0,    0
100903,19790722,    0,    0
100903,19790723,    3,    0
100903,19790724,   96,    0
100903,19790725,    0,    0
100903,19790726,    0,    0
100903,19790727,    0,    0
100903,19790728,    0,    0
100903,19790729,    0,    0
100903,19790730,    0,    0
100903,19790731,   64,    0
100903,19790801,    0,    0
100903,19790802,    0,    0
100903,19790803,    0,    0
100903,19790804,    0,    0
100903,19790805,    0,    0
100903,19790806,    0,    0
100903,19790807,    0,    0
100903,19790808,    0,    0
100903,19790809,    0,    0
100903,19790810,    0,    0
100903,19790811,    4,    0
100903,19790812,   92,    0
100903,19790813,   28,    0
100903,19790814,    1,    0
100903,19790815,    0,    0
100903,19790816,    1,    0
100903,19790817,  144,    0
100903,19790818,    5,    0
100903,19790819,   92,    0
100903,19790820,   67,    0
100903,19790821,    0,    0
100903,19790822,  182,    0
100903,19790823,    0,    0
100903,19790824,    0,    0
100903,19790825,    0,    0
100903,19790826,    0,    0
100903,19790827,    1,    0
100903,19790828,    0,    0
100903,19790829,   10,    0
100903,19790830,    0,    0
100903,19790831,    0,    0
100903,19790901,    0,    0
100903,19790902,    0,    0
100903,19790903,    0,    0
100903,19790904,    0,    0
100903,19790905,    4,    0
100903,19790906,    0,    0
100903,19790907,    0,    0
100903,19790908,    0,    0
100903,19790909,    0,    0
100903,19790910,    0,    0
100903,19790911,    0,    0
100903,19790912,    0,    0
100903,19790913,    0,    0
100903,19790914,    0,    0
100903,19790915,    8,    0
100903,19790916,    0,    0
100903,19790917,    0,    0
100903,19790918,    0,    0
100903,19790919,    0,    0
100903,19790920,    0,    0
100903,19790921,    0,    0
100903,19790922,    0,    0
100903,19790923,    0,    0
100903,19790924,    0,    0
100903,19790925,    8,    0
100903,19790926,    0,    0
100903,19790927,    0,    0
100903,19790928,    0,    0
100903,19790929,    0,    0
100903,19790930,    4,    0
100903,19791001,   18,    0
