EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, OCNA SUGATAG (STAID: 948).
Blended and updated with sources: 108898 915015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
108898,19790101,   80,    0
108898,19790102,   71,    0
108898,19790103,    0,    0
108898,19790104,   24,    0
108898,19790105,    4,    0
108898,19790106,   16,    0
108898,19790107,    0,    0
108898,19790108,    0,    0
108898,19790109,    0,    0
108898,19790110,    0,    0
108898,19790111,   16,    0
108898,19790112,   35,    0
108898,19790113,   61,    0
108898,19790114,   74,    0
108898,19790115,   26,    0
108898,19790116,    0,    0
108898,19790117,    0,    0
108898,19790118,   27,    0
108898,19790119,    0,    0
108898,19790120,    0,    0
108898,19790121,    0,    0
108898,19790122,    0,    0
108898,19790123,    6,    0
108898,19790124,    3,    0
108898,19790125,  137,    0
108898,19790126,   16,    0
108898,19790127,    0,    0
108898,19790128,   12,    0
108898,19790129,   69,    0
108898,19790130,   88,    0
108898,19790131,    0,    0
108898,19790201,    7,    0
108898,19790202,   27,    0
108898,19790203,   56,    0
108898,19790204,    0,    0
108898,19790205,    0,    0
108898,19790206,   63,    0
108898,19790207,    0,    0
108898,19790208,    0,    0
108898,19790209,   29,    0
108898,19790210,   89,    0
108898,19790211,    3,    0
108898,19790212,   11,    0
108898,19790213,   39,    0
108898,19790214,    0,    0
108898,19790215,    0,    0
108898,19790216,   26,    0
108898,19790217,    2,    0
108898,19790218,    0,    0
108898,19790219,    0,    0
108898,19790220,    0,    0
108898,19790221,    0,    0
108898,19790222,    0,    0
108898,19790223,    0,    0
108898,19790224,    0,    0
108898,19790225,    0,    0
108898,19790226,    0,    0
108898,19790227,    0,    0
108898,19790228,    0,    0
108898,19790301,    1,    0
108898,19790302,    0,    0
108898,19790303,   11,    0
108898,19790304,    0,    0
108898,19790305,   10,    0
108898,19790306,    0,    0
108898,19790307,    0,    0
108898,19790308,    0,    0
108898,19790309,   33,    0
108898,19790310,    3,    0
108898,19790311,   30,    0
108898,19790312,    0,    0
108898,19790313,    0,    0
108898,19790314,   71,    0
108898,19790315,   10,    0
108898,19790316,    0,    0
108898,19790317,   38,    0
108898,19790318,   26,    0
108898,19790319,   59,    0
108898,19790320,    0,    0
108898,19790321,    8,    0
108898,19790322,    2,    0
108898,19790323,   38,    0
108898,19790324,   47,    0
108898,19790325,    0,    0
108898,19790326,    4,    0
108898,19790327,   53,    0
108898,19790328,   19,    0
108898,19790329,   12,    0
108898,19790330,   15,    0
108898,19790331,  134,    0
108898,19790401,    2,    0
108898,19790402,    0,    0
108898,19790403,    0,    0
108898,19790404,    0,    0
108898,19790405,   45,    0
108898,19790406,   27,    0
108898,19790407,  176,    0
108898,19790408,   20,    0
108898,19790409,    0,    0
108898,19790410,   19,    0
108898,19790411,    6,    0
108898,19790412,    0,    0
