EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LUND (STAID: 463).
Blended and updated with sources: 137568 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137568,19790101,    0,    0
137568,19790102,    0,    0
137568,19790103,    0,    0
137568,19790104,    0,    0
137568,19790105,    0,    0
137568,19790106,    6,    0
137568,19790107,   59,    0
137568,19790108,    0,    0
137568,19790109,   90,    0
137568,19790110,    0,    0
137568,19790111,    9,    0
137568,19790112,   73,    0
137568,19790113,   24,    0
137568,19790114,    0,    0
137568,19790115,    0,    0
137568,19790116,    0,    0
137568,19790117,    0,    0
137568,19790118,    0,    0
137568,19790119,    3,    0
137568,19790120,    0,    0
137568,19790121,    8,    0
137568,19790122,    2,    0
137568,19790123,   67,    0
137568,19790124,   33,    0
137568,19790125,   61,    0
137568,19790126,    7,    0
137568,19790127,    0,    0
137568,19790128,    0,    0
137568,19790129,    0,    0
137568,19790130,    0,    0
137568,19790131,   11,    0
137568,19790201,   75,    0
137568,19790202,    0,    0
137568,19790203,    2,    0
137568,19790204,   10,    0
137568,19790205,    0,    0
137568,19790206,    0,    0
137568,19790207,   26,    0
137568,19790208,   55,    0
137568,19790209,    1,    0
137568,19790210,    0,    0
137568,19790211,    0,    0
137568,19790212,    0,    0
137568,19790213,    0,    0
137568,19790214,   12,    0
137568,19790215,   11,    0
137568,19790216,    0,    0
137568,19790217,   10,    0
137568,19790218,   35,    0
137568,19790219,    0,    0
137568,19790220,    0,    0
137568,19790221,    0,    0
137568,19790222,    0,    0
137568,19790223,    0,    0
137568,19790224,    0,    0
137568,19790225,    0,    0
137568,19790226,    3,    0
137568,19790227,   53,    0
137568,19790228,    0,    0
137568,19790301,   33,    0
137568,19790302,   45,    0
137568,19790303,   38,    0
137568,19790304,    6,    0
137568,19790305,    0,    0
137568,19790306,    0,    0
137568,19790307,    4,    0
137568,19790308,    1,    0
137568,19790309,  109,    0
137568,19790310,   13,    0
137568,19790311,   31,    0
137568,19790312,   96,    0
137568,19790313,    3,    0
137568,19790314,    0,    0
137568,19790315,   20,    0
137568,19790316,   47,    0
137568,19790317,   61,    0
137568,19790318,    2,    0
137568,19790319,    0,    0
137568,19790320,    0,    0
137568,19790321,   41,    0
137568,19790322,   43,    0
137568,19790323,   36,    0
137568,19790324,    0,    0
137568,19790325,   79,    0
137568,19790326,  168,    0
137568,19790327,    2,    0
137568,19790328,    0,    0
137568,19790329,    0,    0
137568,19790330,   13,    0
137568,19790331,   40,    0
137568,19790401,   13,    0
137568,19790402,   19,    0
137568,19790403,   55,    0
137568,19790404,    0,    0
137568,19790405,    0,    0
137568,19790406,    0,    0
137568,19790407,    0,    0
137568,19790408,    0,    0
137568,19790409,    0,    0
137568,19790410,    0,    0
137568,19790411,    0,    0
137568,19790412,    0,    0
137568,19790413,    0,    0
137568,19790414,    0,    0
137568,19790415,    0,    0
137568,19790416,    0,    0
137568,19790417,    0,    0
137568,19790418,    0,    0
137568,19790419,    0,    0
137568,19790420,    9,    0
137568,19790421,   16,    0
137568,19790422,    9,    0
137568,19790423,   30,    0
137568,19790424,   27,    0
137568,19790425,    0,    0
137568,19790426,    0,    0
137568,19790427,    0,    0
137568,19790428,    0,    0
137568,19790429,   64,    0
137568,19790430,   14,    0
137568,19790501,    3,    0
137568,19790502,  124,    0
137568,19790503,    6,    0
137568,19790504,    0,    0
137568,19790505,    0,    0
137568,19790506,    0,    0
137568,19790507,   15,    0
137568,19790508,    3,    0
137568,19790509,    0,    0
137568,19790510,    0,    0
137568,19790511,    0,    0
137568,19790512,    0,    0
137568,19790513,    0,    0
137568,19790514,    0,    0
137568,19790515,    0,    0
137568,19790516,    0,    0
137568,19790517,   38,    0
137568,19790518,   20,    0
137568,19790519,    0,    0
137568,19790520,    0,    0
137568,19790521,   48,    0
137568,19790522,   53,    0
137568,19790523,    9,    0
137568,19790524,   83,    0
137568,19790525,   13,    0
137568,19790526,    4,    0
137568,19790527,   39,    0
137568,19790528,    0,    0
137568,19790529,    0,    0
137568,19790530,    0,    0
137568,19790531,    0,    0
137568,19790601,    0,    0
137568,19790602,    0,    0
137568,19790603,    0,    0
137568,19790604,    0,    0
137568,19790605,    0,    0
137568,19790606,    0,    0
137568,19790607,   76,    0
137568,19790608,   35,    0
137568,19790609,    4,    0
137568,19790610,    0,    0
137568,19790611,    0,    0
137568,19790612,    5,    0
137568,19790613,    2,    0
137568,19790614,    3,    0
137568,19790615,    2,    0
137568,19790616,    0,    0
137568,19790617,    0,    0
137568,19790618,    0,    0
137568,19790619,    0,    0
137568,19790620,    0,    0
137568,19790621,    0,    0
137568,19790622,    0,    0
137568,19790623,    0,    0
137568,19790624,   51,    0
137568,19790625,    0,    0
137568,19790626,   11,    0
137568,19790627,    0,    0
137568,19790628,   13,    0
137568,19790629,    7,    0
137568,19790630,   66,    0
137568,19790701,   20,    0
137568,19790702,   12,    0
137568,19790703,    0,    0
137568,19790704,    0,    0
137568,19790705,    0,    0
137568,19790706,    0,    0
137568,19790707,  150,    0
137568,19790708,   40,    0
137568,19790709,    6,    0
137568,19790710,    0,    0
137568,19790711,    0,    0
137568,19790712,    0,    0
137568,19790713,    0,    0
137568,19790714,    0,    0
137568,19790715,    0,    0
137568,19790716,    3,    0
137568,19790717,   15,    0
137568,19790718,   12,    0
137568,19790719,   45,    0
137568,19790720,    5,    0
137568,19790721,    3,    0
137568,19790722,   22,    0
137568,19790723,    0,    0
137568,19790724,   35,    0
137568,19790725,    0,    0
137568,19790726,    0,    0
137568,19790727,    0,    0
137568,19790728,    0,    0
137568,19790729,   62,    0
137568,19790730,    3,    0
137568,19790731,    0,    0
137568,19790801,   13,    0
137568,19790802,   11,    0
137568,19790803,    0,    0
137568,19790804,    0,    0
137568,19790805,    0,    0
137568,19790806,    0,    0
137568,19790807,    0,    0
137568,19790808,   30,    0
137568,19790809,    0,    0
137568,19790810,  320,    0
137568,19790811,    0,    0
137568,19790812,    0,    0
137568,19790813,    0,    0
137568,19790814,    0,    0
137568,19790815,    0,    0
137568,19790816,    0,    0
137568,19790817,    0,    0
137568,19790818,    0,    0
137568,19790819,    0,    0
137568,19790820,    0,    0
137568,19790821,    0,    0
137568,19790822,    0,    0
137568,19790823,   22,    0
137568,19790824,    6,    0
137568,19790825,   87,    0
137568,19790826,  161,    0
137568,19790827,  215,    0
137568,19790828,    0,    0
137568,19790829,    0,    0
137568,19790830,    0,    0
137568,19790831,    0,    0
137568,19790901,    0,    0
137568,19790902,    0,    0
137568,19790903,    5,    0
137568,19790904,    0,    0
137568,19790905,    0,    0
137568,19790906,    0,    0
137568,19790907,    0,    0
137568,19790908,    0,    0
137568,19790909,   16,    0
137568,19790910,    0,    0
137568,19790911,   15,    0
137568,19790912,    0,    0
137568,19790913,    0,    0
137568,19790914,  156,    0
137568,19790915,   10,    0
137568,19790916,   14,    0
137568,19790917,   63,    0
137568,19790918,   12,    0
137568,19790919,    0,    0
137568,19790920,   46,    0
137568,19790921,   15,    0
137568,19790922,    0,    0
137568,19790923,    0,    0
137568,19790924,    0,    0
137568,19790925,    0,    0
137568,19790926,   10,    0
137568,19790927,    0,    0
137568,19790928,    0,    0
137568,19790929,    0,    0
137568,19790930,    0,    0
137568,19791001,    0,    0
137568,19791002,    0,    0
137568,19791003,    5,    0
137568,19791004,    0,    0
137568,19791005,    0,    0
137568,19791006,    0,    0
137568,19791007,    0,    0
137568,19791008,    0,    0
137568,19791009,    0,    0
137568,19791010,    0,    0
137568,19791011,    0,    0
137568,19791012,    0,    0
137568,19791013,    0,    0
137568,19791014,    0,    0
137568,19791015,   18,    0
137568,19791016,    2,    0
137568,19791017,    0,    0
137568,19791018,   36,    0
137568,19791019,    6,    0
137568,19791020,    0,    0
137568,19791021,   46,    0
137568,19791022,    0,    0
137568,19791023,    0,    0
137568,19791024,    0,    0
137568,19791025,    0,    0
137568,19791026,    0,    0
137568,19791027,    0,    0
137568,19791028,    0,    0
137568,19791029,    0,    0
137568,19791030,    0,    0
137568,19791031,   35,    0
137568,19791101,   66,    0
137568,19791102,    6,    0
137568,19791103,    0,    0
137568,19791104,  216,    0
137568,19791105,    9,    0
137568,19791106,   40,    0
137568,19791107,    0,    0
137568,19791108,    0,    0
137568,19791109,   44,    0
137568,19791110,    0,    0
137568,19791111,    7,    0
137568,19791112,   76,    0
137568,19791113,    0,    0
137568,19791114,   25,    0
137568,19791115,   32,    0
137568,19791116,   24,    0
137568,19791117,    0,    0
137568,19791118,   61,    0
137568,19791119,   10,    0
137568,19791120,    0,    0
137568,19791121,    0,    0
137568,19791122,    0,    0
137568,19791123,   32,    0
137568,19791124,    8,    0
137568,19791125,  114,    0
137568,19791126,   57,    0
137568,19791127,    0,    0
137568,19791128,  115,    0
137568,19791129,   28,    0
137568,19791130,   76,    0
137568,19791201,   40,    0
137568,19791202,   10,    0
137568,19791203,   47,    0
137568,19791204,    2,    0
137568,19791205,  120,    0
137568,19791206,    0,    0
137568,19791207,    0,    0
137568,19791208,    3,    0
137568,19791209,  138,    0
137568,19791210,  402,    0
137568,19791211,    6,    0
137568,19791212,    0,    0
137568,19791213,    0,    0
137568,19791214,    4,    0
137568,19791215,   66,    0
137568,19791216,   27,    0
137568,19791217,   70,    0
137568,19791218,    8,    0
137568,19791219,    0,    0
137568,19791220,   21,    0
137568,19791221,    0,    0
137568,19791222,    0,    0
137568,19791223,    0,    0
137568,19791224,    0,    0
137568,19791225,    0,    0
137568,19791226,    0,    0
137568,19791227,   18,    0
137568,19791228,   38,    0
137568,19791229,   16,    0
137568,19791230,   18,    0
137568,19791231,    9,    0
137568,19800101,    1,    0
137568,19800102,    0,    0
137568,19800103,    0,    0
137568,19800104,    0,    0
137568,19800105,   20,    0
137568,19800106,    0,    0
137568,19800107,    9,    0
137568,19800108,   34,    0
137568,19800109,   14,    0
137568,19800110,    4,    0
137568,19800111,    0,    0
137568,19800112,    0,    0
137568,19800113,    0,    0
137568,19800114,   42,    0
137568,19800115,    0,    0
137568,19800116,    0,    0
137568,19800117,    2,    0
137568,19800118,    4,    0
137568,19800119,    0,    0
137568,19800120,    0,    0
137568,19800121,    0,    0
137568,19800122,   60,    0
137568,19800123,    3,    0
137568,19800124,   19,    0
137568,19800125,    2,    0
137568,19800126,    4,    0
137568,19800127,   13,    0
137568,19800128,    4,    0
137568,19800129,   15,    0
137568,19800130,  106,    0
137568,19800131,   59,    0
137568,19800201,   26,    0
137568,19800202,   16,    0
137568,19800203,    0,    0
137568,19800204,    0,    0
137568,19800205,    0,    0
137568,19800206,    2,    0
137568,19800207,   99,    0
137568,19800208,   14,    0
137568,19800209,   66,    0
137568,19800210,   27,    0
137568,19800211,    2,    0
137568,19800212,    0,    0
137568,19800213,    3,    0
137568,19800214,    0,    0
137568,19800215,   63,    0
137568,19800216,    0,    0
137568,19800217,    0,    0
137568,19800218,    0,    0
137568,19800219,    0,    0
137568,19800220,    0,    0
137568,19800221,    0,    0
137568,19800222,    0,    0
137568,19800223,    0,    0
137568,19800224,    0,    0
137568,19800225,    0,    0
137568,19800226,    0,    0
137568,19800227,    1,    0
137568,19800228,   19,    0
137568,19800229,   10,    0
137568,19800301,    0,    0
137568,19800302,   11,    0
137568,19800303,    0,    0
137568,19800304,    0,    0
137568,19800305,    0,    0
137568,19800306,   16,    0
137568,19800307,   23,    0
137568,19800308,    8,    0
137568,19800309,    0,    0
137568,19800310,    3,    0
137568,19800311,    0,    0
137568,19800312,    0,    0
137568,19800313,    0,    0
137568,19800314,    0,    0
137568,19800315,    0,    0
137568,19800316,    0,    0
137568,19800317,    0,    0
137568,19800318,    5,    0
137568,19800319,    3,    0
137568,19800320,    0,    0
137568,19800321,    0,    0
137568,19800322,    0,    0
137568,19800323,    0,    0
137568,19800324,    0,    0
137568,19800325,    0,    0
137568,19800326,    0,    0
137568,19800327,    0,    0
137568,19800328,   78,    0
137568,19800329,   13,    0
137568,19800330,   23,    0
137568,19800331,   14,    0
137568,19800401,    3,    0
137568,19800402,   30,    0
137568,19800403,    0,    0
137568,19800404,    0,    0
137568,19800405,    0,    0
137568,19800406,    0,    0
137568,19800407,    3,    0
137568,19800408,    2,    0
137568,19800409,    7,    0
137568,19800410,    0,    0
137568,19800411,    0,    0
137568,19800412,    0,    0
137568,19800413,    0,    0
137568,19800414,    0,    0
137568,19800415,    0,    0
137568,19800416,    0,    0
137568,19800417,    0,    0
137568,19800418,   29,    0
137568,19800419,   35,    0
137568,19800420,    0,    0
137568,19800421,    1,    0
137568,19800422,    0,    0
137568,19800423,    0,    0
137568,19800424,  122,    0
137568,19800425,    0,    0
137568,19800426,   27,    0
137568,19800427,    0,    0
137568,19800428,    0,    0
137568,19800429,    0,    0
137568,19800430,    0,    0
137568,19800501,    0,    0
137568,19800502,    0,    0
137568,19800503,    2,    0
137568,19800504,    0,    0
137568,19800505,    0,    0
137568,19800506,    0,    0
137568,19800507,   33,    0
137568,19800508,    3,    0
137568,19800509,    0,    0
137568,19800510,    0,    0
137568,19800511,    0,    0
137568,19800512,    0,    0
137568,19800513,    0,    0
137568,19800514,    0,    0
137568,19800515,    0,    0
137568,19800516,    0,    0
137568,19800517,    0,    0
137568,19800518,    0,    0
137568,19800519,    0,    0
137568,19800520,   11,    0
137568,19800521,    0,    0
137568,19800522,    6,    0
137568,19800523,   13,    0
137568,19800524,    0,    0
137568,19800525,    5,    0
137568,19800526,    0,    0
137568,19800527,    0,    0
137568,19800528,   20,    0
137568,19800529,   49,    0
137568,19800530,   64,    0
137568,19800531,    4,    0
137568,19800601,    0,    0
137568,19800602,   47,    0
137568,19800603,    0,    0
137568,19800604,    0,    0
137568,19800605,    0,    0
137568,19800606,    0,    0
137568,19800607,    0,    0
137568,19800608,   10,    0
137568,19800609,    0,    0
137568,19800610,    0,    0
137568,19800611,    3,    0
137568,19800612,   40,    0
137568,19800613,    0,    0
137568,19800614,    0,    0
137568,19800615,  124,    0
137568,19800616,   36,    0
137568,19800617,   30,    0
137568,19800618,  198,    0
137568,19800619,  111,    0
137568,19800620,   10,    0
137568,19800621,    2,    0
137568,19800622,    0,    0
137568,19800623,    0,    0
137568,19800624,    0,    0
137568,19800625,   50,    0
137568,19800626,   10,    0
137568,19800627,   12,    0
137568,19800628,   24,    0
137568,19800629,   19,    0
137568,19800630,    0,    0
137568,19800701,   14,    0
137568,19800702,    0,    0
137568,19800703,   14,    0
137568,19800704,   50,    0
137568,19800705,    2,    0
137568,19800706,   74,    0
137568,19800707,    6,    0
137568,19800708,  290,    0
137568,19800709,  152,    0
137568,19800710,    5,    0
137568,19800711,    0,    0
137568,19800712,    8,    0
137568,19800713,  160,    0
137568,19800714,    0,    0
137568,19800715,  113,    0
137568,19800716,  106,    0
137568,19800717,   44,    0
137568,19800718,   59,    0
137568,19800719,   84,    0
137568,19800720,    5,    0
137568,19800721,   72,    0
137568,19800722,    0,    0
137568,19800723,    0,    0
137568,19800724,    0,    0
137568,19800725,    0,    0
137568,19800726,    0,    0
137568,19800727,    0,    0
137568,19800728,    0,    0
137568,19800729,    0,    0
137568,19800730,    3,    0
137568,19800731,    8,    0
137568,19800801,    4,    0
137568,19800802,    0,    0
137568,19800803,   95,    0
137568,19800804,    4,    0
137568,19800805,   13,    0
137568,19800806,   20,    0
137568,19800807,    0,    0
137568,19800808,   13,    0
137568,19800809,    0,    0
137568,19800810,    0,    0
137568,19800811,    0,    0
137568,19800812,    0,    0
137568,19800813,    0,    0
137568,19800814,    0,    0
137568,19800815,    0,    0
137568,19800816,    0,    0
137568,19800817,    0,    0
137568,19800818,    0,    0
137568,19800819,   54,    0
137568,19800820,   92,    0
137568,19800821,   40,    0
137568,19800822,  125,    0
137568,19800823,  252,    0
137568,19800824,    7,    0
137568,19800825,    0,    0
137568,19800826,    3,    0
137568,19800827,    0,    0
137568,19800828,    3,    0
137568,19800829,    7,    0
137568,19800830,  112,    0
137568,19800831,    6,    0
137568,19800901,    0,    0
137568,19800902,    0,    0
137568,19800903,    0,    0
137568,19800904,    0,    0
137568,19800905,    0,    0
137568,19800906,    0,    0
137568,19800907,    0,    0
137568,19800908,    0,    0
137568,19800909,   88,    0
137568,19800910,   84,    0
137568,19800911,    4,    0
137568,19800912,    5,    0
137568,19800913,    2,    0
137568,19800914,    0,    0
137568,19800915,    0,    0
137568,19800916,    0,    0
137568,19800917,   84,    0
137568,19800918,    0,    0
137568,19800919,    0,    0
137568,19800920,    0,    0
137568,19800921,    0,    0
137568,19800922,    0,    0
137568,19800923,    0,    0
137568,19800924,   45,    0
137568,19800925,    0,    0
137568,19800926,    0,    0
137568,19800927,    0,    0
137568,19800928,    0,    0
137568,19800929,   22,    0
137568,19800930,   12,    0
137568,19801001,    3,    0
137568,19801002,    5,    0
137568,19801003,    0,    0
137568,19801004,    4,    0
137568,19801005,    6,    0
137568,19801006,   81,    0
137568,19801007,   96,    0
137568,19801008,   38,    0
137568,19801009,    0,    0
137568,19801010,    0,    0
137568,19801011,    0,    0
137568,19801012,    0,    0
137568,19801013,   80,    0
137568,19801014,   90,    0
137568,19801015,   36,    0
137568,19801016,    0,    0
137568,19801017,    0,    0
137568,19801018,    0,    0
137568,19801019,   10,    0
137568,19801020,    9,    0
137568,19801021,   29,    0
137568,19801022,  102,    0
137568,19801023,   78,    0
137568,19801024,   25,    0
137568,19801025,    4,    0
137568,19801026,    0,    0
137568,19801027,  216,    0
137568,19801028,  250,    0
137568,19801029,   73,    0
137568,19801030,   11,    0
137568,19801031,    0,    0
137568,19801101,    0,    0
137568,19801102,    0,    0
137568,19801103,    0,    0
137568,19801104,    0,    0
137568,19801105,    0,    0
137568,19801106,    0,    0
137568,19801107,    0,    0
137568,19801108,    0,    0
137568,19801109,    0,    0
137568,19801110,    8,    0
137568,19801111,   37,    0
137568,19801112,   18,    0
137568,19801113,   21,    0
137568,19801114,   78,    0
137568,19801115,  105,    0
137568,19801116,    8,    0
137568,19801117,   47,    0
137568,19801118,   26,    0
137568,19801119,    2,    0
137568,19801120,   48,    0
137568,19801121,   10,    0
137568,19801122,   81,    0
137568,19801123,    0,    0
137568,19801124,   73,    0
137568,19801125,  275,    0
137568,19801126,   43,    0
137568,19801127,  106,    0
137568,19801128,    0,    0
137568,19801129,    0,    0
137568,19801130,    0,    0
137568,19801201,   29,    0
137568,19801202,    5,    0
137568,19801203,   40,    0
137568,19801204,   14,    0
137568,19801205,    0,    0
137568,19801206,    0,    0
137568,19801207,    0,    0
137568,19801208,    0,    0
137568,19801209,   31,    0
137568,19801210,  125,    0
137568,19801211,  160,    0
137568,19801212,    0,    0
137568,19801213,   73,    0
137568,19801214,   43,    0
137568,19801215,   28,    0
137568,19801216,    0,    0
137568,19801217,   45,    0
137568,19801218,   99,    0
137568,19801219,    0,    0
137568,19801220,   17,    0
137568,19801221,    0,    0
137568,19801222,   16,    0
137568,19801223,   11,    0
137568,19801224,  138,    0
137568,19801225,   31,    0
137568,19801226,    0,    0
137568,19801227,    0,    0
137568,19801228,   21,    0
137568,19801229,   10,    0
137568,19801230,   14,    0
137568,19801231,   46,    0
137568,19810101,   15,    0
137568,19810102,  119,    0
137568,19810103,  110,    0
137568,19810104,   69,    0
137568,19810105,    6,    0
137568,19810106,    0,    0
137568,19810107,    0,    0
137568,19810108,   30,    0
137568,19810109,   33,    0
137568,19810110,    0,    0
137568,19810111,    0,    0
137568,19810112,  106,    0
137568,19810113,    3,    0
137568,19810114,  104,    0
137568,19810115,   15,    0
137568,19810116,    0,    0
137568,19810117,    0,    0
137568,19810118,    0,    0
137568,19810119,    3,    0
137568,19810120,    0,    0
137568,19810121,    0,    0
137568,19810122,    0,    0
137568,19810123,   10,    0
137568,19810124,    8,    0
137568,19810125,    3,    0
137568,19810126,    0,    0
137568,19810127,    5,    0
137568,19810128,   12,    0
137568,19810129,    6,    0
137568,19810130,    0,    0
137568,19810131,    4,    0
137568,19810201,    1,    0
137568,19810202,  115,    0
137568,19810203,  105,    0
137568,19810204,    8,    0
137568,19810205,    0,    0
137568,19810206,   77,    0
137568,19810207,   39,    0
137568,19810208,    0,    0
137568,19810209,    0,    0
137568,19810210,  101,    0
137568,19810211,    4,    0
137568,19810212,    0,    0
137568,19810213,    0,    0
137568,19810214,   25,    0
137568,19810215,    0,    0
137568,19810216,    0,    0
137568,19810217,    4,    0
137568,19810218,    0,    0
137568,19810219,    5,    0
137568,19810220,    2,    0
137568,19810221,    2,    0
137568,19810222,   35,    0
137568,19810223,   37,    0
137568,19810224,    0,    0
137568,19810225,    0,    0
137568,19810226,    0,    0
137568,19810227,    0,    0
137568,19810228,    0,    0
137568,19810301,    0,    0
137568,19810302,    0,    0
137568,19810303,    0,    0
137568,19810304,    0,    0
137568,19810305,   17,    0
137568,19810306,   51,    0
137568,19810307,  159,    0
137568,19810308,   76,    0
137568,19810309,    0,    0
137568,19810310,   21,    0
137568,19810311,   48,    0
137568,19810312,    0,    0
137568,19810313,    2,    0
137568,19810314,    7,    0
137568,19810315,    0,    0
137568,19810316,   14,    0
137568,19810317,    0,    0
137568,19810318,   90,    0
137568,19810319,    0,    0
137568,19810320,   24,    0
137568,19810321,   32,    0
137568,19810322,    0,    0
137568,19810323,   83,    0
137568,19810324,    5,    0
137568,19810325,   41,    0
137568,19810326,  120,    0
137568,19810327,   35,    0
137568,19810328,    0,    0
137568,19810329,    0,    0
137568,19810330,    0,    0
137568,19810331,    0,    0
137568,19810401,    0,    0
137568,19810402,    0,    0
137568,19810403,    0,    0
137568,19810404,    0,    0
137568,19810405,    0,    0
137568,19810406,    0,    0
137568,19810407,    0,    0
137568,19810408,    9,    0
137568,19810409,    0,    0
137568,19810410,    0,    0
137568,19810411,    0,    0
137568,19810412,    0,    0
137568,19810413,    0,    0
137568,19810414,    0,    0
137568,19810415,    0,    0
137568,19810416,    0,    0
137568,19810417,    0,    0
137568,19810418,   45,    0
137568,19810419,    3,    0
