EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, BJUROKLUBB A (STAID: 3535).
Blended and updated with sources: 140336 140338 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140336,19790101,    0,    0
140336,19790102,    0,    0
140336,19790103,    6,    0
140336,19790104,    0,    0
140336,19790105,    0,    0
140336,19790106,   30,    0
140336,19790107,   21,    0
140336,19790108,    0,    0
140336,19790109,    0,    0
140336,19790110,    4,    0
140336,19790111,    2,    0
140336,19790112,   22,    0
140336,19790113,   68,    0
140336,19790114,    8,    0
140336,19790115,   51,    0
140336,19790116,    0,    0
140336,19790117,    3,    0
140336,19790118,    0,    0
140336,19790119,    0,    0
140336,19790120,    0,    0
140336,19790121,    0,    0
140336,19790122,    2,    0
140336,19790123,   13,    0
140336,19790124,   20,    0
140336,19790125,   18,    0
140336,19790126,    8,    0
140336,19790127,   17,    0
140336,19790128,    0,    0
140336,19790129,    0,    0
140336,19790130,    1,    0
140336,19790131,    6,    0
140336,19790201,   47,    0
140336,19790202,   35,    0
140336,19790203,    1,    0
140336,19790204,    2,    0
140336,19790205,   15,    0
140336,19790206,   22,    0
140336,19790207,   15,    0
140336,19790208,    8,    0
140336,19790209,    2,    0
140336,19790210,    0,    0
140336,19790211,   12,    0
140336,19790212,    0,    0
140336,19790213,    0,    0
140336,19790214,    0,    0
140336,19790215,    0,    0
140336,19790216,    0,    0
140336,19790217,    0,    0
140336,19790218,    0,    0
140336,19790219,    1,    0
140336,19790220,    0,    0
140336,19790221,    0,    0
140336,19790222,    0,    0
140336,19790223,    4,    0
140336,19790224,   11,    0
140336,19790225,    0,    0
140336,19790226,    0,    0
140336,19790227,    1,    0
140336,19790228,   46,    0
140336,19790301,    2,    0
140336,19790302,   14,    0
140336,19790303,   10,    0
140336,19790304,    0,    0
140336,19790305,    0,    0
140336,19790306,    0,    0
140336,19790307,    1,    0
140336,19790308,    2,    0
140336,19790309,   18,    0
140336,19790310,    1,    0
140336,19790311,   14,    0
140336,19790312,    6,    0
140336,19790313,   18,    0
140336,19790314,    8,    0
140336,19790315,    0,    0
140336,19790316,    0,    0
140336,19790317,    0,    0
140336,19790318,   13,    0
140336,19790319,   36,    0
140336,19790320,    1,    0
140336,19790321,    3,    0
140336,19790322,    1,    0
140336,19790323,   20,    0
140336,19790324,  124,    0
140336,19790325,    1,    0
140336,19790326,   12,    0
140336,19790327,   44,    0
140336,19790328,    0,    0
140336,19790329,    0,    0
140336,19790330,    0,    0
140336,19790331,    0,    0
140336,19790401,   46,    0
140336,19790402,    4,    0
140336,19790403,   19,    0
140336,19790404,    0,    0
140336,19790405,    0,    0
140336,19790406,    0,    0
140336,19790407,    0,    0
140336,19790408,   10,    0
140336,19790409,    8,    0
140336,19790410,   10,    0
140336,19790411,   31,    0
140336,19790412,    0,    0
140336,19790413,    0,    0
140336,19790414,    0,    0
140336,19790415,    0,    0
140336,19790416,    0,    0
140336,19790417,    0,    0
140336,19790418,    0,    0
140336,19790419,    0,    0
140336,19790420,    0,    0
140336,19790421,    0,    0
140336,19790422,    0,    0
140336,19790423,    0,    0
140336,19790424,    0,    0
140336,19790425,   58,    0
140336,19790426,    0,    0
140336,19790427,    0,    0
140336,19790428,    0,    0
140336,19790429,   94,    0
140336,19790430,   80,    0
140336,19790501,   13,    0
