EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, PAJALA A (STAID: 3539).
Blended and updated with sources: 140838 140840 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140840,19790101,    0,    0
140840,19790102,    0,    0
140840,19790103,    0,    0
140840,19790104,    0,    0
140840,19790105,    3,    0
140840,19790106,   13,    0
140840,19790107,   38,    0
140840,19790108,   23,    0
140840,19790109,    0,    0
140840,19790110,    7,    0
140840,19790111,    2,    0
140840,19790112,   11,    0
140840,19790113,   64,    0
140840,19790114,    5,    0
140840,19790115,   30,    0
140840,19790116,   15,    0
140840,19790117,   27,    0
140840,19790118,    0,    0
140840,19790119,    0,    0
140840,19790120,    0,    0
140840,19790121,   10,    0
140840,19790122,    5,    0
140840,19790123,   40,    0
140840,19790124,   11,    0
140840,19790125,   21,    0
140840,19790126,    2,    0
140840,19790127,    0,    0
140840,19790128,    0,    0
140840,19790129,    0,    0
140840,19790130,    0,    0
140840,19790131,    0,    0
140840,19790201,   21,    0
140840,19790202,   73,    0
140840,19790203,   41,    0
140840,19790204,   28,    0
140840,19790205,    0,    0
140840,19790206,   76,    0
140840,19790207,   29,    0
140840,19790208,    4,    0
140840,19790209,    4,    0
140840,19790210,    1,    0
140840,19790211,    0,    0
140840,19790212,    0,    0
140840,19790213,    0,    0
140840,19790214,    0,    0
140840,19790215,    0,    0
140840,19790216,    0,    0
140840,19790217,    0,    0
140840,19790218,    0,    0
140840,19790219,    0,    0
140840,19790220,   17,    0
140840,19790221,    0,    0
140840,19790222,    0,    0
140840,19790223,   43,    0
140840,19790224,    0,    0
140840,19790225,   59,    0
140840,19790226,    0,    0
140840,19790227,    0,    0
140840,19790228,   50,    0
140840,19790301,    0,    0
140840,19790302,    0,    0
140840,19790303,    6,    0
140840,19790304,    0,    0
140840,19790305,    0,    0
140840,19790306,    0,    0
140840,19790307,    8,    0
140840,19790308,    9,    0
140840,19790309,   21,    0
140840,19790310,    1,    0
140840,19790311,   17,    0
140840,19790312,    7,    0
140840,19790313,    6,    0
140840,19790314,    5,    0
140840,19790315,    0,    0
140840,19790316,    0,    0
140840,19790317,    0,    0
140840,19790318,    0,    0
140840,19790319,   10,    0
140840,19790320,    0,    0
140840,19790321,    0,    0
140840,19790322,    1,    0
140840,19790323,   11,    0
140840,19790324,   78,    0
140840,19790325,   29,    0
140840,19790326,   77,    0
140840,19790327,    7,    0
140840,19790328,    0,    0
140840,19790329,    0,    0
140840,19790330,    0,    0
140840,19790331,    0,    0
140840,19790401,    0,    0
140840,19790402,    0,    0
140840,19790403,    2,    0
140840,19790404,    0,    0
140840,19790405,    1,    0
140840,19790406,    0,    0
140840,19790407,    6,    0
140840,19790408,   21,    0
140840,19790409,    0,    0
140840,19790410,   21,    0
140840,19790411,   18,    0
140840,19790412,    7,    0
140840,19790413,    0,    0
140840,19790414,    7,    0
140840,19790415,    0,    0
140840,19790416,    0,    0
140840,19790417,    0,    0
140840,19790418,    0,    0
140840,19790419,    0,    0
140840,19790420,    0,    0
140840,19790421,    0,    0
140840,19790422,    0,    0
140840,19790423,    0,    0
140840,19790424,    0,    0
140840,19790425,    0,    0
140840,19790426,   14,    0
140840,19790427,    0,    0
140840,19790428,   21,    0
140840,19790429,   52,    0
140840,19790430,   56,    0
140840,19790501,    0,    0
140840,19790502,    0,    0
140840,19790503,   38,    0
140840,19790504,    0,    0
140840,19790505,    0,    0
140840,19790506,    0,    0
140840,19790507,    0,    0
140840,19790508,    0,    0
140840,19790509,    0,    0
140840,19790510,    0,    0
140840,19790511,    0,    0
140840,19790512,    0,    0
140840,19790513,   24,    0
140840,19790514,    0,    0
140840,19790515,    0,    0
140840,19790516,    0,    0
140840,19790517,   89,    0
140840,19790518,    1,    0
140840,19790519,    0,    0
140840,19790520,    0,    0
140840,19790521,    2,    0
140840,19790522,   83,    0
140840,19790523,    5,    0
140840,19790524,    3,    0
140840,19790525,   32,    0
140840,19790526,    0,    0
140840,19790527,   12,    0
140840,19790528,   34,    0
140840,19790529,   34,    0
140840,19790530,    0,    0
140840,19790531,    0,    0
140840,19790601,   30,    0
140840,19790602,    0,    0
140840,19790603,    0,    0
140840,19790604,    0,    0
140840,19790605,    0,    0
140840,19790606,    0,    0
140840,19790607,   30,    0
140840,19790608,   33,    0
140840,19790609,   13,    0
140840,19790610,    0,    0
140840,19790611,   13,    0
140840,19790612,    0,    0
140840,19790613,    0,    0
140840,19790614,   15,    0
140840,19790615,   15,    0
140840,19790616,   46,    0
140840,19790617,  319,    0
140840,19790618,    0,    0
