EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SANDSJOBACKA (STAID: 5290).
Blended and updated with sources: 138140 138158 138178 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138178,19790101,    0,    0
138178,19790102,    0,    0
138178,19790103,    0,    0
138178,19790104,    0,    0
138178,19790105,   31,    0
138178,19790106,   68,    0
138178,19790107,   23,    0
138178,19790108,    8,    0
138178,19790109,   26,    0
138178,19790110,    0,    0
138178,19790111,   24,    0
138178,19790112,   83,    0
138178,19790113,   11,    0
138178,19790114,    0,    0
138178,19790115,    0,    0
138178,19790116,    0,    0
138178,19790117,    0,    0
138178,19790118,    0,    0
138178,19790119,    0,    0
138178,19790120,    0,    0
138178,19790121,    2,    0
138178,19790122,    0,    0
138178,19790123,    6,    0
138178,19790124,   13,    0
138178,19790125,   30,    0
138178,19790126,   83,    0
138178,19790127,    0,    0
138178,19790128,    3,    0
138178,19790129,    0,    0
138178,19790130,    2,    0
138178,19790131,    2,    0
138140,19790201,   13,    0
138140,19790202,   24,    0
138178,19790203,    8,    0
138178,19790204,    0,    0
138178,19790205,    0,    0
138178,19790206,    0,    0
138140,19790207,    4,    0
138178,19790208,    0,    0
138178,19790209,    0,    0
138178,19790210,    0,    0
138178,19790211,    0,    0
138178,19790212,    0,    0
138178,19790213,    0,    0
138178,19790214,    0,    0
138178,19790215,    0,    0
138178,19790216,    0,    0
138178,19790217,    0,    0
138140,19790218,   35,    0
138178,19790219,    0,    0
138178,19790220,    0,    0
138178,19790221,    0,    0
138178,19790222,   17,    0
138178,19790223,    0,    0
138178,19790224,    0,    0
138178,19790225,    0,    0
138140,19790226,    2,    0
138178,19790227,    0,    0
138178,19790228,    0,    0
138140,19790301,    4,    0
138140,19790302,   70,    0
138178,19790303,   25,    0
138178,19790304,    0,    0
138178,19790305,    0,    0
138178,19790306,    0,    0
138140,19790307,   16,    0
138140,19790308,   18,    0
138140,19790309,  206,    0
138140,19790310,    6,    0
138140,19790311,   54,    0
138178,19790312,   25,    0
138178,19790313,    0,    0
138178,19790314,    0,    0
138178,19790315,    0,    0
138178,19790316,    6,    0
138178,19790317,    0,    0
138178,19790318,    2,    0
138178,19790319,    6,    0
138140,19790320,    1,    0
138140,19790321,   49,    0
138140,19790322,   36,    0
138178,19790323,   43,    0
138178,19790324,    0,    0
138140,19790325,   67,    0
138140,19790326,   70,    0
138178,19790327,   53,    0
138178,19790328,    5,    0
138178,19790329,    0,    0
138178,19790330,   14,    0
138178,19790331,    0,    0
138140,19790401,   42,    0
138140,19790402,   23,    0
138178,19790403,   70,    0
138178,19790404,    0,    0
138178,19790405,    0,    0
138178,19790406,    0,    0
138178,19790407,    0,    0
138178,19790408,    0,    0
138178,19790409,    0,    0
138178,19790410,    0,    0
138178,19790411,    0,    0
138178,19790412,    0,    0
138178,19790413,   12,    0
138178,19790414,    0,    0
138178,19790415,    0,    0
138178,19790416,    0,    0
138178,19790417,    0,    0
138178,19790418,    0,    0
138178,19790419,    0,    0
138140,19790420,   30,    0
138140,19790421,   14,    0
138140,19790422,   83,    0
138140,19790423,   25,    0
138140,19790424,   42,    0
138178,19790425,   25,    0
138178,19790426,    0,    0
138178,19790427,    0,    0
138178,19790428,    0,    0
138140,19790429,  176,    0
138178,19790430,    7,    0
138178,19790501,    0,    0
138178,19790502,  108,    0
138178,19790503,    0,    0
138140,19790504,   12,    0
138178,19790505,    2,    0
138178,19790506,    0,    0
138140,19790507,   88,    0
138140,19790508,   43,    0
138140,19790509,   70,    0
138178,19790510,    7,    0
138178,19790511,    0,    0
138178,19790512,    0,    0
138178,19790513,    0,    0
138178,19790514,    0,    0
138178,19790515,    0,    0
138140,19790516,    2,    0
138178,19790517,   37,    0
138178,19790518,    0,    0
138178,19790519,    0,    0
138178,19790520,   14,    0
138140,19790521,    1,    0
138140,19790522,    2,    0
138140,19790523,  185,    0
138140,19790524,   31,    0
138178,19790525,   47,    0
138178,19790526,    4,    0
138178,19790527,  138,    0
138178,19790528,    0,    0
138178,19790529,  133,    0
138178,19790530,    7,    0
138178,19790531,    0,    0
138178,19790601,    0,    0
138178,19790602,    0,    0
138178,19790603,    0,    0
138178,19790604,    0,    0
138178,19790605,    0,    0
138178,19790606,    0,    0
138140,19790607,   30,    0
138140,19790608,    6,    0
138178,19790609,    6,    0
138178,19790610,    0,    0
138178,19790611,    0,    0
138178,19790612,    5,    0
138178,19790613,    3,    0
138140,19790614,  117,    0
138178,19790615,  101,    0
138178,19790616,    0,    0
138178,19790617,    0,    0
138178,19790618,    0,    0
138178,19790619,    0,    0
138178,19790620,    0,    0
138178,19790621,    0,    0
138178,19790622,    0,    0
138178,19790623,    0,    0
138140,19790624,   54,    0
138140,19790625,   81,    0
138178,19790626,  212,    0
138178,19790627,    6,    0
138140,19790628,    5,    0
138140,19790629,    3,    0
138178,19790630,    9,    0
138178,19790701,    0,    0
138178,19790702,    6,    0
138178,19790703,    0,    0
138178,19790704,    0,    0
138178,19790705,    0,    0
138178,19790706,    0,    0
138178,19790707,    0,    0
138178,19790708,   43,    0
138178,19790709,    0,    0
138178,19790710,    0,    0
138178,19790711,   15,    0
138178,19790712,    0,    0
138178,19790713,    0,    0
138178,19790714,    0,    0
138140,19790715,    6,    0
138140,19790716,    9,    0
138140,19790717,   12,    0
138140,19790718,  127,    0
138140,19790719,   46,    0
138178,19790720,    4,    0
138178,19790721,    0,    0
138178,19790722,    0,    0
138178,19790723,    0,    0
138178,19790724,    0,    0
138178,19790725,    0,    0
138178,19790726,    0,    0
138178,19790727,    0,    0
138140,19790728,    1,    0
138140,19790729,  232,    0
138140,19790730,   37,    0
138140,19790731,   50,    0
138140,19790801,    9,    0
138178,19790802,   43,    0
138178,19790803,    0,    0
138178,19790804,    4,    0
138178,19790805,    0,    0
138178,19790806,    0,    0
138140,19790807,   17,    0
138178,19790808,   27,    0
138178,19790809,    5,    0
138140,19790810,   71,    0
138178,19790811,   40,    0
138178,19790812,    0,    0
138178,19790813,    0,    0
138140,19790814,   31,    0
138140,19790815,   15,    0
138178,19790816,   90,    0
138178,19790817,    0,    0
138178,19790818,    0,    0
138178,19790819,    5,    0
138178,19790820,    0,    0
138140,19790821,   21,    0
138140,19790822,   18,    0
138178,19790823,    2,    0
138178,19790824,    0,    0
138140,19790825,    4,    0
138140,19790826,  254,    0
138178,19790827,   26,    0
138178,19790828,    0,    0
138178,19790829,    0,    0
138178,19790830,    0,    0
138178,19790831,    0,    0
138178,19790901,    0,    0
138140,19790902,  144,    0
138178,19790903,    0,    0
138178,19790904,    0,    0
138178,19790905,    5,    0
138178,19790906,    0,    0
138178,19790907,    0,    0
138178,19790908,    6,    0
138178,19790909,    1,    0
138178,19790910,    1,    0
138140,19790911,   12,    0
138140,19790912,   21,    0
138140,19790913,   14,    0
138140,19790914,  141,    0
138140,19790915,    2,    0
138140,19790916,   99,    0
138140,19790917,  131,    0
138178,19790918,   15,    0
138178,19790919,    0,    0
138140,19790920,  113,    0
138178,19790921,   27,    0
138178,19790922,    0,    0
138178,19790923,   42,    0
138178,19790924,    1,    0
138140,19790925,   33,    0
138178,19790926,  167,    0
138178,19790927,    0,    0
138178,19790928,    0,    0
138178,19790929,    0,    0
138178,19790930,    0,    0
138178,19791001,    0,    0
138178,19791002,    0,    0
138178,19791003,    0,    0
138178,19791004,    0,    0
138178,19791005,    0,    0
138178,19791006,    0,    0
138178,19791007,    0,    0
138178,19791008,    0,    0
138178,19791009,    0,    0
138178,19791010,    0,    0
138178,19791011,    0,    0
138140,19791012,    3,    0
138140,19791013,    3,    0
138140,19791014,    3,    0
138140,19791015,  115,    0
138140,19791016,   60,    0
138140,19791017,    5,    0
138140,19791018,  126,    0
138178,19791019,   70,    0
138178,19791020,    0,    0
138178,19791021,    0,    0
138178,19791022,    0,    0
138178,19791023,    0,    0
138178,19791024,    0,    0
138178,19791025,    0,    0
138178,19791026,    0,    0
138178,19791027,    0,    0
138178,19791028,    0,    0
138178,19791029,    0,    0
138178,19791030,    0,    0
138140,19791031,   56,    0
138140,19791101,   40,    0
138140,19791102,   21,    0
138140,19791103,  140,    0
138140,19791104,   80,    0
138140,19791105,   41,    0
138178,19791106,   34,    0
138178,19791107,    0,    0
138178,19791108,    0,    0
138178,19791109,    0,    0
138178,19791110,   17,    0
138140,19791111,   39,    0
138140,19791112,  338,    0
138178,19791113,  117,    0
138178,19791114,    0,    0
138140,19791115,   32,    0
138140,19791116,  174,    0
138140,19791117,    8,    0
138140,19791118,    6,    0
138178,19791119,    4,    0
138178,19791120,    0,    0
138178,19791121,    0,    0
138140,19791122,   49,    0
138140,19791123,   92,    0
138140,19791124,    8,    0
138140,19791125,  111,    0
138178,19791126,  203,    0
138178,19791127,    0,    0
138140,19791128,   36,    0
138140,19791129,    4,    0
138140,19791130,   47,    0
138140,19791201,    7,    0
138140,19791202,   26,    0
138140,19791203,   24,    0
138178,19791204,   30,    0
138178,19791205,    2,    0
138178,19791206,    5,    0
138178,19791207,    0,    0
138178,19791208,    0,    0
138140,19791209,   14,    0
138178,19791210,   36,    0
138178,19791211,    0,    0
138178,19791212,    0,    0
138178,19791213,    0,    0
138178,19791214,    0,    0
138140,19791215,   10,    0
138140,19791216,    8,    0
138140,19791217,   93,    0
138140,19791218,    2,    0
138178,19791219,    0,    0
138178,19791220,    0,    0
138178,19791221,    0,    0
138140,19791222,    4,    0
138178,19791223,   24,    0
138178,19791224,    2,    0
138178,19791225,   45,    0
138178,19791226,    0,    0
138140,19791227,  188,    0
138140,19791228,  244,    0
138140,19791229,    6,    0
138140,19791230,   20,    0
138140,19791231,   16,    0
138178,19800101,    0,    0
138178,19800102,    0,    0
138178,19800103,    0,    0
138178,19800104,   42,    0
138178,19800105,   18,    0
138178,19800106,    8,    0
138178,19800107,    0,    0
138140,19800108,    3,    0
138178,19800109,    8,    0
138178,19800110,    0,    0
138178,19800111,    0,    0
138178,19800112,    0,    0
138140,19800113,   13,    0
138178,19800114,   14,    0
138178,19800115,    0,    0
138178,19800116,    0,    0
138178,19800117,    0,    0
138178,19800118,    0,    0
138178,19800119,    0,    0
138178,19800120,    0,    0
138140,19800121,    1,    0
138178,19800122,   48,    0
138178,19800123,    2,    0
138178,19800124,    0,    0
138178,19800125,    0,    0
138178,19800126,    0,    0
138178,19800127,    0,    0
138140,19800128,  113,    0
138140,19800129,    3,    0
138140,19800130,   64,    0
138140,19800131,    3,    0
138178,19800201,    0,    0
138178,19800202,    2,    0
138178,19800203,    0,    0
138178,19800204,    0,    0
138178,19800205,    0,    0
138178,19800206,    0,    0
138178,19800207,    6,    0
138178,19800208,    0,    0
138140,19800209,   50,    0
138140,19800210,   66,    0
138178,19800211,   10,    0
138178,19800212,    0,    0
138140,19800213,   26,    0
138140,19800214,    7,    0
138178,19800215,   83,    0
138178,19800216,    0,    0
138178,19800217,    0,    0
138178,19800218,    6,    0
138178,19800219,    0,    0
138178,19800220,    0,    0
138178,19800221,    0,    0
138178,19800222,    0,    0
138178,19800223,    0,    0
