EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, BOLLEBYGD (STAID: 5299).
Blended and updated with sources: 138180 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138180,19790101,    0,    0
138180,19790102,    6,    0
138180,19790103,    0,    0
138180,19790104,    0,    0
138180,19790105,    8,    0
138180,19790106,   52,    0
138180,19790107,  115,    0
138180,19790108,   12,    0
138180,19790109,   16,    0
138180,19790110,    0,    0
138180,19790111,    6,    0
138180,19790112,   29,    0
138180,19790113,    6,    0
138180,19790114,    0,    0
138180,19790115,    0,    0
138180,19790116,    0,    0
138180,19790117,    0,    0
138180,19790118,    0,    0
138180,19790119,    0,    0
138180,19790120,    0,    0
138180,19790121,    0,    0
138180,19790122,    3,    0
138180,19790123,    2,    0
138180,19790124,   10,    0
138180,19790125,   37,    0
138180,19790126,  113,    0
138180,19790127,    0,    0
138180,19790128,    0,    0
138180,19790129,    0,    0
138180,19790130,    8,    0
138180,19790131,    5,    0
138180,19790201,   43,    0
138180,19790202,   44,    0
138180,19790203,   42,    0
138180,19790204,    0,    0
138180,19790205,    0,    0
138180,19790206,    0,    0
138180,19790207,    6,    0
138180,19790208,    5,    0
138180,19790209,    0,    0
138180,19790210,    0,    0
138180,19790211,    0,    0
138180,19790212,    0,    0
138180,19790213,    0,    0
138180,19790214,    0,    0
138180,19790215,    0,    0
138180,19790216,    0,    0
138180,19790217,    0,    0
138180,19790218,   30,    0
138180,19790219,    4,    0
138180,19790220,    0,    0
138180,19790221,    0,    0
138180,19790222,   26,    0
138180,19790223,    0,    0
138180,19790224,    0,    0
138180,19790225,    0,    0
138180,19790226,    8,    0
138180,19790227,    0,    0
138180,19790228,    0,    0
138180,19790301,    0,    0
138180,19790302,  170,    0
138180,19790303,   39,    0
138180,19790304,    0,    0
138180,19790305,    0,    0
138180,19790306,    0,    0
138180,19790307,   73,    0
138180,19790308,   32,    0
138180,19790309,  273,    0
138180,19790310,    5,    0
138180,19790311,   24,    0
138180,19790312,   10,    0
138180,19790313,    0,    0
138180,19790314,    0,    0
138180,19790315,    0,    0
138180,19790316,    0,    0
138180,19790317,    0,    0
138180,19790318,    0,    0
138180,19790319,    8,    0
138180,19790320,    0,    0
138180,19790321,   26,    0
138180,19790322,   44,    0
138180,19790323,   89,    0
138180,19790324,    0,    0
138180,19790325,   94,    0
138180,19790326,   78,    0
138180,19790327,   71,    0
138180,19790328,   10,    0
138180,19790329,    0,    0
138180,19790330,   21,    0
138180,19790331,    0,    0
138180,19790401,   44,    0
138180,19790402,   15,    0
138180,19790403,   44,    0
138180,19790404,    0,    0
138180,19790405,    0,    0
138180,19790406,    0,    0
138180,19790407,    0,    0
138180,19790408,    0,    0
138180,19790409,    0,    0
138180,19790410,    0,    0
138180,19790411,    0,    0
138180,19790412,    0,    0
138180,19790413,   18,    0
138180,19790414,    0,    0
138180,19790415,    0,    0
138180,19790416,    8,    0
138180,19790417,    0,    0
138180,19790418,    0,    0
138180,19790419,    0,    0
138180,19790420,   25,    0
138180,19790421,    4,    0
138180,19790422,   85,    0
138180,19790423,   14,    0
138180,19790424,   52,    0
138180,19790425,   31,    0
138180,19790426,    0,    0
138180,19790427,    0,    0
138180,19790428,    2,    0
138180,19790429,  231,    0
138180,19790430,   25,    0
138180,19790501,   22,    0
138180,19790502,   82,    0
138180,19790503,    5,    0
138180,19790504,    4,    0
138180,19790505,    0,    0
138180,19790506,    0,    0
138180,19790507,   93,    0
138180,19790508,   85,    0
138180,19790509,   63,    0
138180,19790510,   20,    0
138180,19790511,    0,    0
138180,19790512,    0,    0
138180,19790513,    0,    0
138180,19790514,    0,    0
138180,19790515,    0,    0
138180,19790516,    0,    0
138180,19790517,   13,    0
138180,19790518,    0,    0
138180,19790519,    1,    0
138180,19790520,    0,    0
138180,19790521,    0,    0
138180,19790522,   52,    0
138180,19790523,  115,    0
138180,19790524,   10,    0
138180,19790525,   45,    0
138180,19790526,    7,    0
138180,19790527,  271,    0
138180,19790528,    0,    0
138180,19790529,    5,    0
138180,19790530,    3,    0
138180,19790531,    0,    0
138180,19790601,    0,    0
138180,19790602,    0,    0
138180,19790603,    0,    0
138180,19790604,    0,    0
138180,19790605,    0,    0
138180,19790606,    0,    0
138180,19790607,   35,    0
138180,19790608,    8,    0
138180,19790609,    0,    0
138180,19790610,    0,    0
138180,19790611,    0,    0
138180,19790612,    4,    0
138180,19790613,    2,    0
138180,19790614,   74,    0
138180,19790615,   35,    0
138180,19790616,    0,    0
138180,19790617,    0,    0
138180,19790618,    0,    0
138180,19790619,    0,    0
138180,19790620,    0,    0
138180,19790621,    0,    0
138180,19790622,   80,    0
138180,19790623,   30,    0
138180,19790624,   26,    0
138180,19790625,   64,    0
138180,19790626,   10,    0
138180,19790627,    2,    0
138180,19790628,   36,    0
138180,19790629,   28,    0
138180,19790630,   10,    0
138180,19790701,   14,    0
138180,19790702,    0,    0
138180,19790703,    0,    0
138180,19790704,    0,    0
138180,19790705,    0,    0
138180,19790706,    3,    0
138180,19790707,    0,    0
138180,19790708,   57,    0
138180,19790709,    6,    0
138180,19790710,   52,    0
138180,19790711,   65,    0
138180,19790712,    0,    0
138180,19790713,    0,    0
138180,19790714,    0,    0
138180,19790715,    0,    0
138180,19790716,   13,    0
138180,19790717,    0,    0
138180,19790718,   73,    0
138180,19790719,   64,    0
138180,19790720,    3,    0
138180,19790721,    0,    0
138180,19790722,    0,    0
138180,19790723,   76,    0
138180,19790724,    0,    0
138180,19790725,    0,    0
138180,19790726,    0,    0
138180,19790727,    0,    0
138180,19790728,    0,    0
138180,19790729,  220,    0
138180,19790730,   42,    0
138180,19790731,   18,    0
138180,19790801,   19,    0
138180,19790802,   90,    0
138180,19790803,    0,    0
138180,19790804,    0,    0
138180,19790805,   20,    0
138180,19790806,    0,    0
138180,19790807,    0,    0
138180,19790808,   34,    0
138180,19790809,   12,    0
138180,19790810,   44,    0
138180,19790811,   27,    0
138180,19790812,    0,    0
138180,19790813,    0,    0
138180,19790814,    0,    0
138180,19790815,   27,    0
138180,19790816,   17,    0
138180,19790817,    0,    0
138180,19790818,    0,    0
138180,19790819,    6,    0
138180,19790820,   26,    0
138180,19790821,   17,    0
138180,19790822,   14,    0
138180,19790823,    1,    0
138180,19790824,    0,    0
138180,19790825,   32,    0
138180,19790826,  270,    0
138180,19790827,    8,    0
138180,19790828,    0,    0
138180,19790829,    0,    0
138180,19790830,    0,    0
138180,19790831,    0,    0
138180,19790901,    0,    0
138180,19790902,   20,    0
138180,19790903,    0,    0
138180,19790904,    0,    0
138180,19790905,    6,    0
138180,19790906,    0,    0
138180,19790907,    0,    0
138180,19790908,    0,    0
138180,19790909,   38,    0
138180,19790910,    0,    0
138180,19790911,   84,    0
138180,19790912,   23,    0
138180,19790913,    8,    0
138180,19790914,  115,    0
138180,19790915,    0,    0
138180,19790916,  115,    0
138180,19790917,  203,    0
138180,19790918,   52,    0
138180,19790919,    0,    0
138180,19790920,  143,    0
138180,19790921,   10,    0
138180,19790922,    0,    0
138180,19790923,   22,    0
138180,19790924,    0,    0
138180,19790925,   42,    0
138180,19790926,  235,    0
138180,19790927,    0,    0
138180,19790928,    0,    0
138180,19790929,    0,    0
138180,19790930,    0,    0
138180,19791001,    0,    0
138180,19791002,    0,    0
138180,19791003,    0,    0
138180,19791004,    0,    0
