EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, GENDALEN (STAID: 5346).
Blended and updated with sources: 138386 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138386,19790101,    0,    0
138386,19790102,   14,    0
138386,19790103,    0,    0
138386,19790104,    4,    0
138386,19790105,    4,    0
138386,19790106,   34,    0
138386,19790107,   48,    0
138386,19790108,    1,    0
138386,19790109,    5,    0
138386,19790110,    0,    0
138386,19790111,    3,    0
138386,19790112,  138,    0
138386,19790113,   12,    0
138386,19790114,    0,    0
138386,19790115,    0,    0
138386,19790116,    0,    0
138386,19790117,    0,    0
138386,19790118,    3,    0
138386,19790119,    3,    0
138386,19790120,    0,    0
138386,19790121,   11,    0
138386,19790122,    7,    0
138386,19790123,   15,    0
138386,19790124,   24,    0
138386,19790125,   62,    0
138386,19790126,   89,    0
138386,19790127,    0,    0
138386,19790128,    0,    0
138386,19790129,    2,    0
138386,19790130,   74,    0
138386,19790131,    0,    0
138386,19790201,   37,    0
138386,19790202,   38,    0
138386,19790203,   87,    0
138386,19790204,    0,    0
138386,19790205,    0,    0
138386,19790206,    0,    0
138386,19790207,    0,    0
138386,19790208,    4,    0
138386,19790209,    0,    0
138386,19790210,    0,    0
138386,19790211,    0,    0
138386,19790212,    0,    0
138386,19790213,    0,    0
138386,19790214,    0,    0
138386,19790215,    0,    0
138386,19790216,    0,    0
138386,19790217,    0,    0
138386,19790218,   99,    0
138386,19790219,    6,    0
138386,19790220,    0,    0
138386,19790221,    0,    0
138386,19790222,   20,    0
138386,19790223,    0,    0
138386,19790224,    0,    0
138386,19790225,    0,    0
138386,19790226,    8,    0
138386,19790227,    0,    0
138386,19790228,    0,    0
