EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, NORRKOPING KUNSANGEN (STAID: 5391).
Blended and updated with sources: 138568 138570 138576 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138570,19790101,   14,    0
138570,19790102,    6,    0
138570,19790103,   13,    0
138576,19790104,    3,    0
138576,19790105,    0,    0
138576,19790106,    0,    0
138570,19790107,   17,    0
138570,19790108,    0,    0
138570,19790109,   42,    0
138570,19790110,   42,    0
138570,19790111,    0,    0
138570,19790112,   38,    0
138570,19790113,    1,    0
138570,19790114,    0,    0
138576,19790115,    1,    0
138576,19790116,    0,    0
138576,19790117,    0,    0
138576,19790118,    1,    0
138576,19790119,    0,    0
138576,19790120,    0,    0
138570,19790121,    8,    0
138570,19790122,    0,    0
138570,19790123,   11,    0
138570,19790124,   25,    0
138570,19790125,   46,    0
138576,19790126,   93,    0
138576,19790127,    3,    0
138576,19790128,    0,    0
138570,19790129,    2,    0
138570,19790130,   30,    0
138570,19790131,   92,    0
138570,19790201,    5,    0
138570,19790202,    0,    0
138576,19790203,   72,    0
138576,19790204,    0,    0
138576,19790205,    0,    0
138576,19790206,    0,    0
138576,19790207,    0,    0
138576,19790208,    3,    0
138576,19790209,    0,    0
138576,19790210,    0,    0
138576,19790211,    0,    0
138576,19790212,    1,    0
138576,19790213,    0,    0
138576,19790214,    0,    0
138576,19790215,    0,    0
138576,19790216,    0,    0
138576,19790217,    0,    0
138570,19790218,   35,    0
138576,19790219,   24,    0
138576,19790220,    0,    0
138576,19790221,    0,    0
138576,19790222,    0,    0
138576,19790223,    0,    0
138576,19790224,    0,    0
138576,19790225,    0,    0
138576,19790226,    0,    0
138576,19790227,    0,    0
138576,19790228,    0,    0
138570,19790301,    4,    0
138576,19790302,    3,    0
138576,19790303,    0,    0
138576,19790304,    0,    0
138576,19790305,    0,    0
138576,19790306,    0,    0
138576,19790307,    0,    0
138576,19790308,    0,    0
138570,19790309,   24,    0
138570,19790310,    3,    0
138570,19790311,    0,    0
138576,19790312,   50,    0
138576,19790313,    0,    0
138576,19790314,    5,    0
138576,19790315,    0,    0
