EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, ZINKGRUVAN (STAID: 5417).
Blended and updated with sources: 138610 138638 138654 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138654,19790101,    4,    0
138654,19790102,    6,    0
138654,19790103,    8,    0
138654,19790104,    8,    0
138654,19790105,    0,    0
138654,19790106,   66,    0
138654,19790107,   82,    0
138654,19790108,    0,    0
138654,19790109,   49,    0
138654,19790110,   19,    0
138654,19790111,   12,    0
138654,19790112,   45,    0
138654,19790113,   21,    0
138654,19790114,    0,    0
138654,19790115,    4,    0
138654,19790116,    0,    0
138654,19790117,    4,    0
138654,19790118,    0,    0
138654,19790119,    4,    0
138654,19790120,    3,    0
138654,19790121,   11,    0
138654,19790122,    8,    0
138654,19790123,   24,    0
138654,19790124,   33,    0
138654,19790125,   73,    0
138654,19790126,   91,    0
138654,19790127,    8,    0
138654,19790128,    0,    0
138654,19790129,    0,    0
138654,19790130,   21,    0
138654,19790131,  131,    0
138654,19790201,   33,    0
138654,19790202,    2,    0
138654,19790203,   84,    0
138654,19790204,    0,    0
138654,19790205,    4,    0
138654,19790206,    0,    0
138654,19790207,    0,    0
138654,19790208,    3,    0
138654,19790209,    0,    0
138654,19790210,    0,    0
138654,19790211,    0,    0
138654,19790212,    4,    0
138654,19790213,    0,    0
138654,19790214,    0,    0
138654,19790215,    0,    0
138654,19790216,    0,    0
138654,19790217,    0,    0
138654,19790218,   53,    0
138654,19790219,   32,    0
138654,19790220,    0,    0
138654,19790221,    2,    0
138654,19790222,    2,    0
138654,19790223,    2,    0
138654,19790224,    0,    0
138654,19790225,    0,    0
138654,19790226,    0,    0
138654,19790227,    0,    0
138654,19790228,    0,    0
138654,19790301,   12,    0
138654,19790302,  100,    0
138654,19790303,   24,    0
138654,19790304,    0,    0
138654,19790305,    0,    0
138654,19790306,    0,    0
138654,19790307,    0,    0
138654,19790308,   11,    0
138654,19790309,   73,    0
138654,19790310,   13,    0
138654,19790311,    0,    0
138654,19790312,  169,    0
138654,19790313,    5,    0
138654,19790314,    0,    0
138654,19790315,    8,    0
138654,19790316,   26,    0
138654,19790317,   11,    0
138654,19790318,    0,    0
138654,19790319,    0,    0
138654,19790320,    0,    0
138654,19790321,    0,    0
138654,19790322,  108,    0
138654,19790323,    9,    0
138654,19790324,    0,    0
138654,19790325,   93,    0
138654,19790326,   81,    0
138654,19790327,    8,    0
138654,19790328,    9,    0
138654,19790329,   28,    0
138654,19790330,   86,    0
138654,19790331,   79,    0
138654,19790401,   59,    0
138654,19790402,   39,    0
138654,19790403,    0,    0
138654,19790404,    0,    0
138654,19790405,   14,    0
138654,19790406,    0,    0
138654,19790407,    0,    0
138654,19790408,    0,    0
138654,19790409,    0,    0
138654,19790410,    0,    0
138654,19790411,    0,    0
138654,19790412,    0,    0
138654,19790413,   65,    0
138654,19790414,    4,    0
138654,19790415,    0,    0
138654,19790416,   12,    0
138654,19790417,    4,    0
138654,19790418,    0,    0
138654,19790419,    0,    0
138654,19790420,   17,    0
138654,19790421,    0,    0
138654,19790422,   19,    0
138654,19790423,   28,    0
138654,19790424,  168,    0
138654,19790425,   33,    0
138654,19790426,    9,    0
138654,19790427,   11,    0
138654,19790428,    3,    0
138654,19790429,  162,    0
138654,19790430,  180,    0
138654,19790501,    8,    0
138654,19790502,   49,    0
138654,19790503,   64,    0
138654,19790504,    0,    0
138654,19790505,    0,    0
138654,19790506,    0,    0
138654,19790507,   27,    0
138654,19790508,  102,    0
138654,19790509,  192,    0
138654,19790510,   62,    0
138654,19790511,    0,    0
138654,19790512,    0,    0
138654,19790513,    0,    0
138654,19790514,    0,    0
138654,19790515,    0,    0
138654,19790516,    0,    0
138654,19790517,    4,    0
138654,19790518,    4,    0
138654,19790519,   26,    0
138654,19790520,    0,    0
138654,19790521,    8,    0
138654,19790522,   28,    0
138654,19790523,    3,    0
138654,19790524,  156,    0
138654,19790525,  166,    0
138654,19790526,   14,    0
138654,19790527,    0,    0
138654,19790528,   64,    0
138654,19790529,    8,    0
138654,19790530,    0,    0
138654,19790531,    0,    0
138654,19790601,    0,    0
138654,19790602,    0,    0
138654,19790603,    0,    0
138654,19790604,    0,    0
138654,19790605,    0,    0
138654,19790606,    0,    0
138654,19790607,    0,    0
138654,19790608,  122,    0
138654,19790609,  308,    0
138654,19790610,    0,    0
138654,19790611,    0,    0
138654,19790612,    3,    0
138654,19790613,   11,    0
138654,19790614,    0,    0
138654,19790615,   40,    0
138654,19790616,    0,    0
138654,19790617,    0,    0
138654,19790618,    0,    0
138654,19790619,   13,    0
138654,19790620,    0,    0
138654,19790621,    0,    0
138654,19790622,   56,    0
138654,19790623,   63,    0
138654,19790624,   11,    0
138654,19790625,   83,    0
138654,19790626,    0,    0
138654,19790627,   34,    0
138654,19790628,   33,    0
138654,19790629,    0,    0
138654,19790630,   28,    0
138654,19790701,   28,    0
138654,19790702,   22,    0
138654,19790703,   21,    0
138654,19790704,    0,    0
138654,19790705,  134,    0
138654,19790706,    4,    0
138654,19790707,   20,    0
138654,19790708,   53,    0
138654,19790709,   43,    0
138654,19790710,    9,    0
138654,19790711,    5,    0
138654,19790712,   14,    0
138654,19790713,  133,    0
138654,19790714,    0,    0
138654,19790715,   10,    0
138654,19790716,   26,    0
138654,19790717,    0,    0
138654,19790718,   55,    0
138654,19790719,   37,    0
138654,19790720,   27,    0
138654,19790721,   11,    0
138654,19790722,   37,    0
138654,19790723,    4,    0
138654,19790724,   81,    0
138654,19790725,    0,    0
138654,19790726,   90,    0
138654,19790727,    0,    0
138654,19790728,    0,    0
138654,19790729,   82,    0
138654,19790730,  233,    0
138654,19790731,    8,    0
138654,19790801,   42,    0
138654,19790802,   43,    0
138654,19790803,   22,    0
138654,19790804,    0,    0
138654,19790805,    0,    0
138654,19790806,    2,    0
138654,19790807,    0,    0
138654,19790808,  110,    0
138654,19790809,   24,    0
138654,19790810,  143,    0
138654,19790811,   31,    0
138654,19790812,    0,    0
138654,19790813,    0,    0
138654,19790814,    0,    0
138654,19790815,    0,    0
138654,19790816,    0,    0
138654,19790817,    0,    0
138654,19790818,    0,    0
138654,19790819,    0,    0
138654,19790820,    0,    0
138654,19790821,    8,    0
138654,19790822,    4,    0
138654,19790823,    0,    0
138654,19790824,    0,    0
138654,19790825,   28,    0
138654,19790826,  248,    0
138654,19790827,   34,    0
138654,19790828,    0,    0
138654,19790829,    0,    0
138654,19790830,    0,    0
138654,19790831,    0,    0
138654,19790901,   20,    0
138654,19790902,   42,    0
138654,19790903,   60,    0
138654,19790904,    0,    0
138654,19790905,    0,    0
138654,19790906,    0,    0
138654,19790907,    0,    0
138654,19790908,    2,    0
138654,19790909,    0,    0
138654,19790910,    0,    0
138654,19790911,   52,    0
138654,19790912,   12,    0
138654,19790913,   37,    0
138654,19790914,    0,    0
138654,19790915,    0,    0
138654,19790916,   15,    0
138654,19790917,   64,    0
138654,19790918,   17,    0
138654,19790919,    0,    0
138654,19790920,   79,    0
138654,19790921,   21,    0
138654,19790922,    0,    0
138654,19790923,    0,    0
138654,19790924,    8,    0
138654,19790925,    0,    0
138654,19790926,   78,    0
138654,19790927,   37,    0
138654,19790928,    0,    0
138654,19790929,    0,    0
138654,19790930,    0,    0
138654,19791001,    0,    0
138654,19791002,    0,    0
138654,19791003,    0,    0
138654,19791004,    0,    0
138654,19791005,    0,    0
138654,19791006,    0,    0
138654,19791007,    0,    0
138654,19791008,    0,    0
138654,19791009,    1,    0
138654,19791010,    0,    0
138654,19791011,    0,    0
138654,19791012,   21,    0
138654,19791013,   53,    0
138654,19791014,   17,    0
138654,19791015,  132,    0
138654,19791016,   71,    0
138654,19791017,    8,    0
138654,19791018,   71,    0
138654,19791019,   75,    0
138654,19791020,    0,    0
138654,19791021,    0,    0
138654,19791022,    0,    0
138654,19791023,    0,    0
138654,19791024,    0,    0
138654,19791025,    0,    0
138654,19791026,    0,    0
138654,19791027,    0,    0
138654,19791028,    4,    0
138654,19791029,    2,    0
138654,19791030,    4,    0
138654,19791031,    0,    0
138654,19791101,   49,    0
138654,19791102,    8,    0
138654,19791103,    0,    0
138654,19791104,   91,    0
138654,19791105,   16,    0
138654,19791106,   47,    0
138654,19791107,    4,    0
138654,19791108,    0,    0
138654,19791109,    8,    0
138654,19791110,    0,    0
138654,19791111,   55,    0
138654,19791112,  167,    0
138654,19791113,   52,    0
138654,19791114,   26,    0
138654,19791115,   12,    0
138654,19791116,  346,    0
138654,19791117,    9,    0
138654,19791118,   27,    0
138654,19791119,  130,    0
138654,19791120,    0,    0
138654,19791121,    0,    0
138654,19791122,   11,    0
138654,19791123,   52,    0
138654,19791124,   18,    0
138654,19791125,  112,    0
138654,19791126,  154,    0
138654,19791127,    0,    0
138654,19791128,    9,    0
138654,19791129,    4,    0
138654,19791130,    8,    0
138654,19791201,    4,    0
138654,19791202,   26,    0
138654,19791203,   37,    0
138654,19791204,   33,    0
138654,19791205,    0,    0
138654,19791206,   22,    0
138654,19791207,   51,    0
138654,19791208,    0,    0
138654,19791209,    0,    0
138654,19791210,    0,    0
138654,19791211,    0,    0
138654,19791212,    4,    0
138654,19791213,    0,    0
138654,19791214,    0,    0
138654,19791215,    2,    0
138654,19791216,    4,    0
138654,19791217,   61,    0
138654,19791218,   10,    0
138654,19791219,    6,    0
138654,19791220,   29,    0
138654,19791221,    0,    0
138654,19791222,   27,    0
138654,19791223,   17,    0
138654,19791224,    0,    0
138654,19791225,   15,    0
138654,19791226,   14,    0
138654,19791227,    0,    0
138654,19791228,  183,    0
138654,19791229,  141,    0
138654,19791230,   88,    0
138654,19791231,   56,    0
138654,19800101,    4,    0
138654,19800102,    0,    0
138654,19800103,    4,    0
138654,19800104,    3,    0
138654,19800105,    4,    0
138654,19800106,    8,    0
