EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LYCKAS (STAID: 5473).
Blended and updated with sources: 138896 138900 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138900,19790101,    1,    0
138900,19790102,   11,    0
138900,19790103,   22,    0
138900,19790104,    5,    0
138900,19790105,    0,    0
138900,19790106,    1,    0
138900,19790107,    0,    0
138900,19790108,    0,    0
138900,19790109,    7,    0
138900,19790110,   76,    0
138900,19790111,    0,    0
138900,19790112,  133,    0
138900,19790113,    6,    0
138900,19790114,    0,    0
138900,19790115,   22,    0
138900,19790116,    0,    0
138900,19790117,    0,    0
138900,19790118,    0,    0
138900,19790119,    0,    0
138900,19790120,    4,    0
138900,19790121,    0,    0
138900,19790122,    2,    0
138900,19790123,   18,    0
138900,19790124,   45,    0
138900,19790125,   30,    0
138900,19790126,  122,    0
138900,19790127,    5,    0
138900,19790128,    2,    0
138900,19790129,    1,    0
138900,19790130,    0,    0
138900,19790131,   32,    0
138900,19790201,    8,    0
138900,19790202,    4,    0
138900,19790203,   34,    0
138900,19790204,    4,    0
138900,19790205,    0,    0
138900,19790206,    0,    0
138900,19790207,    4,    0
138900,19790208,    3,    0
138900,19790209,    1,    0
138900,19790210,   19,    0
138900,19790211,    0,    0
138900,19790212,    0,    0
138900,19790213,    1,    0
138900,19790214,    3,    0
138900,19790215,    0,    0
138900,19790216,    0,    0
138900,19790217,    0,    0
138900,19790218,    0,    0
138900,19790219,    0,    0
138900,19790220,    0,    0
138900,19790221,    0,    0
138900,19790222,    0,    0
138900,19790223,    0,    0
138900,19790224,    0,    0
138900,19790225,    0,    0
138900,19790226,    0,    0
138900,19790227,    0,    0
138900,19790228,    0,    0
138900,19790301,    2,    0
138900,19790302,   11,    0
138900,19790303,    0,    0
138900,19790304,    0,    0
138900,19790305,    0,    0
138900,19790306,    0,    0
138900,19790307,    4,    0
138900,19790308,    2,    0
138900,19790309,   12,    0
138900,19790310,   19,    0
138900,19790311,    0,    0
138900,19790312,    0,    0
138900,19790313,    3,    0
138900,19790314,   17,    0
138900,19790315,    6,    0
138900,19790316,    8,    0
138900,19790317,    2,    0
138900,19790318,    0,    0
138900,19790319,    0,    0
138900,19790320,    0,    0
138900,19790321,    0,    0
138900,19790322,   15,    0
138900,19790323,   10,    0
138900,19790324,    0,    0
138900,19790325,    0,    0
138900,19790326,   20,    0
138900,19790327,   49,    0
138900,19790328,    6,    0
138900,19790329,   21,    0
138900,19790330,    0,    0
138900,19790331,   39,    0
138900,19790401,   25,    0
138900,19790402,   24,    0
138900,19790403,    1,    0
138900,19790404,    0,    0
138900,19790405,    0,    0
138900,19790406,    0,    0
138900,19790407,    0,    0
138900,19790408,    0,    0
138900,19790409,    0,    0
138900,19790410,    0,    0
138900,19790411,    0,    0
138900,19790412,    0,    0
138900,19790413,   68,    0
138900,19790414,    0,    0
138900,19790415,    0,    0
138900,19790416,    5,    0
138900,19790417,    8,    0
138900,19790418,    0,    0
138900,19790419,    0,    0
138900,19790420,   52,    0
138900,19790421,   44,    0
138900,19790422,    3,    0
138900,19790423,    5,    0
138900,19790424,   34,    0
138900,19790425,   48,    0
138900,19790426,    0,    0
138900,19790427,    2,    0
138900,19790428,    0,    0
138900,19790429,   52,    0
138900,19790430,   47,    0
138900,19790501,    0,    0
138900,19790502,   77,    0
138900,19790503,    4,    0
138900,19790504,   13,    0
138900,19790505,    3,    0
138900,19790506,    0,    0
138900,19790507,    0,    0
138900,19790508,   40,    0
138900,19790509,   27,    0
138900,19790510,  212,    0
138900,19790511,    0,    0
138900,19790512,    0,    0
138900,19790513,    0,    0
138900,19790514,    0,    0
138900,19790515,    0,    0
138900,19790516,    0,    0
138900,19790517,    9,    0
138900,19790518,    4,    0
138900,19790519,    3,    0
138900,19790520,    0,    0
138900,19790521,   12,    0
138900,19790522,  159,    0
138900,19790523,    0,    0
138900,19790524,   45,    0
138900,19790525,    3,    0
138900,19790526,   50,    0
138900,19790527,    0,    0
138900,19790528,   14,    0
138900,19790529,    0,    0
138900,19790530,    0,    0
138900,19790531,    0,    0
138900,19790601,    0,    0
138900,19790602,    0,    0
138900,19790603,    0,    0
138900,19790604,    0,    0
138900,19790605,    0,    0
138900,19790606,    0,    0
138900,19790607,    0,    0
138900,19790608,  304,    0
138900,19790609,  221,    0
138900,19790610,    0,    0
138900,19790611,    0,    0
138900,19790612,    0,    0
138900,19790613,    7,    0
138900,19790614,    0,    0
138900,19790615,    0,    0
138900,19790616,    0,    0
138900,19790617,    0,    0
138900,19790618,    0,    0
138900,19790619,    0,    0
138900,19790620,    0,    0
138900,19790621,    0,    0
138900,19790622,    4,    0
138900,19790623,    0,    0
138900,19790624,    9,    0
138900,19790625,    0,    0
138900,19790626,   21,    0
138900,19790627,   14,    0
138900,19790628,   27,    0
138900,19790629,    3,    0
138900,19790630,    0,    0
138900,19790701,    0,    0
138900,19790702,   32,    0
138900,19790703,   88,    0
138900,19790704,    0,    0
138900,19790705,    3,    0
138900,19790706,    3,    0
138900,19790707,  176,    0
138900,19790708,    0,    0
138900,19790709,    3,    0
138900,19790710,  126,    0
138900,19790711,   39,    0
138900,19790712,    4,    0
138900,19790713,    3,    0
138900,19790714,    0,    0
138900,19790715,    0,    0
138900,19790716,    0,    0
138900,19790717,   18,    0
138900,19790718,  118,    0
138900,19790719,   28,    0
138900,19790720,   36,    0
138900,19790721,    0,    0
138900,19790722,   93,    0
138900,19790723,    2,    0
138900,19790724,    2,    0
138900,19790725,    8,    0
138900,19790726,   20,    0
138900,19790727,    0,    0
138900,19790728,    6,    0
138900,19790729,    0,    0
138900,19790730,   12,    0
