EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, GAMMELKROPPA (STAID: 5499).
Blended and updated with sources: 139084 139106 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139106,19790101,    0,    0
139106,19790102,    0,    0
139106,19790103,    0,    0
139106,19790104,    0,    0
139106,19790105,    0,    0
139106,19790106,   26,    0
139106,19790107,    4,    0
139106,19790108,   12,    0
139106,19790109,    0,    0
139106,19790110,    0,    0
139106,19790111,    2,    0
139106,19790112,   73,    0
139106,19790113,    7,    0
139106,19790114,    2,    0
139106,19790115,    0,    0
139106,19790116,    0,    0
139106,19790117,    0,    0
139106,19790118,    0,    0
139106,19790119,    0,    0
139106,19790120,    0,    0
139106,19790121,    0,    0
139106,19790122,    0,    0
139106,19790123,   38,    0
139106,19790124,   11,    0
139106,19790125,   20,    0
139106,19790126,   73,    0
139106,19790127,    0,    0
139106,19790128,    6,    0
139106,19790129,    2,    0
139106,19790130,    2,    0
139106,19790131,   40,    0
139106,19790201,   31,    0
139106,19790202,    0,    0
139106,19790203,   70,    0
139106,19790204,    0,    0
139106,19790205,    0,    0
139106,19790206,    0,    0
139106,19790207,    0,    0
139106,19790208,    3,    0
139106,19790209,    0,    0
139106,19790210,    0,    0
139106,19790211,    0,    0
139106,19790212,    0,    0
139106,19790213,    0,    0
139106,19790214,    0,    0
139106,19790215,    0,    0
139106,19790216,    0,    0
139106,19790217,    0,    0
139106,19790218,   15,    0
139106,19790219,   18,    0
139106,19790220,    0,    0
139106,19790221,    0,    0
139106,19790222,   24,    0
139106,19790223,    3,    0
139106,19790224,    0,    0
139106,19790225,    0,    0
139106,19790226,    0,    0
139106,19790227,    8,    0
139106,19790228,    4,    0
139106,19790301,    8,    0
139106,19790302,   79,    0
139106,19790303,    0,    0
139106,19790304,    0,    0
139106,19790305,    0,    0
139106,19790306,    0,    0
139106,19790307,   27,    0
139106,19790308,   37,    0
139106,19790309,  147,    0
139106,19790310,    0,    0
139106,19790311,    0,    0
139106,19790312,   12,    0
139106,19790313,    2,    0
139106,19790314,    2,    0
139106,19790315,    0,    0
139106,19790316,    1,    0
139106,19790317,    0,    0
139106,19790318,    0,    0
139106,19790319,    0,    0
139106,19790320,    0,    0
139106,19790321,    0,    0
139106,19790322,   92,    0
139106,19790323,   64,    0
139106,19790324,    0,    0
139106,19790325,   80,    0
139106,19790326,  233,    0
139106,19790327,   27,    0
139106,19790328,    0,    0
139106,19790329,    3,    0
139106,19790330,   22,    0
139106,19790331,    0,    0
139106,19790401,   42,    0
139106,19790402,   17,    0
139106,19790403,    5,    0
139106,19790404,    0,    0
139106,19790405,    0,    0
139106,19790406,    0,    0
139106,19790407,    0,    0
139106,19790408,    0,    0
139106,19790409,    0,    0
139106,19790410,    0,    0
139106,19790411,    0,    0
139106,19790412,    0,    0
139106,19790413,    2,    0
139106,19790414,    0,    0
139106,19790415,    0,    0
139106,19790416,    8,    0
139106,19790417,    0,    0
139106,19790418,    0,    0
139106,19790419,    0,    0
139106,19790420,   54,    0
139106,19790421,    0,    0
139106,19790422,   27,    0
139106,19790423,    5,    0
139106,19790424,  166,    0
139106,19790425,   15,    0
139106,19790426,    0,    0
139106,19790427,   44,    0
139106,19790428,    0,    0
139106,19790429,  153,    0
139106,19790430,  152,    0
139106,19790501,   15,    0
139106,19790502,   52,    0
139106,19790503,   16,    0
139106,19790504,    0,    0
