EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, ULTUNA (STAID: 5506).
Blended and updated with sources: 139128 139148 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139128,19790101,    2,    0
139128,19790102,   29,    0
139128,19790103,   39,    0
139128,19790104,   13,    0
139128,19790105,    0,    0
139128,19790106,    2,    0
139128,19790107,    0,    0
139128,19790108,    0,    0
139128,19790109,    0,    0
139128,19790110,   19,    0
139128,19790111,    0,    0
139128,19790112,   92,    0
139128,19790113,    3,    0
139128,19790114,    1,    0
139128,19790115,   19,    0
139128,19790116,    0,    0
139128,19790117,    2,    0
139128,19790118,    0,    0
139128,19790119,    2,    0
139128,19790120,    0,    0
139128,19790121,    0,    0
139128,19790122,    0,    0
139128,19790123,   37,    0
139128,19790124,   26,    0
139128,19790125,   29,    0
139128,19790126,  107,    0
139128,19790127,    8,    0
139128,19790128,    1,    0
139128,19790129,    1,    0
139128,19790130,    1,    0
139128,19790131,   23,    0
139128,19790201,    8,    0
139128,19790202,    4,    0
139128,19790203,   67,    0
139128,19790204,    1,    0
139128,19790205,    4,    0
139128,19790206,    0,    0
139128,19790207,    0,    0
139128,19790208,    0,    0
139128,19790209,    0,    0
139128,19790210,    0,    0
139128,19790211,    0,    0
139128,19790212,    0,    0
139128,19790213,    0,    0
139128,19790214,    0,    0
139128,19790215,    0,    0
139128,19790216,    0,    0
139128,19790217,    0,    0
139128,19790218,    0,    0
139128,19790219,    0,    0
139128,19790220,    0,    0
139128,19790221,    0,    0
139128,19790222,    1,    0
139128,19790223,    0,    0
139128,19790224,    0,    0
139128,19790225,    0,    0
139128,19790226,    0,    0
139128,19790227,    0,    0
139128,19790228,    0,    0
139128,19790301,    9,    0
139128,19790302,    7,    0
139128,19790303,    0,    0
139128,19790304,    0,    0
139128,19790305,    0,    0
139128,19790306,    0,    0
139128,19790307,    0,    0
139128,19790308,    1,    0
139128,19790309,    5,    0
139128,19790310,    8,    0
139128,19790311,    0,    0
139128,19790312,    0,    0
139128,19790313,    2,    0
139128,19790314,   11,    0
139128,19790315,    5,    0
139128,19790316,    3,    0
139128,19790317,    0,    0
139128,19790318,    0,    0
139128,19790319,    0,    0
139128,19790320,    0,    0
139128,19790321,    0,    0
139128,19790322,   22,    0
139128,19790323,    3,    0
139128,19790324,    0,    0
139128,19790325,    1,    0
139128,19790326,   45,    0
139128,19790327,   18,    0
139128,19790328,    6,    0
139128,19790329,   24,    0
139128,19790330,    0,    0
139128,19790331,   25,    0
