EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, JARVSO (STAID: 5606).
Blended and updated with sources: 139674 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139674,19790101,    0,    0
139674,19790102,    0,    0
139674,19790103,    0,    0
139674,19790104,   30,    0
139674,19790105,    0,    0
139674,19790106,    0,    0
139674,19790107,   14,    0
139674,19790108,    0,    0
139674,19790109,    0,    0
139674,19790110,    0,    0
139674,19790111,    0,    0
139674,19790112,   33,    0
139674,19790113,    0,    0
139674,19790114,    0,    0
139674,19790115,    0,    0
139674,19790116,    0,    0
139674,19790117,    0,    0
139674,19790118,    0,    0
139674,19790119,    0,    0
139674,19790120,    0,    0
139674,19790121,    0,    0
139674,19790122,    0,    0
139674,19790123,   34,    0
139674,19790124,   25,    0
139674,19790125,    9,    0
139674,19790126,   24,    0
139674,19790127,    0,    0
139674,19790128,    0,    0
139674,19790129,    0,    0
139674,19790130,    0,    0
139674,19790131,   54,    0
139674,19790201,   23,    0
139674,19790202,    0,    0
139674,19790203,    8,    0
139674,19790204,    0,    0
139674,19790205,    0,    0
139674,19790206,    0,    0
139674,19790207,    0,    0
139674,19790208,    0,    0
139674,19790209,    0,    0
139674,19790210,    0,    0
139674,19790211,    0,    0
139674,19790212,    4,    0
139674,19790213,    0,    0
139674,19790214,    0,    0
139674,19790215,    0,    0
139674,19790216,    0,    0
139674,19790217,    0,    0
139674,19790218,    0,    0
139674,19790219,   22,    0
139674,19790220,    0,    0
139674,19790221,    0,    0
139674,19790222,    0,    0
139674,19790223,    0,    0
139674,19790224,    0,    0
139674,19790225,    0,    0
139674,19790226,    0,    0
139674,19790227,    0,    0
139674,19790228,    0,    0
139674,19790301,    0,    0
139674,19790302,    4,    0
139674,19790303,    0,    0
139674,19790304,    0,    0
139674,19790305,    0,    0
139674,19790306,    0,    0
139674,19790307,    0,    0
139674,19790308,    0,    0
139674,19790309,   12,    0
139674,19790310,   12,    0
139674,19790311,    0,    0
139674,19790312,    5,    0
139674,19790313,   10,    0
139674,19790314,    5,    0
139674,19790315,    6,    0
139674,19790316,    0,    0
139674,19790317,    0,    0
139674,19790318,    0,    0
139674,19790319,    0,    0
139674,19790320,    0,    0
139674,19790321,    0,    0
139674,19790322,   30,    0
139674,19790323,    9,    0
139674,19790324,    0,    0
139674,19790325,    3,    0
139674,19790326,   40,    0
139674,19790327,   22,    0
139674,19790328,   10,    0
139674,19790329,    0,    0
139674,19790330,    0,    0
139674,19790331,    0,    0
139674,19790401,   46,    0
139674,19790402,  124,    0
139674,19790403,   26,    0
139674,19790404,    0,    0
139674,19790405,    0,    0
139674,19790406,    0,    0
139674,19790407,    0,    0
139674,19790408,    0,    0
139674,19790409,    0,    0
139674,19790410,    0,    0
139674,19790411,    0,    0
139674,19790412,    0,    0
139674,19790413,   26,    0
139674,19790414,    0,    0
139674,19790415,    0,    0
139674,19790416,    0,    0
