EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LYCKSELE_A (STAID: 5729).
Blended and updated with sources: 140352 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140352,19790101,    0,    0
140352,19790102,    0,    0
140352,19790103,    0,    0
140352,19790104,    0,    0
140352,19790105,    0,    0
140352,19790106,    8,    0
140352,19790107,   17,    0
140352,19790108,    0,    0
140352,19790109,    0,    0
140352,19790110,    6,    0
140352,19790111,    6,    0
140352,19790112,   36,    0
140352,19790113,   24,    0
140352,19790114,    0,    0
140352,19790115,   37,    0
140352,19790116,    0,    0
140352,19790117,    3,    0
140352,19790118,    0,    0
140352,19790119,    0,    0
140352,19790120,    0,    0
140352,19790121,    3,    0
140352,19790122,    0,    0
140352,19790123,   48,    0
140352,19790124,   28,    0
140352,19790125,   12,    0
140352,19790126,    0,    0
140352,19790127,    8,    0
140352,19790128,    0,    0
140352,19790129,    0,    0
140352,19790130,    9,    0
140352,19790131,    4,    0
140352,19790201,   75,    0
140352,19790202,   25,    0
140352,19790203,    3,    0
140352,19790204,    0,    0
140352,19790205,   26,    0
140352,19790206,    5,    0
140352,19790207,   25,    0
140352,19790208,   11,    0
140352,19790209,    4,    0
140352,19790210,    3,    0
140352,19790211,    7,    0
140352,19790212,    1,    0
140352,19790213,    0,    0
140352,19790214,    0,    0
140352,19790215,    0,    0
140352,19790216,    0,    0
140352,19790217,    0,    0
140352,19790218,    0,    0
140352,19790219,   12,    0
140352,19790220,    0,    0
140352,19790221,    0,    0
140352,19790222,    2,    0
140352,19790223,    4,    0
140352,19790224,    0,    0
140352,19790225,    0,    0
140352,19790226,    1,    0
140352,19790227,    3,    0
140352,19790228,   27,    0
140352,19790301,    0,    0
140352,19790302,    3,    0
140352,19790303,   23,    0
140352,19790304,    0,    0
140352,19790305,    0,    0
140352,19790306,    0,    0
140352,19790307,    9,    0
140352,19790308,    3,    0
140352,19790309,    6,    0
140352,19790310,    5,    0
140352,19790311,   36,    0
140352,19790312,   18,    0
140352,19790313,   19,    0
140352,19790314,    0,    0
140352,19790315,    3,    0
140352,19790316,    1,    0
140352,19790317,    0,    0
140352,19790318,    8,    0
140352,19790319,   18,    0
140352,19790320,    0,    0
140352,19790321,    0,    0
140352,19790322,    0,    0
140352,19790323,   38,    0
140352,19790324,   80,    0
140352,19790325,   28,    0
140352,19790326,   89,    0
140352,19790327,   12,    0
140352,19790328,    0,    0
140352,19790329,    0,    0
140352,19790330,    3,    0
140352,19790331,    0,    0
140352,19790401,   64,    0
140352,19790402,    6,    0
