EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SORSELE (STAID: 5774).
Blended and updated with sources: 140550 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140550,19790101,    0,    0
140550,19790102,    0,    0
140550,19790103,    0,    0
140550,19790104,    0,    0
140550,19790105,    0,    0
140550,19790106,    7,    0
140550,19790107,   18,    0
140550,19790108,    3,    0
140550,19790109,    2,    0
140550,19790110,    5,    0
140550,19790111,   10,    0
140550,19790112,   10,    0
140550,19790113,   49,    0
140550,19790114,    3,    0
140550,19790115,   31,    0
140550,19790116,    3,    0
140550,19790117,   13,    0
140550,19790118,    0,    0
140550,19790119,    0,    0
140550,19790120,    0,    0
140550,19790121,    4,    0
140550,19790122,   26,    0
140550,19790123,   23,    0
140550,19790124,   21,    0
140550,19790125,   13,    0
140550,19790126,    2,    0
140550,19790127,    0,    0
140550,19790128,    0,    0
140550,19790129,    0,    0
140550,19790130,    3,    0
140550,19790131,    0,    0
140550,19790201,   64,    0
140550,19790202,   27,    0
140550,19790203,    0,    0
140550,19790204,    0,    0
140550,19790205,   20,    0
140550,19790206,   31,    0
140550,19790207,    2,    0
140550,19790208,    3,    0
140550,19790209,    0,    0
140550,19790210,    5,    0
140550,19790211,    0,    0
140550,19790212,    7,    0
140550,19790213,    8,    0
140550,19790214,    0,    0
140550,19790215,    0,    0
140550,19790216,    0,    0
140550,19790217,    0,    0
140550,19790218,    0,    0
140550,19790219,    0,    0
140550,19790220,    0,    0
140550,19790221,    0,    0
140550,19790222,    0,    0
140550,19790223,   11,    0
140550,19790224,    0,    0
140550,19790225,    0,    0
140550,19790226,    0,    0
140550,19790227,   12,    0
140550,19790228,   53,    0
140550,19790301,    0,    0
140550,19790302,   15,    0
140550,19790303,    5,    0
140550,19790304,    0,    0
140550,19790305,    0,    0
140550,19790306,    4,    0
140550,19790307,   30,    0
140550,19790308,    6,    0
140550,19790309,   49,    0
140550,19790310,   19,    0
140550,19790311,   25,    0
140550,19790312,   22,    0
140550,19790313,    4,    0
140550,19790314,    2,    0
140550,19790315,    3,    0
140550,19790316,    0,    0
140550,19790317,   43,    0
140550,19790318,   24,    0
140550,19790319,   46,    0
140550,19790320,   22,    0
140550,19790321,    6,    0
140550,19790322,   17,    0
140550,19790323,   25,    0
140550,19790324,   26,    0
140550,19790325,   11,    0
140550,19790326,   27,    0
140550,19790327,   36,    0
140550,19790328,    9,    0
140550,19790329,    0,    0
140550,19790330,    1,    0
140550,19790331,    7,    0
140550,19790401,   56,    0
140550,19790402,   17,    0
140550,19790403,    3,    0
140550,19790404,    1,    0
140550,19790405,    0,    0
140550,19790406,    0,    0
140550,19790407,    0,    0
140550,19790408,    0,    0
140550,19790409,    0,    0
140550,19790410,   15,    0
140550,19790411,    8,    0
140550,19790412,   71,    0
140550,19790413,    0,    0
140550,19790414,    4,    0
140550,19790415,    0,    0
140550,19790416,    0,    0
140550,19790417,    0,    0
140550,19790418,   21,    0
140550,19790419,    5,    0
140550,19790420,    0,    0
140550,19790421,    0,    0
140550,19790422,    6,    0
140550,19790423,    0,    0
140550,19790424,    0,    0
140550,19790425,   39,    0
140550,19790426,    6,    0
140550,19790427,    0,    0
140550,19790428,    0,    0
140550,19790429,   21,    0
140550,19790430,   48,    0
140550,19790501,    0,    0
140550,19790502,   32,    0
140550,19790503,   81,    0
140550,19790504,    2,    0
140550,19790505,    2,    0
140550,19790506,    0,    0
140550,19790507,    0,    0
140550,19790508,    0,    0
140550,19790509,    3,    0
140550,19790510,    0,    0
140550,19790511,    0,    0
140550,19790512,    0,    0
140550,19790513,   29,    0
140550,19790514,   18,    0
140550,19790515,    0,    0
140550,19790516,   38,    0
140550,19790517,   17,    0
140550,19790518,    2,    0
140550,19790519,    0,    0
140550,19790520,    0,    0
140550,19790521,   22,    0
140550,19790522,   30,    0
140550,19790523,    0,    0
140550,19790524,   34,    0
140550,19790525,   76,    0
140550,19790526,    0,    0
140550,19790527,   46,    0
140550,19790528,   80,    0
140550,19790529,    0,    0
140550,19790530,    0,    0
140550,19790531,    0,    0
140550,19790601,    2,    0
140550,19790602,    0,    0
140550,19790603,    0,    0
140550,19790604,    0,    0
140550,19790605,    0,    0
140550,19790606,    1,    0
140550,19790607,    0,    0
140550,19790608,    0,    0
140550,19790609,    0,    0
140550,19790610,    4,    0
140550,19790611,    0,    0
140550,19790612,    0,    0
140550,19790613,    0,    0
140550,19790614,   48,    0
140550,19790615,    4,    0
140550,19790616,   24,    0
140550,19790617,    9,    0
140550,19790618,    8,    0
140550,19790619,    0,    0
140550,19790620,    2,    0
140550,19790621,   73,    0
140550,19790622,    0,    0
140550,19790623,    0,    0
140550,19790624,   18,    0
140550,19790625,    0,    0
140550,19790626,    0,    0
140550,19790627,   77,    0
140550,19790628,   67,    0
140550,19790629,   78,    0
140550,19790630,    0,    0
140550,19790701,    0,    0
140550,19790702,    3,    0
140550,19790703,    0,    0
140550,19790704,    0,    0
140550,19790705,    0,    0
140550,19790706,    0,    0
140550,19790707,   14,    0
140550,19790708,    0,    0
140550,19790709,   41,    0
140550,19790710,   13,    0
140550,19790711,  220,    0
140550,19790712,   33,    0
140550,19790713,   18,    0
140550,19790714,  147,    0
140550,19790715,   15,    0
140550,19790716,    0,    0
140550,19790717,    0,    0
140550,19790718,    7,    0
140550,19790719,  198,    0
140550,19790720,   50,    0
140550,19790721,   42,    0
140550,19790722,  124,    0
140550,19790723,   72,    0
140550,19790724,    2,    0
140550,19790725,    0,    0
140550,19790726,    9,    0
140550,19790727,    2,    0
140550,19790728,    0,    0
140550,19790729,    0,    0
