EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, NATTAVARA (STAID: 5831).
Blended and updated with sources: 140772 140774 162044 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140774,19790101,    0,    0
140774,19790102,    0,    0
140774,19790103,    0,    0
140774,19790104,    0,    0
140774,19790105,    0,    0
140774,19790106,   43,    0
140774,19790107,  128,    0
140774,19790108,   12,    0
140774,19790109,    0,    0
140774,19790110,   21,    0
140774,19790111,   21,    0
140774,19790112,   22,    0
140774,19790113,   21,    0
140774,19790114,    2,    0
140774,19790115,   37,    0
140774,19790116,    6,    0
140774,19790117,    6,    0
140774,19790118,    0,    0
140774,19790119,    0,    0
140774,19790120,    0,    0
140774,19790121,    7,    0
140774,19790122,   25,    0
140774,19790123,   57,    0
140774,19790124,   29,    0
140774,19790125,    5,    0
140774,19790126,    0,    0
140774,19790127,    0,    0
140774,19790128,    0,    0
140774,19790129,    0,    0
140774,19790130,    0,    0
140774,19790131,    1,    0
140774,19790201,   42,    0
140774,19790202,   58,    0
140774,19790203,   23,    0
140774,19790204,   18,    0
140774,19790205,    1,    0
140774,19790206,  132,    0
140774,19790207,   24,    0
140774,19790208,    2,    0
140774,19790209,    0,    0
140774,19790210,    0,    0
140774,19790211,    0,    0
140774,19790212,    0,    0
140774,19790213,    0,    0
140774,19790214,    0,    0
140774,19790215,    0,    0
140774,19790216,    0,    0
140774,19790217,    0,    0
140774,19790218,    0,    0
140774,19790219,    0,    0
140774,19790220,   13,    0
140774,19790221,    0,    0
140774,19790222,    0,    0
140774,19790223,   46,    0
140774,19790224,    5,    0
140774,19790225,    7,    0
140774,19790226,    0,    0
140774,19790227,    0,    0
140774,19790228,   25,    0
140774,19790301,    0,    0
140774,19790302,   22,    0
140774,19790303,    3,    0
140774,19790304,    0,    0
140774,19790305,    4,    0
140774,19790306,    2,    0
140774,19790307,   68,    0
140774,19790308,    9,    0
140774,19790309,   65,    0
140774,19790310,   11,    0
140774,19790311,   40,    0
140774,19790312,   14,    0
140774,19790313,   21,    0
140774,19790314,    8,    0
140774,19790315,    0,    0
140774,19790316,    0,    0
140774,19790317,    0,    0
140774,19790318,    0,    0
140774,19790319,    5,    0
140774,19790320,    0,    0
140774,19790321,    2,    0
140774,19790322,    3,    0
140774,19790323,    5,    0
140774,19790324,   40,    0
140774,19790325,   38,    0
140774,19790326,  174,    0
140774,19790327,   15,    0
140774,19790328,    0,    0
140774,19790329,    0,    0
140774,19790330,    0,    0
140774,19790331,    0,    0
140774,19790401,    0,    0
140774,19790402,    9,    0
140774,19790403,    4,    0
140774,19790404,    0,    0
140774,19790405,    0,    0
140774,19790406,    7,    0
140774,19790407,    1,    0
140774,19790408,    4,    0
140774,19790409,    0,    0
140774,19790410,   13,    0
140774,19790411,   28,    0
140774,19790412,   22,    0
140774,19790413,    0,    0
140774,19790414,    2,    0
140774,19790415,    0,    0
140774,19790416,    0,    0
140774,19790417,    0,    0
140774,19790418,    0,    0
140774,19790419,    0,    0
140774,19790420,   15,    0
140774,19790421,    0,    0
140774,19790422,    0,    0
140774,19790423,    0,    0
140774,19790424,    0,    0
140774,19790425,    0,    0
140774,19790426,    0,    0
140774,19790427,    3,    0
140774,19790428,    2,    0
140774,19790429,   25,    0
140774,19790430,   50,    0
140774,19790501,    9,    0
140774,19790502,    0,    0
140774,19790503,   23,    0
140774,19790504,    4,    0
140774,19790505,    0,    0
140774,19790506,    0,    0
140774,19790507,    0,    0
140774,19790508,    0,    0
140774,19790509,    0,    0
140774,19790510,    0,    0
140774,19790511,    0,    0
140774,19790512,    0,    0
140774,19790513,    4,    0
140774,19790514,    0,    0
140774,19790515,    1,    0
140774,19790516,    1,    0
140774,19790517,  130,    0
140774,19790518,    0,    0
140774,19790519,    0,    0
140774,19790520,    0,    0
140774,19790521,   17,    0
140774,19790522,   28,    0
140774,19790523,    0,    0
140774,19790524,   64,    0
140774,19790525,  151,    0
140774,19790526,    0,    0
140774,19790527,   17,    0
140774,19790528,   55,    0
140774,19790529,    3,    0
140774,19790530,    0,    0
140774,19790531,    0,    0
140774,19790601,   49,    0
140774,19790602,    0,    0
140774,19790603,    0,    0
140774,19790604,    0,    0
140774,19790605,    0,    0
140774,19790606,    0,    0
140774,19790607,    1,    0
140774,19790608,    3,    0
140774,19790609,    0,    0
140774,19790610,    2,    0
140774,19790611,    0,    0
140774,19790612,    0,    0
140774,19790613,    0,    0
140774,19790614,   41,    0
140774,19790615,   17,    0
140774,19790616,   54,    0
140774,19790617,   44,    0
140774,19790618,    2,    0
140774,19790619,    0,    0
140774,19790620,    0,    0
140774,19790621,    8,    0
140774,19790622,    0,    0
140774,19790623,    0,    0
140774,19790624,    0,    0
140774,19790625,   99,    0
140774,19790626,    0,    0
140774,19790627,    5,    0
140774,19790628,   25,    0
140774,19790629,    8,    0
140774,19790630,    0,    0
162044,19790701,-9999,    9
162044,19790702,-9999,    9
162044,19790703,-9999,    9
162044,19790704,-9999,    9
162044,19790705,-9999,    9
162044,19790706,-9999,    9
162044,19790707,-9999,    9
162044,19790708,-9999,    9
162044,19790709,-9999,    9
162044,19790710,-9999,    9
162044,19790711,-9999,    9
162044,19790712,-9999,    9
162044,19790713,-9999,    9
162044,19790714,-9999,    9
162044,19790715,-9999,    9
162044,19790716,-9999,    9
162044,19790717,-9999,    9
162044,19790718,-9999,    9
162044,19790719,-9999,    9
162044,19790720,-9999,    9
162044,19790721,-9999,    9
162044,19790722,-9999,    9
162044,19790723,-9999,    9
162044,19790724,-9999,    9
162044,19790725,-9999,    9
162044,19790726,-9999,    9
162044,19790727,-9999,    9
162044,19790728,-9999,    9
162044,19790729,-9999,    9
162044,19790730,-9999,    9
162044,19790731,-9999,    9
140774,19790801,  224,    0
140774,19790802,  232,    0
140774,19790803,  241,    0
140774,19790804,   14,    0
140774,19790805,    0,    0
140774,19790806,    3,    0
140774,19790807,    0,    0
140774,19790808,    0,    0
140774,19790809,    0,    0
140774,19790810,    0,    0
140774,19790811,   33,    0
140774,19790812,    2,    0
140774,19790813,   12,    0
140774,19790814,    2,    0
140774,19790815,    4,    0
140774,19790816,    0,    0
140774,19790817,    0,    0
140774,19790818,    0,    0
140774,19790819,    0,    0
140774,19790820,    7,    0
140774,19790821,   13,    0
140774,19790822,   26,    0
140774,19790823,    0,    0
140774,19790824,    0,    0
140774,19790825,    0,    0
140774,19790826,    0,    0
140774,19790827,  187,    0
140774,19790828,   27,    0
140774,19790829,    4,    0
140774,19790830,    3,    0
140774,19790831,    0,    0
162044,19790901,-9999,    9
162044,19790902,-9999,    9
162044,19790903,-9999,    9
162044,19790904,-9999,    9
162044,19790905,-9999,    9
162044,19790906,-9999,    9
162044,19790907,-9999,    9
162044,19790908,-9999,    9
162044,19790909,-9999,    9
162044,19790910,-9999,    9
162044,19790911,-9999,    9
162044,19790912,-9999,    9
162044,19790913,-9999,    9
162044,19790914,-9999,    9
162044,19790915,-9999,    9
162044,19790916,-9999,    9
162044,19790917,-9999,    9
162044,19790918,-9999,    9
162044,19790919,-9999,    9
162044,19790920,-9999,    9
162044,19790921,-9999,    9
162044,19790922,-9999,    9
162044,19790923,-9999,    9
162044,19790924,-9999,    9
162044,19790925,-9999,    9
162044,19790926,-9999,    9
162044,19790927,-9999,    9
162044,19790928,-9999,    9
162044,19790929,-9999,    9
162044,19790930,-9999,    9
162044,19791001,-9999,    9
162044,19791002,-9999,    9
162044,19791003,-9999,    9
162044,19791004,-9999,    9
162044,19791005,-9999,    9
162044,19791006,-9999,    9
162044,19791007,-9999,    9
162044,19791008,-9999,    9
162044,19791009,-9999,    9
162044,19791010,-9999,    9
162044,19791011,-9999,    9
162044,19791012,-9999,    9
162044,19791013,-9999,    9
162044,19791014,-9999,    9
162044,19791015,-9999,    9
162044,19791016,-9999,    9
162044,19791017,-9999,    9
162044,19791018,-9999,    9
162044,19791019,-9999,    9
162044,19791020,-9999,    9
162044,19791021,-9999,    9
162044,19791022,-9999,    9
162044,19791023,-9999,    9
162044,19791024,-9999,    9
162044,19791025,-9999,    9
162044,19791026,-9999,    9
162044,19791027,-9999,    9
162044,19791028,-9999,    9
162044,19791029,-9999,    9
162044,19791030,-9999,    9
162044,19791031,-9999,    9
162044,19791101,-9999,    9
162044,19791102,-9999,    9
162044,19791103,-9999,    9
162044,19791104,-9999,    9
162044,19791105,-9999,    9
162044,19791106,-9999,    9
162044,19791107,-9999,    9
162044,19791108,-9999,    9
162044,19791109,-9999,    9
162044,19791110,-9999,    9
162044,19791111,-9999,    9
162044,19791112,-9999,    9
162044,19791113,-9999,    9
162044,19791114,-9999,    9
162044,19791115,-9999,    9
162044,19791116,-9999,    9
162044,19791117,-9999,    9
162044,19791118,-9999,    9
162044,19791119,-9999,    9
162044,19791120,-9999,    9
162044,19791121,-9999,    9
162044,19791122,-9999,    9
162044,19791123,-9999,    9
