EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LANNAVAARA (STAID: 5863).
Blended and updated with sources: 140922 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140922,19790101,    0,    0
140922,19790102,    0,    0
140922,19790103,    0,    0
140922,19790104,    0,    0
140922,19790105,    5,    0
140922,19790106,    5,    0
140922,19790107,   48,    0
140922,19790108,   21,    0
140922,19790109,    0,    0
140922,19790110,    3,    0
140922,19790111,    0,    0
140922,19790112,   14,    0
140922,19790113,   19,    0
140922,19790114,    0,    0
140922,19790115,    9,    0
140922,19790116,   10,    0
140922,19790117,    0,    0
140922,19790118,    0,    0
140922,19790119,    0,    0
140922,19790120,    0,    0
140922,19790121,    0,    0
140922,19790122,   14,    0
140922,19790123,   32,    0
140922,19790124,   15,    0
140922,19790125,   15,    0
140922,19790126,    0,    0
140922,19790127,    0,    0
140922,19790128,    0,    0
140922,19790129,    0,    0
140922,19790130,    0,    0
140922,19790131,    0,    0
140922,19790201,   19,    0
140922,19790202,   29,    0
140922,19790203,   15,    0
140922,19790204,   35,    0
140922,19790205,    7,    0
140922,19790206,   55,    0
140922,19790207,    8,    0
140922,19790208,    5,    1
140922,19790209,    0,    1
140922,19790210,    0,    1
140922,19790211,    0,    1
140922,19790212,    0,    1
140922,19790213,    0,    1
140922,19790214,    0,    1
140922,19790215,    0,    1
140922,19790216,    0,    1
140922,19790217,    0,    1
140922,19790218,    0,    1
140922,19790219,    0,    1
140922,19790220,    0,    1
