EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KATTERJAKK_A (STAID: 5869).
Blended and updated with sources: 140950 140952 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
140952,19790101,   33,    0
140952,19790102,   38,    0
140952,19790103,   18,    0
140952,19790104,    0,    0
140952,19790105,    0,    0
140952,19790106,    0,    0
140952,19790107,    0,    0
140952,19790108,   23,    0
140952,19790109,  136,    0
140952,19790110,   18,    0
140952,19790111,    0,    0
140952,19790112,    0,    0
140952,19790113,    0,    0
140952,19790114,    9,    0
140952,19790115,    0,    0
140952,19790116,    0,    0
140952,19790117,   17,    0
140952,19790118,   14,    0
140952,19790119,   41,    0
140952,19790120,    2,    0
140952,19790121,    0,    0
140952,19790122,    6,    0
140952,19790123,   20,    0
140952,19790124,   26,    0
140952,19790125,   14,    0
140952,19790126,   21,    0
140952,19790127,    9,    0
140952,19790128,   25,    0
140952,19790129,   19,    0
140952,19790130,    0,    0
140952,19790131,    0,    0
140952,19790201,    1,    0
140952,19790202,    0,    0
140952,19790203,    0,    0
140952,19790204,    0,    0
140952,19790205,    0,    0
140952,19790206,    1,    0
140952,19790207,   14,    0
140952,19790208,   11,    0
140952,19790209,   32,    0
140952,19790210,   17,    0
140952,19790211,   36,    0
140952,19790212,    0,    0
140952,19790213,    8,    0
140952,19790214,   40,    0
140952,19790215,   30,    0
140952,19790216,   29,    0
140952,19790217,   17,    0
140952,19790218,    0,    0
140952,19790219,    0,    0
140952,19790220,    0,    0
140952,19790221,    0,    0
140952,19790222,    0,    0
140952,19790223,   47,    0
140952,19790224,   68,    0
140952,19790225,  214,    0
140952,19790226,   74,    0
140952,19790227,   11,    0
140952,19790228,    0,    0
140952,19790301,    0,    0
140952,19790302,   72,    0
140952,19790303,  246,    0
140952,19790304,   37,    0
140952,19790305,    9,    0
140952,19790306,   34,    0
140952,19790307,    2,    0
140952,19790308,    3,    0
140952,19790309,    0,    0
140952,19790310,    0,    0
140952,19790311,    0,    0
140952,19790312,    0,    0
140952,19790313,    0,    0
140952,19790314,    1,    0
140952,19790315,    1,    0
140952,19790316,    0,    0
140952,19790317,   20,    0
140952,19790318,    0,    0
140952,19790319,    0,    0
140952,19790320,    0,    0
140952,19790321,    0,    0
140952,19790322,    0,    0
140952,19790323,    0,    0
140952,19790324,    0,    0
140952,19790325,   10,    0
140952,19790326,    0,    0
140952,19790327,    0,    0
140952,19790328,    0,    0
140952,19790329,    2,    0
140952,19790330,    0,    0
140952,19790331,    0,    0
140952,19790401,    0,    0
140952,19790402,    0,    0
140952,19790403,    9,    0
140952,19790404,    3,    0
140952,19790405,    0,    0
140952,19790406,   10,    0
140952,19790407,   54,    0
140952,19790408,    7,    0
140952,19790409,    0,    0
140952,19790410,    0,    0
140952,19790411,    0,    0
140952,19790412,    1,    0
140952,19790413,   35,    0
140952,19790414,   17,    0
140952,19790415,   13,    0
140952,19790416,   19,    0
140952,19790417,   21,    0
140952,19790418,    0,    0
140952,19790419,    9,    0
