EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, TOMELILLA (STAID: 5885).
Blended and updated with sources: 137512 137528 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137528,19790101,    5,    0
137528,19790102,    0,    0
137528,19790103,    0,    0
137528,19790104,    0,    0
137528,19790105,    0,    0
137528,19790106,    0,    0
137528,19790107,   69,    0
137528,19790108,    4,    0
137528,19790109,   55,    0
137528,19790110,    0,    0
137528,19790111,   15,    0
137528,19790112,   55,    0
137528,19790113,    7,    0
137528,19790114,    0,    0
137528,19790115,    0,    0
137528,19790116,    0,    0
137528,19790117,    2,    0
137528,19790118,    0,    0
137528,19790119,    0,    0
137528,19790120,    0,    0
137528,19790121,    5,    0
137528,19790122,    2,    0
137528,19790123,   33,    0
137528,19790124,   35,    0
137528,19790125,   25,    0
137528,19790126,    3,    0
137528,19790127,    0,    0
137528,19790128,    0,    0
137528,19790129,    0,    0
137528,19790130,    6,    0
137528,19790131,    3,    0
137528,19790201,   41,    0
137528,19790202,    0,    0
137528,19790203,    4,    0
137528,19790204,    2,    0
137528,19790205,    0,    0
137528,19790206,    0,    0
137528,19790207,   10,    0
137528,19790208,   64,    0
137528,19790209,    0,    0
137528,19790210,    0,    0
137528,19790211,    0,    0
137528,19790212,    0,    0
137528,19790213,   10,    0
137528,19790214,   48,    0
137528,19790215,    6,    0
137528,19790216,    0,    0
137528,19790217,   23,    0
137528,19790218,   65,    0
137528,19790219,    0,    0
137528,19790220,    0,    0
137528,19790221,    0,    0
137528,19790222,    0,    0
137528,19790223,    0,    0
137528,19790224,    0,    0
137528,19790225,    0,    0
137528,19790226,    5,    0
137528,19790227,    5,    0
137528,19790228,    0,    0
137528,19790301,   10,    0
137528,19790302,   47,    0
137528,19790303,   46,    0
137528,19790304,    0,    0
137528,19790305,    0,    0
137528,19790306,    0,    0
137528,19790307,    0,    0
137528,19790308,    0,    0
137528,19790309,   68,    0
137528,19790310,    0,    0
137528,19790311,   19,    0
137528,19790312,   79,    0
137528,19790313,    2,    0
137528,19790314,    0,    0
137528,19790315,   22,    0
137528,19790316,   28,    0
137528,19790317,   63,    0
137528,19790318,    9,    0
137528,19790319,    0,    0
137528,19790320,    0,    0
137528,19790321,   11,    0
137528,19790322,   30,    0
137528,19790323,   10,    0
137528,19790324,    0,    0
137528,19790325,   52,    0
137528,19790326,   36,    0
137528,19790327,    0,    0
137528,19790328,    0,    0
137528,19790329,    8,    0
137528,19790330,   31,    0
137528,19790331,   74,    0
137512,19790401,   13,    0
137512,19790402,   18,    0
137512,19790403,   44,    0
137512,19790404,    0,    0
137512,19790405,    2,    0
137512,19790406,    0,    0
137512,19790407,    0,    0
137512,19790408,    0,    0
137512,19790409,    0,    0
137512,19790410,    0,    0
137512,19790411,    0,    0
137512,19790412,    0,    0
137512,19790413,    0,    0
137512,19790414,    0,    0
137512,19790415,    0,    0
137512,19790416,    0,    0
137512,19790417,    0,    0
137512,19790418,    0,    0
137512,19790419,    0,    0
137512,19790420,    7,    0
137512,19790421,    0,    0
137512,19790422,   17,    0
137512,19790423,   30,    0
137512,19790424,   53,    0
137512,19790425,    0,    0
137512,19790426,    0,    0
137512,19790427,    0,    0
137512,19790428,    0,    0
137512,19790429,  109,    0
137512,19790430,   35,    0
137528,19790501,    0,    0
137528,19790502,   84,    0
137528,19790503,    0,    0
137528,19790504,    0,    0
137528,19790505,    0,    0
137528,19790506,    0,    0
137528,19790507,   13,    0
137528,19790508,    0,    0
137528,19790509,    0,    0
137528,19790510,    0,    0
137528,19790511,    0,    0
137528,19790512,    0,    0
137528,19790513,    0,    0
137528,19790514,    0,    0
137528,19790515,    0,    0
137528,19790516,    0,    0
137528,19790517,   48,    0
137528,19790518,    5,    0
137528,19790519,    0,    0
137528,19790520,    0,    0
137528,19790521,   58,    0
137528,19790522,   47,    0
137528,19790523,   61,    0
137528,19790524,  161,    0
137528,19790525,   14,    0
137528,19790526,    0,    0
137528,19790527,   81,    0
137528,19790528,    0,    0
137528,19790529,    0,    0
137528,19790530,    0,    0
137528,19790531,    0,    0
137512,19790601,    0,    0
137512,19790602,    0,    0
137512,19790603,    0,    0
137512,19790604,    0,    0
137512,19790605,    0,    0
137512,19790606,    0,    0
137512,19790607,    8,    0
137512,19790608,   43,    0
137512,19790609,    0,    0
137512,19790610,    0,    0
137512,19790611,    0,    0
137512,19790612,    0,    0
137512,19790613,    0,    0
137512,19790614,    0,    0
