EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, GILLASTIG (STAID: 5917).
Blended and updated with sources: 137630 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137630,19790101,    0,    0
137630,19790102,    3,    0
137630,19790103,    0,    0
137630,19790104,    0,    0
137630,19790105,    0,    0
137630,19790106,    4,    0
137630,19790107,  170,    0
137630,19790108,    3,    0
137630,19790109,   90,    0
137630,19790110,    0,    0
137630,19790111,   18,    0
137630,19790112,   52,    0
137630,19790113,   28,    0
137630,19790114,    0,    0
137630,19790115,    0,    0
137630,19790116,    0,    0
137630,19790117,    6,    0
137630,19790118,    2,    0
137630,19790119,    8,    0
137630,19790120,    1,    0
137630,19790121,    7,    0
137630,19790122,   10,    0
137630,19790123,   65,    0
137630,19790124,   33,    0
137630,19790125,   78,    0
137630,19790126,   10,    0
137630,19790127,    5,    0
137630,19790128,    0,    0
137630,19790129,    0,    0
137630,19790130,    5,    0
137630,19790131,   13,    0
137630,19790201,  115,    0
137630,19790202,    0,    0
137630,19790203,   32,    0
137630,19790204,    0,    0
137630,19790205,    0,    0
137630,19790206,    0,    0
137630,19790207,   41,    0
137630,19790208,   67,    0
137630,19790209,   12,    0
137630,19790210,    0,    0
137630,19790211,    0,    0
137630,19790212,    0,    0
137630,19790213,    0,    0
137630,19790214,    0,    0
137630,19790215,    0,    0
137630,19790216,    0,    0
137630,19790217,    0,    0
137630,19790218,   63,    0
137630,19790219,    0,    0
137630,19790220,    0,    0
137630,19790221,    0,    0
137630,19790222,    0,    0
137630,19790223,    0,    0
137630,19790224,    0,    0
137630,19790225,    0,    0
137630,19790226,   47,    0
137630,19790227,   60,    0
137630,19790228,    0,    0
137630,19790301,   40,    0
137630,19790302,   82,    0
137630,19790303,   51,    0
137630,19790304,    7,    0
137630,19790305,    0,    0
137630,19790306,    0,    0
137630,19790307,   12,    0
137630,19790308,   13,    0
137630,19790309,   95,    0
137630,19790310,   23,    0
137630,19790311,   27,    0
137630,19790312,  152,    0
137630,19790313,    0,    0
137630,19790314,    0,    0
137630,19790315,    0,    0
137630,19790316,   52,    0
137630,19790317,   14,    0
137630,19790318,    3,    0
137630,19790319,    0,    0
137630,19790320,    2,    0
137630,19790321,   42,    0
137630,19790322,   56,    0
137630,19790323,   61,    0
137630,19790324,    0,    0
137630,19790325,  105,    0
137630,19790326,  193,    0
137630,19790327,    0,    0
137630,19790328,    8,    0
137630,19790329,    0,    0
137630,19790330,   17,    0
137630,19790331,   49,    0
137630,19790401,   26,    0
137630,19790402,   33,    0
137630,19790403,   72,    0
137630,19790404,    0,    0
137630,19790405,    0,    0
137630,19790406,    0,    0
137630,19790407,    0,    0
137630,19790408,    0,    0
137630,19790409,    0,    0
137630,19790410,    0,    0
137630,19790411,    0,    0
137630,19790412,    0,    0
137630,19790413,   10,    0
137630,19790414,    0,    0
137630,19790415,    0,    0
137630,19790416,    0,    0
137630,19790417,    0,    0
137630,19790418,    0,    0
137630,19790419,    0,    0
137630,19790420,   15,    0
137630,19790421,   14,    0
137630,19790422,   22,    0
137630,19790423,   44,    0
137630,19790424,   30,    0
137630,19790425,    0,    0
137630,19790426,    0,    0
137630,19790427,    3,    0
137630,19790428,    4,    0
137630,19790429,  175,    0
137630,19790430,   72,    0
137630,19790501,   25,    0
137630,19790502,   98,    0
137630,19790503,   20,    0
137630,19790504,    5,    0
137630,19790505,    0,    0
137630,19790506,    0,    0
137630,19790507,   56,    0
137630,19790508,    6,    0
137630,19790509,    3,    0
137630,19790510,    0,    0
137630,19790511,    0,    0
137630,19790512,    0,    0
137630,19790513,    0,    0
137630,19790514,    0,    0
137630,19790515,    0,    0
137630,19790516,    0,    0
137630,19790517,   84,    0
137630,19790518,    0,    0
137630,19790519,    0,    0
137630,19790520,    0,    0
137630,19790521,   52,    0
137630,19790522,   63,    0
137630,19790523,   12,    0
137630,19790524,   80,    0
137630,19790525,   11,    0
137630,19790526,    6,    0
137630,19790527,   30,    0
137630,19790528,    0,    0
137630,19790529,    0,    0
137630,19790530,    0,    0
137630,19790531,    0,    0
137630,19790601,    0,    0
137630,19790602,    0,    0
137630,19790603,    0,    0
137630,19790604,    0,    0
137630,19790605,    0,    0
137630,19790606,    0,    0
137630,19790607,   54,    0
137630,19790608,   62,    0
137630,19790609,   20,    0
137630,19790610,    0,    0
137630,19790611,    0,    0
137630,19790612,    1,    0
137630,19790613,    0,    0
137630,19790614,    5,    0
137630,19790615,    6,    0
137630,19790616,    0,    0
137630,19790617,    0,    0
137630,19790618,    0,    0
137630,19790619,    0,    0
137630,19790620,    0,    0
137630,19790621,    0,    0
137630,19790622,    0,    0
137630,19790623,    1,    0
137630,19790624,   57,    0
137630,19790625,    7,    0
137630,19790626,   20,    0
137630,19790627,    0,    0
137630,19790628,   30,    0
137630,19790629,   55,    0
137630,19790630,   78,    0
137630,19790701,   23,    0
137630,19790702,    5,    0
137630,19790703,    0,    0
137630,19790704,    0,    0
137630,19790705,    0,    0
137630,19790706,    0,    0
137630,19790707,   43,    0
137630,19790708,    5,    0
137630,19790709,    8,    0
137630,19790710,    3,    0
137630,19790711,    0,    0
137630,19790712,    0,    0
137630,19790713,    0,    0
137630,19790714,    0,    0
137630,19790715,    2,    0
137630,19790716,   90,    0
137630,19790717,   37,    0
137630,19790718,   31,    0
137630,19790719,   65,    0
137630,19790720,   17,    0
137630,19790721,    7,    0
137630,19790722,   16,    0
137630,19790723,    0,    0
137630,19790724,   34,    0
137630,19790725,    0,    0
137630,19790726,    0,    0
137630,19790727,    0,    0
137630,19790728,    0,    0
137630,19790729,  137,    0
137630,19790730,    2,    0
137630,19790731,    3,    0
137630,19790801,    8,    0
137630,19790802,    0,    0
137630,19790803,    0,    0
137630,19790804,    0,    0
137630,19790805,    4,    0
137630,19790806,    0,    0
137630,19790807,    0,    0
137630,19790808,   11,    0
137630,19790809,    0,    0
137630,19790810,  240,    0
137630,19790811,    0,    0
137630,19790812,    0,    0
137630,19790813,    0,    0
137630,19790814,    0,    0
137630,19790815,    0,    0
137630,19790816,    0,    0
137630,19790817,    0,    0
137630,19790818,    0,    0
137630,19790819,    0,    0
137630,19790820,    0,    0
137630,19790821,   20,    0
137630,19790822,   35,    0
137630,19790823,   53,    0
137630,19790824,   64,    0
137630,19790825,   25,    0
137630,19790826,  220,    0
137630,19790827,  125,    0
137630,19790828,    0,    0
137630,19790829,    0,    0
137630,19790830,    0,    0
137630,19790831,    0,    0
137630,19790901,    0,    0
137630,19790902,    4,    0
137630,19790903,    2,    0
137630,19790904,    0,    0
137630,19790905,    0,    0
137630,19790906,    0,    0
137630,19790907,    0,    0
137630,19790908,    2,    0
137630,19790909,    4,    0
137630,19790910,    5,    0
137630,19790911,    5,    0
137630,19790912,    0,    0
137630,19790913,    0,    0
137630,19790914,  151,    0
137630,19790915,    0,    0
137630,19790916,   38,    0
137630,19790917,  140,    0
137630,19790918,   91,    0
137630,19790919,    0,    0
137630,19790920,   45,    0
137630,19790921,    5,    0
137630,19790922,    0,    0
137630,19790923,    0,    0
137630,19790924,    0,    0
137630,19790925,    0,    0
137630,19790926,   45,    0
137630,19790927,    0,    0
137630,19790928,    0,    0
137630,19790929,   15,    0
137630,19790930,    0,    0
137630,19791001,    0,    0
137630,19791002,    0,    0
137630,19791003,    5,    0
137630,19791004,    0,    0
137630,19791005,    0,    0
137630,19791006,    0,    0
137630,19791007,    0,    0
137630,19791008,    0,    0
137630,19791009,    0,    0
137630,19791010,    0,    0
137630,19791011,    0,    0
137630,19791012,    0,    0
137630,19791013,    0,    0
137630,19791014,    0,    0
137630,19791015,   26,    0
137630,19791016,    0,    0
137630,19791017,    0,    0
137630,19791018,   55,    0
137630,19791019,   12,    0
137630,19791020,    0,    0
137630,19791021,   32,    0
137630,19791022,    0,    0
137630,19791023,    0,    0
137630,19791024,    0,    0
137630,19791025,    0,    0
137630,19791026,    0,    0
137630,19791027,    0,    0
137630,19791028,    0,    0
137630,19791029,    0,    0
137630,19791030,    0,    0
137630,19791031,   67,    0
137630,19791101,   62,    0
137630,19791102,   45,    0
137630,19791103,    0,    0
137630,19791104,  252,    0
137630,19791105,   25,    0
137630,19791106,   41,    0
137630,19791107,   12,    0
137630,19791108,    5,    0
137630,19791109,   11,    0
137630,19791110,    7,    0
137630,19791111,   32,    0
137630,19791112,  105,    0
137630,19791113,   20,    0
137630,19791114,    9,    0
137630,19791115,   34,    0
137630,19791116,   52,    0
137630,19791117,    2,    0
137630,19791118,   68,    0
137630,19791119,   11,    0
137630,19791120,    0,    0
137630,19791121,    0,    0
137630,19791122,    4,    0
137630,19791123,   66,    0
137630,19791124,   11,    0
137630,19791125,  160,    0
137630,19791126,  111,    0
137630,19791127,    0,    0
137630,19791128,   96,    0
137630,19791129,   18,    0
137630,19791130,  105,    0
137630,19791201,   59,    0
137630,19791202,   28,    0
137630,19791203,  103,    0
137630,19791204,   20,    0
137630,19791205,  130,    0
137630,19791206,    5,    0
137630,19791207,    0,    0
137630,19791208,   11,    0
137630,19791209,  211,    0
137630,19791210,  260,    0
137630,19791211,    3,    0
137630,19791212,    0,    0
137630,19791213,    0,    0
137630,19791214,    8,    0
137630,19791215,  120,    0
137630,19791216,    2,    0
137630,19791217,  120,    0
