EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SOLVESBORG (STAID: 5923).
Blended and updated with sources: 137624 137650 137652 137666 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137650,19790101,    0,    0
137650,19790102,    0,    0
137650,19790103,    0,    0
137650,19790104,    0,    0
137650,19790105,    0,    0
137650,19790106,    2,    0
137650,19790107,   21,    0
137650,19790108,    0,    0
137650,19790109,   92,    0
137650,19790110,    0,    0
137650,19790111,   51,    0
137650,19790112,   55,    0
137650,19790113,    5,    0
137650,19790114,    2,    0
137650,19790115,    0,    0
137650,19790116,    0,    0
137650,19790117,    0,    0
137650,19790118,    0,    0
137650,19790119,    0,    0
137650,19790120,    0,    0
137650,19790121,    9,    0
137650,19790122,   20,    0
137650,19790123,   51,    0
137650,19790124,   42,    0
137650,19790125,   17,    0
137650,19790126,    3,    0
137650,19790127,    1,    0
137650,19790128,    0,    0
137650,19790129,    0,    0
137650,19790130,    7,    0
137650,19790131,   20,    0
137650,19790201,   30,    0
137650,19790202,    2,    0
137650,19790203,   19,    0
137650,19790204,    0,    0
137650,19790205,    0,    0
137650,19790206,    0,    0
137650,19790207,   10,    0
137650,19790208,   63,    0
137650,19790209,    0,    0
137650,19790210,    0,    0
137650,19790211,    0,    0
137650,19790212,    0,    0
137650,19790213,    0,    0
137650,19790214,    9,    0
137650,19790215,    0,    0
137650,19790216,    0,    0
137650,19790217,   42,    0
137650,19790218,  108,    0
137650,19790219,    0,    0
137650,19790220,    0,    0
137650,19790221,    0,    0
137650,19790222,    0,    0
137650,19790223,    0,    0
137650,19790224,    0,    0
137650,19790225,    0,    0
137650,19790226,    0,    0
137650,19790227,    5,    0
137650,19790228,    0,    0
137650,19790301,   25,    0
137650,19790302,   29,    0
137650,19790303,   11,    0
137650,19790304,    0,    0
137650,19790305,    0,    0
137650,19790306,    0,    0
137650,19790307,    3,    0
137650,19790308,    0,    0
137650,19790309,   85,    0
137650,19790310,    0,    0
137650,19790311,   40,    0
