EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, BARAMOSSA (STAID: 5963).
Blended and updated with sources: 137758 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137758,19790101,    0,    0
137758,19790102,    0,    0
137758,19790103,    0,    0
137758,19790104,    0,    0
137758,19790105,    4,    0
137758,19790106,   17,    0
137758,19790107,  227,    0
137758,19790108,    6,    0
137758,19790109,   64,    0
137758,19790110,    4,    0
137758,19790111,   23,    0
137758,19790112,   76,    0
137758,19790113,    7,    0
137758,19790114,    0,    0
137758,19790115,    0,    0
137758,19790116,    0,    0
137758,19790117,    3,    0
137758,19790118,    2,    0
137758,19790119,    2,    0
137758,19790120,    0,    0
137758,19790121,    8,    0
137758,19790122,    3,    0
137758,19790123,   87,    0
137758,19790124,   21,    0
137758,19790125,   67,    0
137758,19790126,   32,    0
137758,19790127,   34,    0
137758,19790128,    0,    0
137758,19790129,    0,    0
137758,19790130,    6,    0
137758,19790131,   12,    0
137758,19790201,  161,    0
137758,19790202,   20,    0
137758,19790203,   16,    0
137758,19790204,    7,    0
137758,19790205,    0,    0
137758,19790206,    0,    0
137758,19790207,   34,    0
137758,19790208,   53,    0
137758,19790209,    0,    0
137758,19790210,    0,    0
137758,19790211,    0,    0
137758,19790212,    0,    0
137758,19790213,    0,    0
137758,19790214,    0,    0
137758,19790215,    0,    0
137758,19790216,    0,    0
137758,19790217,    0,    0
137758,19790218,   23,    0
137758,19790219,    0,    0
137758,19790220,    0,    0
137758,19790221,    0,    0
137758,19790222,    0,    0
137758,19790223,    0,    0
137758,19790224,    0,    0
137758,19790225,    0,    0
137758,19790226,  138,    0
137758,19790227,   81,    0
137758,19790228,    0,    0
137758,19790301,   23,    0
137758,19790302,   91,    0
137758,19790303,   42,    0
137758,19790304,    0,    0
137758,19790305,    0,    0
137758,19790306,    0,    0
137758,19790307,    4,    0
137758,19790308,   18,    0
137758,19790309,  117,    0
137758,19790310,    6,    0
137758,19790311,   39,    0
137758,19790312,  187,    0
137758,19790313,    0,    0
137758,19790314,    0,    0
137758,19790315,    0,    0
137758,19790316,   78,    0
137758,19790317,   13,    0
137758,19790318,    3,    0
137758,19790319,    0,    0
137758,19790320,    0,    0
137758,19790321,   28,    0
137758,19790322,   44,    0
137758,19790323,   36,    0
137758,19790324,    0,    0
137758,19790325,   68,    0
137758,19790326,  200,    0
137758,19790327,   12,    0
137758,19790328,    0,    0
137758,19790329,    0,    0
137758,19790330,   36,    0
137758,19790331,   80,    0
137758,19790401,   80,    0
137758,19790402,   40,    0
137758,19790403,   55,    0
137758,19790404,    0,    0
137758,19790405,    0,    0
137758,19790406,    5,    0
137758,19790407,    0,    0
137758,19790408,    0,    0
137758,19790409,    0,    0
137758,19790410,    0,    0
137758,19790411,    0,    0
137758,19790412,    0,    0
137758,19790413,    3,    0
137758,19790414,    0,    0
137758,19790415,    0,    0
137758,19790416,    0,    0
137758,19790417,    0,    0
137758,19790418,    0,    0
137758,19790419,    0,    0
137758,19790420,   25,    0
137758,19790421,   18,    0
137758,19790422,   33,    0
137758,19790423,   22,    0
137758,19790424,   61,    0
137758,19790425,    0,    0
137758,19790426,    0,    0
137758,19790427,    0,    0
137758,19790428,    0,    0
137758,19790429,  260,    0
137758,19790430,    8,    0
137758,19790501,    0,    0
137758,19790502,   55,    0
137758,19790503,   27,    0
137758,19790504,    0,    0
137758,19790505,    0,    0
137758,19790506,    0,    0
137758,19790507,  103,    0
137758,19790508,   22,    0
137758,19790509,    0,    0
137758,19790510,    0,    0
137758,19790511,    0,    0
137758,19790512,    0,    0
137758,19790513,    0,    0
137758,19790514,    0,    0
137758,19790515,    0,    0
137758,19790516,    0,    0
137758,19790517,   83,    0
137758,19790518,    0,    0
137758,19790519,    0,    0
137758,19790520,    0,    0
137758,19790521,   42,    0
137758,19790522,   54,    0
137758,19790523,   17,    0
137758,19790524,   13,    0
137758,19790525,   23,    0
137758,19790526,    3,    0
137758,19790527,   49,    0
137758,19790528,    0,    0
137758,19790529,   40,    0
137758,19790530,    0,    0
137758,19790531,    0,    0
137758,19790601,    0,    0
137758,19790602,    0,    0
137758,19790603,    0,    0
137758,19790604,    0,    0
137758,19790605,    0,    0
137758,19790606,    0,    0
137758,19790607,   92,    0
137758,19790608,   19,    0
137758,19790609,   26,    0
137758,19790610,    0,    0
137758,19790611,    0,    0
137758,19790612,   12,    0
137758,19790613,    0,    0
137758,19790614,   14,    0
137758,19790615,   42,    0
137758,19790616,    0,    0
137758,19790617,    0,    0
137758,19790618,    0,    0
137758,19790619,    0,    0
137758,19790620,    0,    0
137758,19790621,    0,    0
137758,19790622,    0,    0
137758,19790623,    6,    0
137758,19790624,   32,    0
137758,19790625,   52,    0
137758,19790626,   25,    0
137758,19790627,    0,    0
137758,19790628,   35,    0
137758,19790629,    2,    0
137758,19790630,   43,    0
137758,19790701,    6,    0
137758,19790702,    8,    0
137758,19790703,    0,    0
137758,19790704,    0,    0
137758,19790705,    0,    0
137758,19790706,    0,    0
137758,19790707,  114,    0
137758,19790708,  143,    0
137758,19790709,    0,    0
137758,19790710,   27,    0
137758,19790711,    0,    0
137758,19790712,    0,    0
137758,19790713,    0,    0
137758,19790714,    0,    0
137758,19790715,    1,    0
137758,19790716,  220,    0
137758,19790717,    0,    0
137758,19790718,  108,    0
137758,19790719,  173,    0
137758,19790720,   78,    0
137758,19790721,   42,    0
137758,19790722,    9,    0
137758,19790723,    0,    0
137758,19790724,   32,    0
137758,19790725,    2,    0
137758,19790726,    0,    0
137758,19790727,    0,    0
137758,19790728,    0,    0
137758,19790729,  100,    0
137758,19790730,   31,    0
137758,19790731,   63,    0
137758,19790801,   35,    0
137758,19790802,  212,    0
137758,19790803,    0,    0
137758,19790804,   22,    0
137758,19790805,    0,    0
137758,19790806,    0,    0
137758,19790807,    0,    0
137758,19790808,    1,    0
137758,19790809,   22,    0
137758,19790810,  204,    0
137758,19790811,    7,    0
137758,19790812,    0,    0
137758,19790813,    0,    0
137758,19790814,    0,    0
137758,19790815,    0,    0
137758,19790816,    0,    0
137758,19790817,    0,    0
137758,19790818,    0,    0
137758,19790819,    0,    0
137758,19790820,    0,    0
137758,19790821,   15,    0
137758,19790822,   60,    0
137758,19790823,    0,    0
137758,19790824,   38,    0
137758,19790825,   72,    0
137758,19790826,  482,    0
137758,19790827,   56,    0
137758,19790828,    0,    0
137758,19790829,    0,    0
137758,19790830,    0,    0
137758,19790831,    0,    0
137758,19790901,    0,    0
137758,19790902,    6,    0
137758,19790903,    0,    0
137758,19790904,    1,    0
137758,19790905,    4,    0
137758,19790906,    0,    0
137758,19790907,    0,    0
137758,19790908,    0,    0
137758,19790909,    3,    0
137758,19790910,    1,    0
137758,19790911,   30,    0
137758,19790912,    0,    0
137758,19790913,    7,    0
137758,19790914,  182,    0
137758,19790915,   12,    0
137758,19790916,   65,    0
137758,19790917,  260,    0
137758,19790918,   80,    0
137758,19790919,    0,    0
137758,19790920,   79,    0
137758,19790921,    4,    0
137758,19790922,    0,    0
137758,19790923,    0,    0
137758,19790924,    0,    0
137758,19790925,    0,    0
137758,19790926,   96,    0
137758,19790927,    0,    0
137758,19790928,    0,    0
137758,19790929,    3,    0
137758,19790930,    0,    0
137758,19791001,    0,    0
137758,19791002,    0,    0
137758,19791003,    0,    0
137758,19791004,    0,    0
137758,19791005,    0,    0
137758,19791006,    0,    0
137758,19791007,    0,    0
137758,19791008,    0,    0
137758,19791009,    0,    0
137758,19791010,    0,    0
137758,19791011,    0,    0
137758,19791012,    0,    0
137758,19791013,    0,    0
137758,19791014,    0,    0
137758,19791015,    8,    0
137758,19791016,   29,    0
137758,19791017,    0,    0
137758,19791018,   75,    0
137758,19791019,   21,    0
137758,19791020,    0,    0
137758,19791021,   16,    0
137758,19791022,    0,    0
137758,19791023,    0,    0
137758,19791024,    0,    0
137758,19791025,    0,    0
137758,19791026,    0,    0
137758,19791027,    0,    0
137758,19791028,    0,    0
137758,19791029,    0,    0
137758,19791030,    0,    0
137758,19791031,   39,    0
137758,19791101,    9,    0
137758,19791102,   15,    0
137758,19791103,    0,    0
137758,19791104,  364,    0
137758,19791105,   40,    0
137758,19791106,   36,    0
137758,19791107,    4,    0
137758,19791108,    0,    0
137758,19791109,   36,    0
137758,19791110,   24,    0
137758,19791111,   36,    0
137758,19791112,  138,    0
137758,19791113,   21,    0
137758,19791114,    4,    0
137758,19791115,   49,    0
137758,19791116,   38,    0
137758,19791117,    0,    0
137758,19791118,   42,    0
137758,19791119,   28,    0
137758,19791120,    0,    0
137758,19791121,    2,    0
137758,19791122,   13,    0
137758,19791123,   86,    0
137758,19791124,    0,    0
137758,19791125,  205,    0
137758,19791126,  106,    0
137758,19791127,    0,    0
137758,19791128,   60,    0
137758,19791129,   50,    0
137758,19791130,  122,    0
137758,19791201,   68,    0
137758,19791202,    4,    0
137758,19791203,   94,    0
137758,19791204,   50,    0
137758,19791205,   92,    0
137758,19791206,    0,    0
137758,19791207,    0,    0
137758,19791208,    0,    0
137758,19791209,  158,    0
137758,19791210,   76,    0
137758,19791211,    0,    0
137758,19791212,    0,    0
137758,19791213,    0,    0
137758,19791214,   15,    0
137758,19791215,   44,    0
137758,19791216,    6,    0
137758,19791217,  109,    0
137758,19791218,   13,    0
137758,19791219,    0,    0
137758,19791220,    0,    0
137758,19791221,    0,    0
137758,19791222,    3,    0
137758,19791223,    0,    0
137758,19791224,    0,    0
137758,19791225,    1,    0
137758,19791226,    0,    0
137758,19791227,   89,    0
137758,19791228,   91,    0
137758,19791229,    7,    0
137758,19791230,   65,    0
137758,19791231,    1,    0
137758,19800101,    1,    0
137758,19800102,    0,    0
137758,19800103,    0,    0
137758,19800104,    1,    0
137758,19800105,    7,    0
137758,19800106,    6,    0
137758,19800107,   18,    0
137758,19800108,   40,    0
137758,19800109,   19,    0
137758,19800110,    0,    0
137758,19800111,    0,    0
137758,19800112,    1,    0
137758,19800113,    2,    0
137758,19800114,   56,    0
137758,19800115,    0,    0
137758,19800116,    0,    0
137758,19800117,    0,    0
137758,19800118,    1,    0
137758,19800119,    0,    0
137758,19800120,    0,    0
137758,19800121,    1,    0
137758,19800122,   29,    0
137758,19800123,    8,    0
137758,19800124,    0,    0
137758,19800125,    1,    0
137758,19800126,    5,    0
137758,19800127,    1,    0
137758,19800128,    0,    0
137758,19800129,   35,    0
137758,19800130,   75,    0
137758,19800131,  100,    0
137758,19800201,   13,    0
137758,19800202,    0,    0
137758,19800203,    0,    0
137758,19800204,    0,    0
137758,19800205,    0,    0
137758,19800206,    0,    0
137758,19800207,   64,    0
137758,19800208,    0,    0
137758,19800209,   49,    0
137758,19800210,   14,    0
137758,19800211,    0,    0
137758,19800212,    0,    0
137758,19800213,   10,    0
137758,19800214,    0,    0
137758,19800215,   62,    0
137758,19800216,    0,    0
137758,19800217,    0,    0
137758,19800218,    0,    0
137758,19800219,    0,    0
137758,19800220,    0,    0
137758,19800221,    0,    0
137758,19800222,    0,    0
137758,19800223,    0,    0
137758,19800224,    0,    0
137758,19800225,    0,    0
137758,19800226,    1,    0
137758,19800227,    1,    0
137758,19800228,    1,    0
137758,19800229,    6,    0
137758,19800301,    0,    0
137758,19800302,    7,    0
137758,19800303,    0,    0
137758,19800304,    0,    0
137758,19800305,    1,    0
137758,19800306,    3,    0
137758,19800307,    9,    0
137758,19800308,    1,    0
137758,19800309,    0,    0
137758,19800310,    0,    0
137758,19800311,    0,    0
137758,19800312,    0,    0
137758,19800313,    0,    0
137758,19800314,    0,    0
137758,19800315,    0,    0
137758,19800316,    0,    0
137758,19800317,    0,    0
137758,19800318,    0,    0
137758,19800319,    0,    0
137758,19800320,    0,    0
137758,19800321,    0,    0
137758,19800322,    0,    0
137758,19800323,    0,    0
137758,19800324,    0,    0
137758,19800325,    0,    0
137758,19800326,    0,    0
137758,19800327,    0,    0
137758,19800328,   56,    0
137758,19800329,   31,    0
137758,19800330,   13,    0
137758,19800331,    3,    0
137758,19800401,    0,    0
