EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LINNERYD (STAID: 5985).
Blended and updated with sources: 137816 137830 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137816,19790101,    6,    0
137816,19790102,    0,    0
137816,19790103,    9,    0
137816,19790104,    0,    0
137816,19790105,    0,    0
137816,19790106,    4,    0
137816,19790107,    8,    0
137816,19790108,    0,    0
137816,19790109,   98,    0
137816,19790110,    0,    0
137816,19790111,   58,    0
137816,19790112,   50,    0
137816,19790113,    0,    0
137816,19790114,    0,    0
137816,19790115,    0,    0
137816,19790116,    0,    0
137816,19790117,    7,    0
137816,19790118,    9,    0
137816,19790119,    4,    0
137816,19790120,    2,    0
137816,19790121,    7,    0
137816,19790122,    4,    0
137816,19790123,   45,    0
137816,19790124,   53,    0
137816,19790125,   57,    0
137816,19790126,    7,    0
137816,19790127,   17,    0
137816,19790128,    0,    0
137816,19790129,    0,    0
137816,19790130,   16,    0
137816,19790131,   50,    0
137816,19790201,   34,    0
137816,19790202,    0,    0
137816,19790203,   41,    0
137816,19790204,    0,    0
137816,19790205,    0,    0
137816,19790206,    0,    0
137816,19790207,    0,    0
137816,19790208,   53,    0
137816,19790209,    0,    0
137816,19790210,    0,    0
137816,19790211,    0,    0
137816,19790212,    0,    0
137816,19790213,    0,    0
137816,19790214,    0,    0
137816,19790215,    0,    0
137816,19790216,    0,    0
137816,19790217,    4,    0
137816,19790218,  113,    0
137816,19790219,    0,    0
137816,19790220,    0,    0
137816,19790221,    0,    0
137816,19790222,    0,    0
137816,19790223,    0,    0
137816,19790224,    0,    0
137816,19790225,    0,    0
137816,19790226,    0,    0
137816,19790227,    3,    0
137816,19790228,    0,    0
137816,19790301,   11,    0
137816,19790302,   13,    0
137816,19790303,    7,    0
137816,19790304,    0,    0
137816,19790305,    0,    0
137816,19790306,    0,    0
137816,19790307,   15,    0
137816,19790308,    0,    0
137816,19790309,  116,    0
137816,19790310,    0,    0
137816,19790311,    0,    0
137816,19790312,   67,    0
137816,19790313,    4,    0
137816,19790314,    0,    0
137816,19790315,    0,    0
137816,19790316,   45,    0
137816,19790317,    0,    0
137816,19790318,    0,    0
137816,19790319,    0,    0
137816,19790320,    0,    0
137816,19790321,    0,    0
137816,19790322,   39,    0
137816,19790323,   31,    0
137816,19790324,   31,    0
137816,19790325,   51,    0
137816,19790326,   60,    0
137816,19790327,    2,    0
137816,19790328,    0,    0
137816,19790329,    1,    0
137816,19790330,    5,    0
137816,19790331,  127,    0
137816,19790401,   41,    0
137816,19790402,   26,    0
137816,19790403,   10,    0
137816,19790404,   38,    0
137816,19790405,    0,    0
137816,19790406,    0,    0
137816,19790407,    0,    0
137816,19790408,    0,    0
137816,19790409,    0,    0
137816,19790410,    0,    0
137816,19790411,    0,    0
137816,19790412,    0,    0
137816,19790413,   46,    0
137816,19790414,    0,    0
