EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LUMMELUNDA (STAID: 6100).
Blended and updated with sources: 119251 138168 138182 138218 902590 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138218,19790101,   91,    0
138218,19790102,  157,    0
138218,19790103,   91,    0
138218,19790104,   44,    0
138168,19790105,    0,    0
138168,19790106,    2,    0
138168,19790107,   99,    0
138168,19790108,    0,    0
138218,19790109,   24,    0
138168,19790110,   55,    0
138168,19790111,    0,    0
138218,19790112,   59,    0
138218,19790113,   47,    0
138218,19790114,   18,    0
138168,19790115,   34,    0
138168,19790116,    0,    0
138218,19790117,    2,    0
138218,19790118,   10,    0
138218,19790119,    5,    0
138168,19790120,    2,    0
138168,19790121,    6,    0
138218,19790122,    8,    0
138218,19790123,   16,    0
138218,19790124,   17,    0
138218,19790125,   62,    0
138218,19790126,   47,    0
138168,19790127,    4,    0
138168,19790128,    0,    0
138168,19790129,    0,    0
138218,19790130,  198,    0
138218,19790131,   64,    0
138218,19790201,   78,    0
138218,19790202,   37,    0
138218,19790203,   23,    0
138218,19790204,    4,    0
138168,19790205,    9,    0
138168,19790206,    0,    0
138168,19790207,    0,    0
138168,19790208,   24,    0
138168,19790209,    0,    0
138168,19790210,    0,    0
138168,19790211,    0,    0
138168,19790212,    0,    0
138218,19790213,   27,    0
138218,19790214,   15,    0
138168,19790215,    4,    0
138168,19790216,    0,    0
138168,19790217,    0,    0
138168,19790218,    0,    0
138168,19790219,    0,    0
138168,19790220,    0,    0
138168,19790221,    0,    0
138168,19790222,    0,    0
138168,19790223,    0,    0
138168,19790224,    0,    0
138168,19790225,    0,    0
138168,19790226,    0,    0
138168,19790227,    0,    0
138168,19790228,    0,    0
138218,19790301,   10,    0
138218,19790302,   27,    0
138168,19790303,   63,    0
138168,19790304,    0,    0
138168,19790305,    0,    0
138168,19790306,    0,    0
138168,19790307,    0,    0
138218,19790308,   17,    0
138218,19790309,   20,    0
138168,19790310,   32,    0
138168,19790311,    0,    0
138218,19790312,   45,    0
138218,19790313,   28,    0
138218,19790314,    3,    0
138218,19790315,    7,    0
138218,19790316,   20,    0
138218,19790317,   21,    0
138168,19790318,    3,    0
138168,19790319,    2,    0
138168,19790320,    0,    0
138218,19790321,   61,    0
138218,19790322,    2,    0
138168,19790323,   33,    0
138168,19790324,    0,    0
138218,19790325,   15,    0
138168,19790326,  177,    0
138168,19790327,    7,    0
138168,19790328,    0,    0
138218,19790329,    3,    0
138218,19790330,   33,    0
138218,19790331,  197,    0
138218,19790401,   60,    0
138168,19790402,    5,    0
138168,19790403,    0,    0
138168,19790404,    0,    0
138168,19790405,    0,    0
138168,19790406,    0,    0
138168,19790407,    0,    0
138168,19790408,    0,    0
138168,19790409,    0,    0
138168,19790410,    0,    0
138168,19790411,    0,    0
138168,19790412,    0,    0
138168,19790413,   25,    0
138168,19790414,    0,    0
138168,19790415,    0,    0
138168,19790416,    0,    0
138168,19790417,    0,    0
138168,19790418,    0,    0
138168,19790419,    0,    0
138168,19790420,    1,    0
138218,19790421,   33,    0
138218,19790422,    3,    0
138218,19790423,    1,    0
138218,19790424,   27,    0
138168,19790425,   22,    0
138168,19790426,    0,    0
138168,19790427,    0,    0
138168,19790428,    0,    0
138218,19790429,   80,    0
138168,19790430,   40,    0
138168,19790501,    0,    0
138168,19790502,   46,    0
138168,19790503,    0,    0
138168,19790504,    0,    0
138168,19790505,   98,    0
138168,19790506,    3,    0
138168,19790507,    0,    0
138218,19790508,   50,    0
138218,19790509,   23,    0
138168,19790510,   28,    0
138168,19790511,    0,    0
138168,19790512,    0,    0
138168,19790513,    0,    0
138168,19790514,    0,    0
138168,19790515,    0,    0
138168,19790516,    0,    0
138218,19790517,   12,    0
138168,19790518,   23,    0
138168,19790519,    0,    0
138168,19790520,    0,    0
138168,19790521,    0,    0
138168,19790522,    0,    0
138168,19790523,    0,    0
138168,19790524,    0,    0
138168,19790525,    0,    0
138168,19790526,    0,    0
138168,19790527,    0,    0
138168,19790528,    0,    0
138168,19790529,    0,    0
138168,19790530,    0,    0
138168,19790531,    0,    0
138168,19790601,    0,    0
138168,19790602,    0,    0
138168,19790603,    0,    0
138168,19790604,    0,    0
138168,19790605,    0,    0
138168,19790606,    0,    0
138168,19790607,    0,    0
138218,19790608,   44,    0
138168,19790609,    7,    0
138168,19790610,    0,    0
138168,19790611,    0,    0
138168,19790612,    0,    0
138168,19790613,    0,    0
138168,19790614,    0,    0
138168,19790615,    0,    0
138168,19790616,    0,    0
138168,19790617,    0,    0
138168,19790618,    0,    0
138168,19790619,    3,    0
138168,19790620,    0,    0
138168,19790621,    0,    0
138168,19790622,    0,    0
138168,19790623,    0,    0
138168,19790624,    0,    0
138168,19790625,   30,    0
138168,19790626,    0,    0
138168,19790627,    0,    0
138218,19790628,    8,    0
138168,19790629,    7,    0
138168,19790630,    0,    0
