EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, TROKORNA (STAID: 6156).
Blended and updated with sources: 138386 138424 138456 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138456,19790101,    0,    0
138456,19790102,    7,    0
138456,19790103,    0,    0
138456,19790104,    3,    0
138456,19790105,    0,    0
138456,19790106,   32,    0
138386,19790107,   48,    0
138386,19790108,    1,    0
138386,19790109,    5,    0
138386,19790110,    0,    0
138386,19790111,    3,    0
138456,19790112,   97,    0
138386,19790113,   12,    0
138386,19790114,    0,    0
138386,19790115,    0,    0
138386,19790116,    0,    0
138386,19790117,    0,    0
138386,19790118,    3,    0
138386,19790119,    3,    0
138456,19790120,    4,    0
138456,19790121,    2,    0
138456,19790122,    0,    0
138456,19790123,   16,    0
138456,19790124,   15,    0
138456,19790125,   54,    0
138456,19790126,   13,    0
138386,19790127,    0,    0
138386,19790128,    0,    0
138386,19790129,    2,    0
138386,19790130,   74,    0
138386,19790131,    0,    0
138456,19790201,   15,    0
138456,19790202,   17,    0
138456,19790203,   88,    0
138456,19790204,    0,    0
138456,19790205,    3,    0
138386,19790206,    0,    0
138386,19790207,    0,    0
138386,19790208,    4,    0
138386,19790209,    0,    0
138386,19790210,    0,    0
138386,19790211,    0,    0
138386,19790212,    0,    0
138386,19790213,    0,    0
138386,19790214,    0,    0
138386,19790215,    0,    0
138386,19790216,    0,    0
138386,19790217,    0,    0
138456,19790218,   97,    0
138386,19790219,    6,    0
138386,19790220,    0,    0
138386,19790221,    0,    0
138386,19790222,   20,    0
138386,19790223,    0,    0
138386,19790224,    0,    0
138386,19790225,    0,    0
138386,19790226,    8,    0
138386,19790227,    0,    0
138456,19790228,    2,    0
138456,19790301,   19,    0
138456,19790302,   63,    0
138386,19790303,   12,    0
138386,19790304,    0,    0
138386,19790305,    0,    0
138386,19790306,    0,    0
138456,19790307,   12,    0
138456,19790308,    3,    0
138456,19790309,   93,    0
138456,19790310,    0,    0
138456,19790311,   41,    0
138456,19790312,   15,    0
138386,19790313,    4,    0
138386,19790314,    0,    0
138386,19790315,    0,    0
138386,19790316,    2,    0
138456,19790317,    1,    0
138456,19790318,    0,    0
138456,19790319,    1,    0
138456,19790320,    0,    0
138456,19790321,   20,    0
138456,19790322,   28,    0
138456,19790323,   15,    0
138456,19790324,    0,    0
138456,19790325,   22,    0
138456,19790326,   70,    0
138456,19790327,   50,    0
138456,19790328,    3,    0
138456,19790329,    0,    0
138456,19790330,   40,    0
138456,19790331,    0,    0
138456,19790401,   14,    0
138456,19790402,    6,    0
138386,19790403,   51,    0
138386,19790404,    0,    0
138386,19790405,    0,    0
138386,19790406,    0,    0
138386,19790407,    0,    0
138386,19790408,    0,    0
138386,19790409,    0,    0
138386,19790410,    0,    0
138386,19790411,    0,    0
138386,19790412,    0,    0
138386,19790413,   13,    0
138386,19790414,    0,    0
138386,19790415,    0,    0
138386,19790416,   30,    0
138386,19790417,    1,    0
138386,19790418,    0,    0
138386,19790419,    0,    0
138456,19790420,   18,    0
138456,19790421,   15,    0
138456,19790422,   75,    0
138456,19790423,   26,    0
138456,19790424,   95,    0
138386,19790425,   17,    0
138386,19790426,    2,    0
138386,19790427,    0,    0
138386,19790428,    0,    0
138456,19790429,  129,    0
138456,19790430,    6,    0
138456,19790501,    0,    0
138456,19790502,   93,    0
138456,19790503,    0,    0
138456,19790504,    2,    0
