EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, HAVRESTROM (STAID: 6203).
Blended and updated with sources: 138644 138660 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138644,19790101,    0,    0
138644,19790102,    0,    0
138644,19790103,    0,    0
138644,19790104,    0,    0
138644,19790105,    0,    0
138644,19790106,   25,    0
138644,19790107,    6,    0
138644,19790108,    0,    0
138644,19790109,    0,    0
138644,19790110,    0,    0
138644,19790111,    3,    0
138644,19790112,   65,    0
138644,19790113,   20,    0
138644,19790114,    0,    0
138644,19790115,    0,    0
138644,19790116,    0,    0
138644,19790117,    0,    0
138644,19790118,    0,    0
138644,19790119,    0,    0
138644,19790120,    0,    0
138644,19790121,    0,    0
138644,19790122,    6,    0
138644,19790123,   26,    0
138644,19790124,   19,    0
138644,19790125,   23,    0
138644,19790126,   73,    0
138644,19790127,    0,    0
138644,19790128,    7,    0
138644,19790129,    0,    0
138644,19790130,    0,    0
138644,19790131,    0,    0
138644,19790201,   61,    0
138644,19790202,   17,    0
138644,19790203,   38,    0
138644,19790204,    0,    0
138644,19790205,    0,    0
138644,19790206,    0,    0
138644,19790207,    0,    0
138644,19790208,    0,    0
138644,19790209,    0,    0
138644,19790210,    0,    0
138644,19790211,    0,    0
138644,19790212,    0,    0
138644,19790213,    0,    0
138644,19790214,    0,    0
138644,19790215,    0,    0
138644,19790216,    0,    0
138644,19790217,    0,    0
138644,19790218,   56,    0
138644,19790219,   10,    0
138644,19790220,    0,    0
138644,19790221,    0,    0
138644,19790222,    7,    0
138644,19790223,    0,    0
138644,19790224,    0,    0
138644,19790225,    0,    0
138644,19790226,    0,    0
138644,19790227,    0,    0
138644,19790228,    0,    0
138644,19790301,    7,    0
138644,19790302,   33,    0
138644,19790303,    3,    0
138644,19790304,    0,    0
138644,19790305,    0,    0
138644,19790306,    0,    0
138644,19790307,   18,    0
138644,19790308,    8,    0
138644,19790309,   95,    0
138644,19790310,    0,    0
138644,19790311,   39,    0
138644,19790312,   20,    0
138644,19790313,    0,    0
138644,19790314,    0,    0
138644,19790315,    0,    0
138644,19790316,    2,    0
138644,19790317,    0,    0
138644,19790318,    0,    0
138644,19790319,    1,    0
138644,19790320,    0,    0
138644,19790321,    6,    0
138644,19790322,   62,    0
138644,19790323,    5,    0
138644,19790324,    0,    0
138644,19790325,   45,    0
138644,19790326,   32,    0
138644,19790327,   25,    0
138644,19790328,    0,    0
138644,19790329,    2,    0
138644,19790330,   35,    0
138644,19790331,    2,    0
138644,19790401,   40,    0
138644,19790402,   16,    0
138644,19790403,  150,    0
138644,19790404,   22,    0
138644,19790405,    0,    0
138644,19790406,    0,    0
138644,19790407,    0,    0
138644,19790408,    0,    0
138644,19790409,    0,    0
138644,19790410,    0,    0
138644,19790411,    0,    0
