EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, VRENA (STAID: 6208).
Blended and updated with sources: 138658 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138658,19790101,    0,    0
138658,19790102,   21,    0
138658,19790103,   52,    0
138658,19790104,   27,    0
138658,19790105,    0,    0
138658,19790106,    0,    0
138658,19790107,    0,    0
138658,19790108,    0,    0
138658,19790109,   45,    0
138658,19790110,   48,    0
138658,19790111,    3,    0
138658,19790112,  132,    0
138658,19790113,   42,    0
138658,19790114,    0,    0
138658,19790115,   23,    0
138658,19790116,    0,    0
138658,19790117,    0,    0
138658,19790118,    0,    0
138658,19790119,    2,    0
138658,19790120,    0,    0
138658,19790121,    0,    0
138658,19790122,    0,    0
138658,19790123,   19,    0
138658,19790124,   40,    0
138658,19790125,   45,    0
138658,19790126,  108,    0
138658,19790127,    0,    0
138658,19790128,    0,    0
138658,19790129,    0,    0
138658,19790130,   21,    0
138658,19790131,   47,    0
138658,19790201,    3,    0
138658,19790202,    9,    0
138658,19790203,   40,    0
138658,19790204,    0,    0
138658,19790205,    0,    0
138658,19790206,    0,    0
138658,19790207,    0,    0
138658,19790208,    2,    0
138658,19790209,    0,    0
138658,19790210,    0,    0
138658,19790211,    0,    0
138658,19790212,    0,    0
138658,19790213,    0,    0
138658,19790214,    0,    0
138658,19790215,    0,    0
138658,19790216,    0,    0
138658,19790217,    0,    0
138658,19790218,    0,    0
138658,19790219,   10,    0
138658,19790220,    0,    0
138658,19790221,    0,    0
138658,19790222,    0,    0
138658,19790223,    0,    0
138658,19790224,    0,    0
138658,19790225,    0,    0
138658,19790226,    0,    0
138658,19790227,    0,    0
138658,19790228,    0,    0
138658,19790301,    0,    0
138658,19790302,   10,    0
138658,19790303,    0,    0
138658,19790304,    0,    0
138658,19790305,    0,    0
138658,19790306,    0,    0
138658,19790307,    0,    0
138658,19790308,    0,    0
138658,19790309,   30,    0
138658,19790310,   10,    0
138658,19790311,    0,    0
138658,19790312,    8,    0
138658,19790313,    0,    0
138658,19790314,    0,    0
138658,19790315,    0,    0
138658,19790316,    0,    0
138658,19790317,    0,    0
138658,19790318,    0,    0
138658,19790319,    0,    0
138658,19790320,    0,    0
138658,19790321,    0,    0
138658,19790322,   22,    0
138658,19790323,    2,    0
138658,19790324,    0,    0
138658,19790325,   42,    0
138658,19790326,   41,    0
138658,19790327,    0,    0
138658,19790328,    3,    0
138658,19790329,   20,    0
138658,19790330,   22,    0
138658,19790331,   49,    0
138658,19790401,   28,    0
138658,19790402,   12,    0
138658,19790403,    0,    0
138658,19790404,    0,    0
138658,19790405,    0,    0
138658,19790406,    0,    0
138658,19790407,    0,    0
138658,19790408,    0,    0
138658,19790409,    0,    0
138658,19790410,    0,    0
138658,19790411,    0,    0
138658,19790412,    0,    0
138658,19790413,   98,    0
138658,19790414,    0,    0
138658,19790415,    0,    0
138658,19790416,   35,    0
138658,19790417,   15,    0
138658,19790418,    0,    0
138658,19790419,    0,    0
138658,19790420,   32,    0
138658,19790421,    0,    0
138658,19790422,    0,    0
138658,19790423,    0,    0
138658,19790424,  171,    0
138658,19790425,   30,    0
138658,19790426,    0,    0
138658,19790427,    0,    0
138658,19790428,    0,    0
138658,19790429,   50,    0
138658,19790430,   55,    0
138658,19790501,   15,    0
138658,19790502,   75,    0
138658,19790503,    3,    0
138658,19790504,    3,    0
138658,19790505,    0,    0
138658,19790506,    0,    0
138658,19790507,   10,    0
138658,19790508,   48,    0
138658,19790509,   30,    0
138658,19790510,  110,    0
138658,19790511,    0,    0
138658,19790512,    0,    0
138658,19790513,    0,    0
