EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SJOGARDE (STAID: 6224).
Blended and updated with sources: 138710 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138710,19790101,    0,    0
138710,19790102,    5,    0
138710,19790103,   15,    0
138710,19790104,    2,    0
138710,19790105,    0,    0
138710,19790106,    0,    0
138710,19790107,   11,    0
138710,19790108,    0,    0
138710,19790109,   26,    0
138710,19790110,   74,    0
138710,19790111,    0,    0
138710,19790112,  221,    0
138710,19790113,    3,    0
138710,19790114,    0,    0
138710,19790115,   25,    0
138710,19790116,    0,    0
138710,19790117,    0,    0
138710,19790118,    2,    0
138710,19790119,    0,    0
138710,19790120,    0,    0
138710,19790121,    0,    0
138710,19790122,    3,    0
138710,19790123,   12,    0
138710,19790124,   71,    0
138710,19790125,   18,    0
138710,19790126,  150,    0
138710,19790127,    0,    0
138710,19790128,    0,    0
138710,19790129,    1,    0
138710,19790130,    8,    0
138710,19790131,   33,    0
138710,19790201,   17,    0
138710,19790202,    0,    0
138710,19790203,   52,    0
138710,19790204,    1,    0
138710,19790205,    0,    0
138710,19790206,    0,    0
138710,19790207,    0,    0
138710,19790208,    0,    0
138710,19790209,    3,    0
138710,19790210,    0,    0
138710,19790211,    0,    0
138710,19790212,    0,    0
138710,19790213,    0,    0
138710,19790214,    0,    0
138710,19790215,    0,    0
138710,19790216,    0,    0
138710,19790217,    0,    0
138710,19790218,    0,    0
138710,19790219,    0,    0
138710,19790220,    0,    0
138710,19790221,    0,    0
138710,19790222,    0,    0
138710,19790223,    0,    0
138710,19790224,    0,    0
138710,19790225,    0,    0
138710,19790226,    0,    0
138710,19790227,    0,    0
138710,19790228,    0,    0
138710,19790301,    1,    0
138710,19790302,   26,    0
138710,19790303,    0,    0
138710,19790304,    0,    0
138710,19790305,    0,    0
138710,19790306,    0,    0
138710,19790307,    0,    0
138710,19790308,    2,    0
138710,19790309,   19,    0
138710,19790310,   12,    0
138710,19790311,    0,    0
138710,19790312,    0,    0
138710,19790313,    5,    0
138710,19790314,    0,    0
138710,19790315,    3,    0
138710,19790316,    1,    0
138710,19790317,    0,    0
138710,19790318,    0,    0
138710,19790319,    0,    0
138710,19790320,    0,    0
138710,19790321,    0,    0
138710,19790322,   20,    0
138710,19790323,   48,    0
138710,19790324,    0,    0
138710,19790325,   12,    0
138710,19790326,   90,    0
138710,19790327,   11,    0
138710,19790328,   27,    0
138710,19790329,   53,    0
138710,19790330,   13,    0
138710,19790331,   53,    0
138710,19790401,   33,    0
138710,19790402,   23,    0
138710,19790403,    1,    0
138710,19790404,    0,    0
138710,19790405,    0,    0
138710,19790406,    0,    0
138710,19790407,    0,    0
138710,19790408,    0,    0
138710,19790409,    0,    0
138710,19790410,    0,    0
138710,19790411,    0,    0
138710,19790412,    0,    0
138710,19790413,   94,    0
138710,19790414,    0,    0
138710,19790415,    0,    0
138710,19790416,   13,    0
138710,19790417,    2,    0
138710,19790418,    0,    0
138710,19790419,    0,    0
138710,19790420,   27,    0
138710,19790421,    5,    0
138710,19790422,    6,    0
138710,19790423,    0,    0
138710,19790424,   78,    0
138710,19790425,   39,    0
138710,19790426,    0,    0
138710,19790427,    0,    0
138710,19790428,    0,    0
138710,19790429,  105,    0
138710,19790430,   30,    0
138710,19790501,    0,    0
138710,19790502,   86,    0
138710,19790503,    2,    0
138710,19790504,    0,    0
138710,19790505,    3,    0
138710,19790506,    1,    0
138710,19790507,    5,    0
138710,19790508,   47,    0
138710,19790509,    1,    0
138710,19790510,   49,    0
138710,19790511,    0,    0
138710,19790512,    0,    0
138710,19790513,    0,    0
138710,19790514,    0,    0
138710,19790515,    0,    0
138710,19790516,    0,    0
138710,19790517,    1,    0
138710,19790518,   12,    0
138710,19790519,    0,    0
138710,19790520,    0,    0
138710,19790521,   34,    0
138710,19790522,   20,    0
138710,19790523,    0,    0
138710,19790524,    0,    0
138710,19790525,   12,    0
138710,19790526,    0,    0
138710,19790527,    0,    0
138710,19790528,    1,    0
138710,19790529,    0,    0
138710,19790530,    0,    0
138710,19790531,    0,    0
138710,19790601,    0,    0
138710,19790602,    0,    0
138710,19790603,    0,    0
138710,19790604,    0,    0
138710,19790605,    0,    0
138710,19790606,    0,    0
138710,19790607,    0,    0
138710,19790608,  443,    0
138710,19790609,  185,    0
138710,19790610,    0,    0
138710,19790611,    0,    0
138710,19790612,    0,    0
138710,19790613,    1,    0
138710,19790614,    0,    0
138710,19790615,    0,    0
138710,19790616,    0,    0
138710,19790617,    0,    0
138710,19790618,    0,    0
138710,19790619,    0,    0
138710,19790620,    0,    0
138710,19790621,    0,    0
138710,19790622,    0,    0
138710,19790623,    0,    0
138710,19790624,    2,    0
138710,19790625,    5,    0
138710,19790626,    0,    0
138710,19790627,    1,    0
138710,19790628,   30,    0
138710,19790629,   15,    0
138710,19790630,   19,    0
138710,19790701,   38,    0
138710,19790702,   11,    0
138710,19790703,   88,    0
138710,19790704,    1,    0
138710,19790705,    0,    0
138710,19790706,    0,    0
138710,19790707,   95,    0
138710,19790708,    2,    0
138710,19790709,    0,    0
138710,19790710,  230,    0
138710,19790711,   96,    0
138710,19790712,    5,    0
138710,19790713,  300,    0
138710,19790714,   60,    0
138710,19790715,    0,    0
138710,19790716,    0,    0
138710,19790717,    0,    0
138710,19790718,  122,    0
138710,19790719,   18,    0
138710,19790720,    0,    0
138710,19790721,    4,    0
138710,19790722,    7,    0
138710,19790723,    0,    0
138710,19790724,  100,    0
138710,19790725,    0,    0
138710,19790726,   40,    0
138710,19790727,   17,    0
138710,19790728,    3,    0
138710,19790729,    0,    0
138710,19790730,   52,    0
138710,19790731,   19,    0
138710,19790801,   71,    0
138710,19790802,   39,    0
138710,19790803,   15,    0
138710,19790804,    0,    0
138710,19790805,   10,    0
138710,19790806,    0,    0
138710,19790807,    0,    0
138710,19790808,    0,    0
138710,19790809,   26,    0
138710,19790810,  106,    0
138710,19790811,    0,    0
138710,19790812,    0,    0
138710,19790813,    0,    0
138710,19790814,    0,    0
138710,19790815,    0,    0
138710,19790816,    0,    0
138710,19790817,    0,    0
138710,19790818,    0,    0
138710,19790819,   15,    0
138710,19790820,    2,    0
138710,19790821,    0,    0
138710,19790822,    0,    0
138710,19790823,    2,    0
138710,19790824,    0,    0
138710,19790825,   86,    0
138710,19790826,  225,    0
138710,19790827,   32,    0
138710,19790828,    2,    0
138710,19790829,    0,    0
138710,19790830,    0,    0
138710,19790831,    0,    0
138710,19790901,   70,    0
138710,19790902,   17,    0
138710,19790903,   47,    0
138710,19790904,    0,    0
138710,19790905,    0,    0
138710,19790906,    0,    0
138710,19790907,    0,    0
138710,19790908,   13,    0
138710,19790909,    3,    0
138710,19790910,    0,    0
138710,19790911,   16,    0
138710,19790912,    0,    0
138710,19790913,    0,    0
138710,19790914,    0,    0
138710,19790915,    0,    0
138710,19790916,    2,    0
138710,19790917,   50,    0
138710,19790918,    5,    0
138710,19790919,    0,    0
138710,19790920,   35,    0
138710,19790921,    2,    0
138710,19790922,    0,    0
