EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, KARLSKOGA (STAID: 6275).
Blended and updated with sources: 138880 138912 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138912,19790101,    0,    0
138912,19790102,    0,    0
138912,19790103,    0,    0
138912,19790104,    0,    0
138912,19790105,    0,    0
138912,19790106,   21,    0
138912,19790107,    0,    0
138912,19790108,    3,    0
138912,19790109,    0,    0
138912,19790110,    0,    0
138912,19790111,    4,    0
138912,19790112,  126,    0
138912,19790113,   37,    0
138912,19790114,    3,    0
138912,19790115,    0,    0
138912,19790116,    0,    0
138912,19790117,    2,    0
138912,19790118,    0,    0
138912,19790119,    0,    0
138912,19790120,    8,    0
138912,19790121,    0,    0
138912,19790122,   18,    0
138912,19790123,   26,    0
138912,19790124,   19,    0
138912,19790125,   23,    0
138912,19790126,    0,    0
138912,19790127,   73,    0
138912,19790128,    0,    0
138912,19790129,    0,    0
138912,19790130,    0,    0
138912,19790131,   61,    0
138912,19790201,   15,    0
138912,19790202,    9,    0
138912,19790203,   86,    0
138912,19790204,    0,    0
138912,19790205,    0,    0
138912,19790206,    0,    0
138912,19790207,    0,    0
138912,19790208,    0,    0
138912,19790209,    0,    0
138912,19790210,    0,    0
138912,19790211,    0,    0
138912,19790212,    0,    0
138912,19790213,    0,    0
138912,19790214,    0,    0
138912,19790215,    0,    0
138912,19790216,    0,    0
138912,19790217,    0,    0
138912,19790218,   15,    0
138912,19790219,   18,    0
138912,19790220,    0,    0
138912,19790221,    4,    0
138912,19790222,    9,    0
138912,19790223,    0,    0
138912,19790224,    0,    0
138912,19790225,    0,    0
138912,19790226,    5,    0
138912,19790227,    0,    0
138912,19790228,    5,    0
138912,19790301,    0,    0
138912,19790302,   93,    0
138912,19790303,    0,    0
138912,19790304,    0,    0
138912,19790305,    0,    0
138912,19790306,    0,    0
138912,19790307,   21,    0
138912,19790308,   15,    0
138912,19790309,   45,    0
138912,19790310,    0,    0
138912,19790311,   32,    0
138912,19790312,    2,    0
138912,19790313,    0,    0
138912,19790314,    1,    0
138912,19790315,    0,    0
138912,19790316,    0,    0
138912,19790317,    0,    0
138912,19790318,    0,    0
138912,19790319,    0,    0
138912,19790320,    0,    0
138912,19790321,    0,    0
138912,19790322,  108,    0
138912,19790323,   77,    0
138912,19790324,    0,    0
138912,19790325,   80,    0
138912,19790326,   75,    0
138912,19790327,    0,    0
138912,19790328,    0,    0
138912,19790329,   13,    0
138912,19790330,    0,    0
138912,19790331,    0,    0
138912,19790401,   68,    0
138912,19790402,   21,    0
138912,19790403,    0,    0
138912,19790404,    0,    0
138912,19790405,    0,    0
138912,19790406,    0,    0
138912,19790407,    0,    0
138912,19790408,    0,    0
138912,19790409,    0,    0
138912,19790410,    0,    0
138912,19790411,    0,    0
138912,19790412,    0,    0
138912,19790413,    0,    0
138912,19790414,    0,    0
138912,19790415,    0,    0
138912,19790416,   38,    0
138912,19790417,    0,    0
138912,19790418,    0,    0
138912,19790419,    0,    0
138912,19790420,    0,    0
138912,19790421,    0,    0
138912,19790422,   40,    0
138912,19790423,   11,    0
138912,19790424,  203,    0
138912,19790425,    5,    0
138912,19790426,    0,    0
138912,19790427,    0,    0
138912,19790428,    8,    0
138912,19790429,  232,    0
138912,19790430,   47,    0
138912,19790501,   68,    0
138912,19790502,   59,    0
138912,19790503,    0,    0
138912,19790504,    0,    0
138912,19790505,    0,    0
138912,19790506,    7,    0
138912,19790507,    7,    0
138912,19790508,   36,    0
138912,19790509,   63,    0
138912,19790510,    0,    0
138912,19790511,    0,    0
138912,19790512,    0,    0
138912,19790513,    0,    0
138912,19790514,    0,    0
138912,19790515,   15,    0
138912,19790516,    0,    0
138912,19790517,    8,    0
138912,19790518,    0,    0
138912,19790519,   28,    0
138912,19790520,    0,    0
138912,19790521,    1,    0
138912,19790522,   34,    0
138912,19790523,   97,    0
138912,19790524,   81,    0
138912,19790525,    0,    0
138912,19790526,   95,    0
138912,19790527,    0,    0
138912,19790528,   57,    0
138912,19790529,    0,    0
138912,19790530,    0,    0
138912,19790531,    0,    0
138912,19790601,    0,    0
