EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, ON (STAID: 6291).
Blended and updated with sources: 138938 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138938,19790101,    5,    0
138938,19790102,    0,    0
138938,19790103,    0,    0
138938,19790104,    2,    0
138938,19790105,    0,    0
138938,19790106,   12,    0
138938,19790107,    0,    0
138938,19790108,    0,    0
138938,19790109,    0,    0
138938,19790110,    0,    0
138938,19790111,    3,    0
138938,19790112,  180,    0
138938,19790113,   35,    0
138938,19790114,    0,    0
138938,19790115,    0,    0
138938,19790116,    0,    0
138938,19790117,    0,    0
138938,19790118,    5,    0
138938,19790119,    0,    0
138938,19790120,    0,    0
138938,19790121,    0,    0
138938,19790122,    0,    0
138938,19790123,   35,    0
138938,19790124,   32,    0
138938,19790125,   23,    0
138938,19790126,   75,    0
138938,19790127,    0,    0
138938,19790128,    7,    0
138938,19790129,    0,    0
138938,19790130,    0,    0
138938,19790131,   75,    0
138938,19790201,   17,    0
138938,19790202,    8,    0
138938,19790203,   60,    0
138938,19790204,    2,    0
138938,19790205,    0,    0
138938,19790206,    0,    0
138938,19790207,    0,    0
138938,19790208,    0,    0
138938,19790209,    0,    0
138938,19790210,    0,    0
138938,19790211,    0,    0
138938,19790212,    0,    0
138938,19790213,    0,    0
138938,19790214,    0,    0
138938,19790215,    0,    0
138938,19790216,    0,    0
138938,19790217,    0,    0
138938,19790218,   27,    0
138938,19790219,   29,    0
138938,19790220,    0,    0
138938,19790221,    0,    0
138938,19790222,    2,    0
138938,19790223,    0,    0
138938,19790224,    0,    0
138938,19790225,    0,    0
138938,19790226,    0,    0
138938,19790227,    0,    0
138938,19790228,    0,    0
138938,19790301,   11,    0
138938,19790302,   40,    0
138938,19790303,    0,    0
138938,19790304,    0,    0
138938,19790305,    0,    0
138938,19790306,    0,    0
138938,19790307,    0,    0
138938,19790308,    4,    0
138938,19790309,   40,    0
138938,19790310,   17,    0
