EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, VALLENTUNA (STAID: 6307).
Blended and updated with sources: 138982 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138982,19790101,    3,    0
138982,19790102,   13,    0
138982,19790103,   13,    0
138982,19790104,   18,    0
138982,19790105,    0,    0
138982,19790106,    2,    0
138982,19790107,    0,    0
138982,19790108,    0,    0
138982,19790109,    3,    0
138982,19790110,   65,    0
138982,19790111,    0,    0
138982,19790112,  154,    0
138982,19790113,    5,    0
138982,19790114,    0,    0
138982,19790115,   28,    0
138982,19790116,    0,    0
138982,19790117,    0,    0
138982,19790118,    0,    0
138982,19790119,    0,    0
138982,19790120,    0,    0
138982,19790121,    0,    0
138982,19790122,    0,    0
138982,19790123,   20,    0
138982,19790124,   50,    0
138982,19790125,   22,    0
138982,19790126,   90,    0
138982,19790127,    0,    0
138982,19790128,    0,    0
138982,19790129,    0,    0
138982,19790130,    0,    0
138982,19790131,   28,    0
138982,19790201,    8,    0
138982,19790202,    0,    0
138982,19790203,   36,    0
138982,19790204,    2,    0
138982,19790205,    0,    0
138982,19790206,    0,    0
138982,19790207,    0,    0
138982,19790208,    1,    0
138982,19790209,    0,    0
138982,19790210,    1,    0
138982,19790211,    0,    0
138982,19790212,    0,    0
138982,19790213,    0,    0
138982,19790214,    0,    0
138982,19790215,    0,    0
138982,19790216,    0,    0
138982,19790217,    0,    0
138982,19790218,    0,    0
138982,19790219,    0,    0
138982,19790220,    0,    0
138982,19790221,    0,    0
138982,19790222,    0,    0
138982,19790223,    0,    0
138982,19790224,    0,    0
138982,19790225,    0,    0
138982,19790226,    0,    0
138982,19790227,    0,    0
138982,19790228,    0,    0
138982,19790301,    4,    0
138982,19790302,    8,    0
138982,19790303,    0,    0
138982,19790304,    0,    0
138982,19790305,    0,    0
138982,19790306,    0,    0
138982,19790307,    0,    0
138982,19790308,    0,    0
138982,19790309,   12,    0
138982,19790310,   43,    0
138982,19790311,    0,    0
138982,19790312,    0,    0
138982,19790313,    2,    0
138982,19790314,    6,    0
138982,19790315,    4,    0
138982,19790316,    9,    0
138982,19790317,    0,    0
138982,19790318,    0,    0
138982,19790319,    0,    0
138982,19790320,    0,    0
138982,19790321,    0,    0
138982,19790322,   11,    0
138982,19790323,   49,    0
138982,19790324,    0,    0
138982,19790325,    0,    0
138982,19790326,    9,    0
138982,19790327,   30,    0
138982,19790328,   11,    0
