EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, ENKOPING (STAID: 6332).
Blended and updated with sources: 139052 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139052,19790101,    0,    0
139052,19790102,   33,    0
139052,19790103,   26,    0
139052,19790104,    0,    0
139052,19790105,    0,    0
139052,19790106,   93,    0
139052,19790107,    0,    0
139052,19790108,    0,    0
139052,19790109,    0,    0
139052,19790110,   10,    0
139052,19790111,    0,    0
139052,19790112,  122,    0
139052,19790113,    0,    0
139052,19790114,    0,    0
139052,19790115,    0,    0
139052,19790116,    0,    0
139052,19790117,    0,    0
139052,19790118,    0,    0
139052,19790119,    0,    0
139052,19790120,    0,    0
139052,19790121,    0,    0
139052,19790122,    0,    0
139052,19790123,   37,    0
139052,19790124,   30,    0
139052,19790125,   27,    0
139052,19790126,  100,    0
139052,19790127,    0,    0
139052,19790128,    1,    0
139052,19790129,    0,    0
139052,19790130,    0,    0
139052,19790131,   28,    0
139052,19790201,    3,    0
139052,19790202,    0,    0
139052,19790203,   70,    0
139052,19790204,    0,    0
139052,19790205,    0,    0
139052,19790206,    0,    0
139052,19790207,    0,    0
139052,19790208,    0,    0
139052,19790209,    0,    0
139052,19790210,    2,    0
139052,19790211,    0,    0
139052,19790212,    0,    0
139052,19790213,    0,    0
139052,19790214,    0,    0
139052,19790215,    0,    0
139052,19790216,    0,    0
139052,19790217,    0,    0
139052,19790218,    0,    0
139052,19790219,   11,    0
139052,19790220,    0,    0
139052,19790221,    0,    0
139052,19790222,    0,    0
139052,19790223,    0,    0
139052,19790224,    0,    0
139052,19790225,    0,    0
139052,19790226,    0,    0
139052,19790227,    0,    0
139052,19790228,    0,    0
139052,19790301,    6,    0
139052,19790302,    0,    0
139052,19790303,    0,    0
139052,19790304,    0,    0
139052,19790305,    0,    0
139052,19790306,    0,    0
139052,19790307,    0,    0
139052,19790308,    0,    0
139052,19790309,   24,    0
139052,19790310,   19,    0
139052,19790311,    0,    0
139052,19790312,    0,    0
139052,19790313,    1,    0
139052,19790314,    2,    0
139052,19790315,    7,    0
139052,19790316,    0,    0
139052,19790317,    0,    0
139052,19790318,    0,    0
139052,19790319,    0,    0
139052,19790320,    0,    0
139052,19790321,    0,    0
139052,19790322,   24,    0
139052,19790323,    0,    0
139052,19790324,    0,    0
139052,19790325,    9,    0
139052,19790326,   51,    0
139052,19790327,   18,    0
139052,19790328,    8,    0
139052,19790329,   26,    0
139052,19790330,    0,    0
139052,19790331,    0,    0
139052,19790401,    0,    0
139052,19790402,   52,    0
139052,19790403,    2,    0
139052,19790404,    0,    0
139052,19790405,    0,    0
139052,19790406,    0,    0
139052,19790407,    0,    0
139052,19790408,    0,    0
139052,19790409,    0,    0
139052,19790410,    0,    0
139052,19790411,    0,    0
139052,19790412,    0,    0
139052,19790413,   38,    0
139052,19790414,    0,    0
139052,19790415,    0,    0
139052,19790416,    6,    0
139052,19790417,   21,    0
139052,19790418,    0,    0
139052,19790419,    0,    0
139052,19790420,   46,    0
139052,19790421,    3,    0
139052,19790422,    9,    0
139052,19790423,    4,    0
139052,19790424,  138,    0
139052,19790425,   80,    0
139052,19790426,    0,    0
139052,19790427,    0,    0
139052,19790428,    0,    0
139052,19790429,  110,    0
139052,19790430,    0,    0
139052,19790501,    6,    0
139052,19790502,   73,    0
139052,19790503,    9,    0
139052,19790504,    4,    0
139052,19790505,    0,    0
139052,19790506,    2,    0
139052,19790507,    0,    0
139052,19790508,   35,    0
139052,19790509,   11,    0
139052,19790510,   86,    0
139052,19790511,    0,    0
139052,19790512,    0,    0
139052,19790513,    0,    0
139052,19790514,    0,    0
139052,19790515,    0,    0
139052,19790516,    0,    0
139052,19790517,    5,    0
139052,19790518,    0,    0
139052,19790519,    3,    0
139052,19790520,    0,    0
139052,19790521,    0,    0
139052,19790522,   88,    0
139052,19790523,   41,    0
139052,19790524,  107,    0
139052,19790525,   11,    0
