EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, VALLNORA_D (STAID: 6377).
Blended and updated with sources: 139202 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139202,19790101,   13,    0
139202,19790102,   60,    0
139202,19790103,   85,    0
139202,19790104,    0,    0
139202,19790105,    0,    0
139202,19790106,    0,    0
139202,19790107,    0,    0
139202,19790108,    0,    0
139202,19790109,    0,    0
139202,19790110,   40,    0
139202,19790111,    0,    0
139202,19790112,   70,    0
139202,19790113,    0,    0
139202,19790114,    0,    0
139202,19790115,   30,    0
139202,19790116,    0,    0
139202,19790117,    0,    0
139202,19790118,    0,    0
139202,19790119,    0,    0
139202,19790120,    0,    0
139202,19790121,    0,    0
139202,19790122,    0,    0
139202,19790123,   30,    0
139202,19790124,   40,    0
139202,19790125,   20,    0
139202,19790126,   70,    0
139202,19790127,    0,    0
139202,19790128,    0,    0
139202,19790129,    0,    0
139202,19790130,    0,    0
139202,19790131,   40,    0
139202,19790201,   25,    0
139202,19790202,    0,    0
139202,19790203,   86,    0
139202,19790204,    0,    0
139202,19790205,    0,    0
139202,19790206,    0,    0
139202,19790207,    0,    0
139202,19790208,    0,    0
139202,19790209,    0,    0
139202,19790210,    0,    0
139202,19790211,    0,    0
139202,19790212,    0,    0
139202,19790213,    0,    0
139202,19790214,    0,    0
139202,19790215,    0,    0
139202,19790216,    0,    0
139202,19790217,    0,    0
139202,19790218,    0,    0
139202,19790219,    0,    0
139202,19790220,    0,    0
139202,19790221,    0,    0
139202,19790222,    0,    0
139202,19790223,    0,    0
139202,19790224,    0,    0
139202,19790225,    0,    0
139202,19790226,    0,    0
139202,19790227,    0,    0
139202,19790228,    0,    0
139202,19790301,    0,    0
139202,19790302,    0,    0
139202,19790303,    0,    0
139202,19790304,    0,    0
139202,19790305,    0,    0
139202,19790306,    0,    0
139202,19790307,    0,    0
139202,19790308,    0,    0
139202,19790309,    0,    0
139202,19790310,   32,    0
139202,19790311,    0,    0
139202,19790312,    0,    0
139202,19790313,   10,    0
139202,19790314,   11,    0
139202,19790315,   10,    0
139202,19790316,   15,    0
139202,19790317,    0,    0
139202,19790318,    0,    0
139202,19790319,    0,    0
139202,19790320,    0,    0
139202,19790321,    0,    0
139202,19790322,    4,    0
139202,19790323,   55,    0
139202,19790324,    0,    0
139202,19790325,    0,    0
139202,19790326,   22,    0
139202,19790327,   45,    0
139202,19790328,    0,    0
139202,19790329,   40,    0
139202,19790330,    0,    0
139202,19790331,   38,    0
139202,19790401,   60,    0
139202,19790402,   35,    0
139202,19790403,    0,    0
139202,19790404,    0,    0
139202,19790405,    0,    0
139202,19790406,    0,    0
139202,19790407,    0,    0
139202,19790408,    0,    0
139202,19790409,    0,    0
139202,19790410,    0,    0
139202,19790411,    0,    0
139202,19790412,    0,    0
139202,19790413,   41,    0
139202,19790414,    0,    0
139202,19790415,    0,    0
139202,19790416,    0,    0
139202,19790417,    0,    0
139202,19790418,    0,    0
139202,19790419,    0,    0
139202,19790420,   44,    0
139202,19790421,   16,    0
139202,19790422,    0,    0
139202,19790423,   16,    0
139202,19790424,   21,    0
139202,19790425,   28,    0
139202,19790426,    0,    0
139202,19790427,   14,    0
139202,19790428,    0,    0
139202,19790429,  112,    0
139202,19790430,   25,    0
139202,19790501,    0,    0
139202,19790502,   65,    0
139202,19790503,    0,    0
139202,19790504,    0,    0
139202,19790505,    0,    0
139202,19790506,    0,    0
139202,19790507,    0,    0
139202,19790508,   48,    0
139202,19790509,   12,    0
139202,19790510,  170,    0
139202,19790511,    0,    0
139202,19790512,    0,    0
139202,19790513,    0,    0
139202,19790514,    0,    0
139202,19790515,    0,    0
139202,19790516,    0,    0
139202,19790517,    0,    0
139202,19790518,    0,    0
139202,19790519,    0,    0
139202,19790520,    0,    0
139202,19790521,   55,    0
139202,19790522,   40,    0
139202,19790523,   12,    0
139202,19790524,   56,    0
139202,19790525,    8,    0
139202,19790526,   30,    0
139202,19790527,    0,    0
139202,19790528,    0,    0
139202,19790529,    0,    0
139202,19790530,    0,    0
139202,19790531,    0,    0
139202,19790601,    0,    0
139202,19790602,    0,    0
139202,19790603,    0,    0
139202,19790604,    0,    0
139202,19790605,    0,    0
139202,19790606,    0,    0
139202,19790607,    0,    0
139202,19790608,  215,    0
139202,19790609,  248,    0
139202,19790610,    0,    0
139202,19790611,    0,    0
139202,19790612,    0,    0
139202,19790613,   10,    0
139202,19790614,    0,    0
139202,19790615,    0,    0
139202,19790616,    0,    0
139202,19790617,   20,    0
139202,19790618,    0,    0
139202,19790619,    0,    0
139202,19790620,    0,    0
139202,19790621,    0,    0
139202,19790622,    0,    0
139202,19790623,    0,    0
139202,19790624,    0,    0
139202,19790625,   10,    0
139202,19790626,    0,    0
139202,19790627,    0,    0
139202,19790628,   20,    0
139202,19790629,   48,    0
139202,19790630,    0,    0
139202,19790701,   15,    0
139202,19790702,    9,    0
139202,19790703,   34,    0
139202,19790704,    0,    0
139202,19790705,   50,    0
139202,19790706,   14,    0
139202,19790707,  115,    0
139202,19790708,    0,    0
139202,19790709,    0,    0
139202,19790710,  204,    0
139202,19790711,   34,    0
139202,19790712,   17,    0
139202,19790713,   26,    0
139202,19790714,  290,    0
139202,19790715,    3,    0
139202,19790716,    0,    0
139202,19790717,    0,    0
139202,19790718,   95,    0
139202,19790719,   28,    0
139202,19790720,   25,    0
139202,19790721,    0,    0
139202,19790722,  125,    0
139202,19790723,    0,    0
139202,19790724,    0,    0
139202,19790725,    3,    0
139202,19790726,  160,    0
139202,19790727,    0,    0
139202,19790728,    0,    0
139202,19790729,   89,    0
139202,19790730,    2,    0
139202,19790731,    0,    0
139202,19790801,    0,    0
139202,19790802,   20,    0
