EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, FINNBACKA_D (STAID: 6485).
Blended and updated with sources: 139532 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139532,19790101,    0,    0
139532,19790102,    0,    0
139532,19790103,    3,    0
139532,19790104,    0,    0
139532,19790105,    5,    0
139532,19790106,   13,    0
139532,19790107,    8,    0
139532,19790108,    0,    0
139532,19790109,    0,    0
139532,19790110,    0,    0
139532,19790111,    0,    0
139532,19790112,   55,    0
139532,19790113,   10,    0
139532,19790114,    0,    0
139532,19790115,    0,    0
139532,19790116,    0,    0
139532,19790117,    0,    0
139532,19790118,    0,    0
139532,19790119,    0,    0
139532,19790120,    0,    0
139532,19790121,    0,    0
139532,19790122,   27,    0
139532,19790123,   35,    0
139532,19790124,   24,    0
139532,19790125,    9,    0
139532,19790126,   35,    0
139532,19790127,    2,    0
139532,19790128,    0,    0
139532,19790129,    0,    0
139532,19790130,    0,    0
139532,19790131,   64,    0
139532,19790201,   24,    0
139532,19790202,    0,    0
139532,19790203,   44,    0
139532,19790204,    0,    0
139532,19790205,    0,    0
139532,19790206,    0,    0
139532,19790207,   31,    0
139532,19790208,    0,    0
139532,19790209,    0,    0
139532,19790210,    0,    0
139532,19790211,    0,    0
139532,19790212,   22,    0
139532,19790213,    0,    0
139532,19790214,    0,    0
139532,19790215,    0,    0
139532,19790216,    0,    0
139532,19790217,    0,    0
139532,19790218,    0,    0
139532,19790219,   29,    0
139532,19790220,    0,    0
139532,19790221,    0,    0
139532,19790222,    0,    0
139532,19790223,    2,    0
139532,19790224,    0,    0
139532,19790225,    0,    0
139532,19790226,    0,    0
139532,19790227,    8,    0
139532,19790228,    0,    0
139532,19790301,    8,    0
139532,19790302,   29,    0
139532,19790303,    0,    0
139532,19790304,    0,    0
139532,19790305,    0,    0
139532,19790306,    0,    0
139532,19790307,    0,    0
139532,19790308,   20,    0
139532,19790309,  116,    0
139532,19790310,   39,    0
139532,19790311,    0,    0
139532,19790312,    6,    0
139532,19790313,   16,    0
139532,19790314,   13,    0
139532,19790315,    2,    0
139532,19790316,    0,    0
139532,19790317,    0,    0
139532,19790318,    0,    0
139532,19790319,    0,    0
139532,19790320,    4,    0
139532,19790321,    0,    0
139532,19790322,   39,    0
139532,19790323,   54,    0
139532,19790324,    0,    0
139532,19790325,    0,    0
139532,19790326,   95,    0
139532,19790327,   22,    0
139532,19790328,   14,    0
139532,19790329,    0,    0
139532,19790330,    0,    0
139532,19790331,    0,    0
139532,19790401,   33,    0
139532,19790402,   80,    0
139532,19790403,   13,    0
139532,19790404,    0,    0
139532,19790405,    0,    0
139532,19790406,   15,    0
139532,19790407,    0,    0
139532,19790408,    0,    0
139532,19790409,    0,    0
139532,19790410,    0,    0
139532,19790411,    0,    0
139532,19790412,    0,    0
139532,19790413,   17,    0
139532,19790414,    0,    0
139532,19790415,    0,    0
139532,19790416,    0,    0
139532,19790417,    0,    0
139532,19790418,    0,    0
139532,19790419,    0,    0
139532,19790420,   22,    0
139532,19790421,    3,    0
139532,19790422,    0,    0
139532,19790423,   44,    0
139532,19790424,   10,    0
139532,19790425,  100,    0
139532,19790426,   22,    0
139532,19790427,   41,    0
139532,19790428,    0,    0
139532,19790429,   72,    0
139532,19790430,  110,    0
139532,19790501,    2,    0
139532,19790502,   55,    0
139532,19790503,   15,    0
139532,19790504,    3,    0
139532,19790505,    7,    0
139532,19790506,   72,    0
139532,19790507,    0,    0
139532,19790508,   14,    0
139532,19790509,   49,    0
139532,19790510,    7,    0
139532,19790511,    0,    0
139532,19790512,    0,    0
139532,19790513,    0,    0
139532,19790514,    0,    0
139532,19790515,    0,    0
139532,19790516,    0,    0
139532,19790517,    0,    0
139532,19790518,    0,    0
139532,19790519,    7,    0
139532,19790520,    0,    0
139532,19790521,    0,    0
139532,19790522,    0,    0
139532,19790523,   20,    0
139532,19790524,   45,    0
139532,19790525,   28,    0
139532,19790526,    0,    0
139532,19790527,    0,    0
139532,19790528,  110,    0
139532,19790529,    5,    0
139532,19790530,    0,    0
139532,19790531,    0,    0
139532,19790601,    0,    0
139532,19790602,    0,    0
139532,19790603,    0,    0
139532,19790604,    0,    0
139532,19790605,    0,    0
139532,19790606,    0,    0
139532,19790607,    0,    0
139532,19790608,   50,    0
139532,19790609,   19,    0
139532,19790610,    0,    0
139532,19790611,    0,    0
139532,19790612,    0,    0
139532,19790613,   29,    0
139532,19790614,   25,    0
139532,19790615,    7,    0
139532,19790616,    0,    0
139532,19790617,   20,    0
139532,19790618,    0,    0
139532,19790619,    0,    0
139532,19790620,   31,    0
139532,19790621,    0,    0
139532,19790622,   23,    0
139532,19790623,   63,    0
139532,19790624,    7,    0
139532,19790625,   64,    0
139532,19790626,    2,    0
139532,19790627,   24,    0
139532,19790628,   25,    0
139532,19790629,   20,    0
139532,19790630,   27,    0
139532,19790701,   24,    0
139532,19790702,   71,    0
139532,19790703,   15,    0
139532,19790704,    0,    0
139532,19790705,    0,    0
139532,19790706,    0,    0
139532,19790707,   91,    0
139532,19790708,    3,    0
139532,19790709,    3,    0
139532,19790710,   90,    0
139532,19790711,    0,    0
139532,19790712,    7,    0
139532,19790713,    0,    0
139532,19790714,    0,    0
139532,19790715,   19,    0
139532,19790716,   42,    0
139532,19790717,    0,    0
139532,19790718,  210,    0
139532,19790719,  160,    0
139532,19790720,    7,    0
139532,19790721,   14,    0
139532,19790722,   55,    0
139532,19790723,   11,    0
139532,19790724,    0,    0
139532,19790725,    0,    0
139532,19790726,    0,    0
139532,19790727,   66,    0
139532,19790728,   28,    0
139532,19790729,  101,    0
139532,19790730,   53,    0
139532,19790731,    0,    0
139532,19790801,   23,    0
139532,19790802,   20,    0
139532,19790803,    0,    0
139532,19790804,    0,    0
139532,19790805,    2,    0
139532,19790806,    0,    0
139532,19790807,    0,    0
139532,19790808,    0,    0
139532,19790809,  215,    0
139532,19790810,   78,    0
139532,19790811,   62,    0
139532,19790812,    0,    0
139532,19790813,    0,    0
139532,19790814,    0,    0
139532,19790815,   25,    0
139532,19790816,   18,    0
139532,19790817,    0,    0
139532,19790818,    0,    0
139532,19790819,   16,    0
139532,19790820,    0,    0
139532,19790821,    2,    0
139532,19790822,    0,    0
139532,19790823,    0,    0
139532,19790824,    0,    0
139532,19790825,    0,    0
139532,19790826,  262,    0
139532,19790827,   39,    0
139532,19790828,    0,    0
139532,19790829,    0,    0
139532,19790830,    4,    0
139532,19790831,    0,    0
139532,19790901,    2,    0
139532,19790902,   13,    0
139532,19790903,   40,    0
139532,19790904,   72,    0
139532,19790905,    0,    0
139532,19790906,    2,    0
139532,19790907,    6,    0
139532,19790908,    5,    0
139532,19790909,   76,    0
139532,19790910,    4,    0
139532,19790911,    0,    0
139532,19790912,   14,    0
139532,19790913,   67,    0
139532,19790914,    0,    0
139532,19790915,    0,    0
139532,19790916,    3,    0
139532,19790917,   12,    0
139532,19790918,    7,    0
139532,19790919,    6,    0
139532,19790920,    0,    0
139532,19790921,   60,    0
139532,19790922,    0,    0
139532,19790923,    0,    0
139532,19790924,    0,    0
139532,19790925,    3,    0
139532,19790926,    0,    0
139532,19790927,    1,    0
139532,19790928,    0,    0
139532,19790929,    0,    0
139532,19790930,    0,    0
139532,19791001,    0,    0
139532,19791002,    0,    0
139532,19791003,    0,    0
139532,19791004,    0,    0
139532,19791005,    0,    0
139532,19791006,    0,    0
139532,19791007,    1,    0
139532,19791008,    0,    0
139532,19791009,    3,    0
139532,19791010,    5,    0
139532,19791011,    0,    0
139532,19791012,   40,    0
139532,19791013,    3,    0
139532,19791014,  106,    0
139532,19791015,    9,    0
139532,19791016,  173,    0
139532,19791017,    0,    0
139532,19791018,   13,    0
139532,19791019,   45,    0
139532,19791020,    0,    0
139532,19791021,    0,    0
139532,19791022,    0,    0
139532,19791023,    0,    0
139532,19791024,    0,    0
139532,19791025,    0,    0
139532,19791026,    0,    0
139532,19791027,   21,    0
139532,19791028,    8,    0
139532,19791029,    2,    0
139532,19791030,   12,    0
139532,19791031,   29,    0
139532,19791101,    0,    0
139532,19791102,    8,    0
139532,19791103,   90,    0
139532,19791104,   67,    0
139532,19791105,    0,    0
139532,19791106,   54,    0
139532,19791107,   12,    0
139532,19791108,    0,    0
139532,19791109,    0,    0
139532,19791110,    0,    0
139532,19791111,   51,    0
139532,19791112,  230,    0
139532,19791113,   68,    0
139532,19791114,   13,    0
139532,19791115,    0,    0
139532,19791116,   60,    0
139532,19791117,    9,    0
139532,19791118,    0,    0
139532,19791119,  104,    0
139532,19791120,    0,    0
139532,19791121,    0,    0
139532,19791122,    0,    0
139532,19791123,    0,    0
139532,19791124,   57,    0
139532,19791125,   35,    0
139532,19791126,   72,    0
139532,19791127,    0,    0
139532,19791128,   47,    0
139532,19791129,    0,    0
139532,19791130,    0,    0
139532,19791201,    0,    0
139532,19791202,    0,    0
139532,19791203,   41,    0
139532,19791204,    2,    0
139532,19791205,    0,    0
139532,19791206,    0,    0
139532,19791207,    0,    0
139532,19791208,    0,    0
139532,19791209,    0,    0
139532,19791210,    5,    0
139532,19791211,    0,    0
139532,19791212,    0,    0
139532,19791213,    0,    0
139532,19791214,    0,    0
139532,19791215,   10,    0
139532,19791216,    6,    0
139532,19791217,    0,    0
139532,19791218,    0,    0
139532,19791219,    0,    0
139532,19791220,    0,    0
139532,19791221,    0,    0
139532,19791222,   51,    0
139532,19791223,    0,    0
139532,19791224,    0,    0
139532,19791225,   81,    0
139532,19791226,    0,    0
139532,19791227,   47,    0
139532,19791228,   92,    0
139532,19791229,   66,    0
139532,19791230,   17,    0
139532,19791231,   45,    0
139532,19800101,   16,    0
139532,19800102,    0,    0
139532,19800103,    0,    0
139532,19800104,    4,    0
