EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, OSTANVIK (STAID: 6499).
Blended and updated with sources: 139564 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139564,19790101,    0,    0
139564,19790102,    2,    0
139564,19790103,    0,    0
139564,19790104,    4,    0
139564,19790105,    0,    0
139564,19790106,    9,    0
139564,19790107,   11,    0
139564,19790108,    0,    0
139564,19790109,    0,    0
139564,19790110,    0,    0
139564,19790111,    7,    0
139564,19790112,   70,    0
139564,19790113,   20,    0
139564,19790114,    9,    0
139564,19790115,    0,    0
139564,19790116,    0,    0
139564,19790117,    0,    0
139564,19790118,    0,    0
139564,19790119,    0,    0
139564,19790120,    4,    0
139564,19790121,    0,    0
139564,19790122,   14,    0
139564,19790123,   32,    0
139564,19790124,   15,    0
139564,19790125,    6,    0
139564,19790126,   28,    0
139564,19790127,    2,    0
139564,19790128,    0,    0
139564,19790129,    0,    0
139564,19790130,    3,    0
139564,19790131,   36,    0
139564,19790201,   24,    0
139564,19790202,    5,    0
139564,19790203,   88,    0
139564,19790204,    0,    0
139564,19790205,    0,    0
139564,19790206,    0,    0
139564,19790207,   21,    0
139564,19790208,    0,    0
139564,19790209,    0,    0
139564,19790210,    0,    0
139564,19790211,    0,    0
139564,19790212,    3,    0
139564,19790213,    0,    0
139564,19790214,    0,    0
139564,19790215,    0,    0
139564,19790216,    0,    0
139564,19790217,    0,    0
139564,19790218,    0,    0
139564,19790219,   32,    0
139564,19790220,    0,    0
139564,19790221,    0,    0
139564,19790222,    4,    0
139564,19790223,    0,    0
139564,19790224,    0,    0
139564,19790225,    0,    0
139564,19790226,    0,    0
139564,19790227,    4,    0
139564,19790228,    0,    0
139564,19790301,    0,    0
139564,19790302,   17,    0
139564,19790303,    0,    0
139564,19790304,    0,    0
139564,19790305,    0,    0
139564,19790306,    2,    0
139564,19790307,    5,    0
139564,19790308,    7,    0
139564,19790309,   48,    0
139564,19790310,   16,    0
139564,19790311,    3,    0
139564,19790312,    4,    0
139564,19790313,    3,    0
139564,19790314,    4,    0
139564,19790315,    4,    0
139564,19790316,    2,    0
139564,19790317,    0,    0
139564,19790318,    0,    0
139564,19790319,    0,    0
139564,19790320,    0,    0
139564,19790321,    0,    0
139564,19790322,   33,    0
139564,19790323,   37,    0
139564,19790324,    0,    0
139564,19790325,   11,    0
139564,19790326,   50,    0
139564,19790327,   10,    0
139564,19790328,   15,    0
